DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,CAMBERENE,ECOLE CAMBERENE 3,1,590.0,CLASSE CM2A
DAKAR,CAMBERENE,ECOLE CAMBERENE 3,2,592.0,CLASSE CM2B
DAKAR,CAMBERENE,ECOLE CAMBERENE 3,3,586.0,CLASSE CM1A
DAKAR,CAMBERENE,ECOLE CAMBERENE 3,4,589.0,CLASSE CM1B
DAKAR,CAMBERENE,ECOLE CAMBERENE 3,5,584.0,CLASSE CIB
DAKAR,CAMBERENE,ECOLE CAMBERENE 3,6,589.0,CLASSE CIA
DAKAR,CAMBERENE,ECOLE CAMBERENE 3,7,585.0,CLASSE CPA
DAKAR,CAMBERENE,ECOLE CAMBERENE 3,8,587.0,CLASSE CPB
DAKAR,CAMBERENE,ECOLE CAMBERENE 3,9,590.0,CLASSE CE1B
DAKAR,CAMBERENE,ECOLE CAMBERENE 3,10,588.0,CLASSE CE1A
DAKAR,CAMBERENE,ECOLE CAMBERENE 3,11,585.0,SALLE DE CLASSE
DAKAR,CAMBERENE,ECOLE CAMBERENE 3,12,585.0,SALLE DE CLASSE
DAKAR,CAMBERENE,ECOLE CAMBERENE 3,13,588.0,SALLE DE CLASSE
DAKAR,CAMBERENE,ECOLE CAMBERENE 3,14,587.0,CEM CAMBERENE 2
DAKAR,CAMBERENE,ECOLE CAMBERENE 3,15,590.0,CEM CAMBERENE 2
DAKAR,CAMBERENE,ECOLE CAMBERENE 3,16,590.0,CEM CAMBERENE 2
DAKAR,CAMBERENE,ECOLE CAMBERENE 3,17,592.0,CEM CAMBERENE 2
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),1,600.0,CLASSE CE2A SEYDINA I. LAYE A
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),2,600.0,CLASSE CE1A SEYDINA I. LAYE A
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),3,600.0,CLASSE CE1B SEYDINA I. LAYE A
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),4,600.0,CLASSE CE2B SEYDINA I. LAYE A
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),5,600.0,CLASSE CE2A SEYDINA I. LAYE B
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),6,600.0,CLASSE CE2B SEYDINA I. LAYE B
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),7,600.0,CLASSE CE1A SEYDINA I. LAYE B
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),8,600.0,CLASSE CE1B SEYDINA I. LAYE B
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),9,600.0,CLASSE CPA SEYDINA I. LAYE B
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),10,601.0,CLASSE CPB SEYDINA I. LAYE B
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),11,600.0,CLASSE CIA SEYDINA I. LAYE B
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),12,600.0,CLASSE CIB SEYDINA I. LAYE B
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),13,600.0,CLASSE CM2A SEYDINA I. LAYE A
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),14,600.0,CLASSE CM2B SEYDINA I. LAYE A
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),15,600.0,CLASSE CPA SEYDINA I. LAYE  A
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),16,599.0,CLASSE CPB SEYDINA I. LAYE A
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),17,600.0,CLASSE CIA SEYDINA I. LAYE A
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),18,600.0,CLASSE CIB SEYDINA I. LAYE A
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),19,600.0,SALLE DE CLASSE
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),20,600.0,SALLE DE CLASSE
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),21,600.0,SALLE DE CLASSE
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),22,600.0,SALLE DE CLASSE
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),23,600.0,SALLE DE CLASSE
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),24,600.0,SALLE DE CLASSE
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),25,600.0,CEM SEYDINA ISSA LAYE
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),26,600.0,CEM SEYDINA ISSA LAYE
DAKAR,CAMBERENE,ECOLE SEYDINA ISSA LAYE (CAMBERENE),27,134.0,CEM SEYDINA ISSA LAYE
