DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),1,597.0,CLASSE CM2 B
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),2,596.0,CLASSE CM1 C
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),3,600.0,CLASSE CM1 B
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),4,593.0,CLASSE CM1 A
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),5,596.0,CLASSE CE2 B
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),6,593.0,CLASSE CE2 A
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),7,593.0,CLASSE CE2 C
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),8,595.0,CLASSE CE1 C
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),9,596.0,CLASSE CP B
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),10,596.0,CLASSE CP A
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),11,594.0,CLASSE CI B
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),12,599.0,CLASSE CI A
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),13,595.0,CLASSE CM2 A
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),14,596.0,SALLE DE CLASSE
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),15,598.0,SALLE DE CLASSE
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),16,599.0,SALLE DE CLASSE
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),17,598.0,SALLE DE CLASSE
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA SECK B,1,498.0,CLASSE CP A COURS A
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA SECK B,2,498.0,CLASSE CP B COURS A
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA SECK B,3,501.0,CLASSE CE1 A COURS A
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA SECK B,4,501.0,CLASSE CM2 A COURS A
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA SECK B,5,501.0,CLASSE CM2 B COURS A
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA SECK B,6,494.0,CLASSE CE2 B COURS A
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA SECK B,7,504.0,CLASSE CM1 A COURS A
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA SECK B,8,503.0,CLASSE CM2 COURS B
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA SECK B,9,495.0,CLASSE CM1 COURS B
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA SECK B,10,500.0,CLASSE CE1 COURS B
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA SECK B,11,498.0,CLASSE CP COURS B
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA SECK B,12,501.0,SALLE DE CLASSE
DAKAR,DIEUPPEUL DERKLE,GROUPE SCOLAIRE DERKLE 2,1,588.0,CLASSE CE1 B COURS A
DAKAR,DIEUPPEUL DERKLE,GROUPE SCOLAIRE DERKLE 2,2,590.0,CLASSE CE1 A COURS A
DAKAR,DIEUPPEUL DERKLE,GROUPE SCOLAIRE DERKLE 2,3,591.0,CLASSE CPB COURS A
DAKAR,DIEUPPEUL DERKLE,GROUPE SCOLAIRE DERKLE 2,4,590.0,CLASSE CP A COURS A
DAKAR,DIEUPPEUL DERKLE,GROUPE SCOLAIRE DERKLE 2,5,600.0,CLASSE CI B COURS A
DAKAR,DIEUPPEUL DERKLE,GROUPE SCOLAIRE DERKLE 2,6,594.0,CLASSE CI A COURS A
DAKAR,DIEUPPEUL DERKLE,GROUPE SCOLAIRE DERKLE 2,7,593.0,CLASSE CE2  B COURS A
DAKAR,DIEUPPEUL DERKLE,GROUPE SCOLAIRE DERKLE 2,8,594.0,CLASSE CM1A COURS A
DAKAR,DIEUPPEUL DERKLE,GROUPE SCOLAIRE DERKLE 2,9,591.0,CLASSE CM1 B COURS A
DAKAR,DIEUPPEUL DERKLE,GROUPE SCOLAIRE DERKLE 2,10,600.0,CLASSE CM2 A COURS A
DAKAR,DIEUPPEUL DERKLE,GROUPE SCOLAIRE DERKLE 2,11,597.0,CLASSE CM2 B COURS A
DAKAR,DIEUPPEUL DERKLE,GROUPE SCOLAIRE DERKLE 2,12,598.0,CLASSE CP COURS B
DAKAR,DIEUPPEUL DERKLE,GROUPE SCOLAIRE DERKLE 2,13,588.0,CLASSE CM2 COURS B
DAKAR,DIEUPPEUL DERKLE,GROUPE SCOLAIRE DERKLE 2,14,590.0,CLASSE CM1 A COURS B
DAKAR,DIEUPPEUL DERKLE,GROUPE SCOLAIRE DERKLE 2,15,596.0,SALLE DE CLASSE
DAKAR,DIEUPPEUL DERKLE,GROUPE SCOLAIRE DERKLE 2,16,588.0,SALLE DE CLASSE
DAKAR,DIEUPPEUL DERKLE,GROUPE SCOLAIRE DERKLE 2,17,594.0,SALLE DE CLASSE
DAKAR,DIEUPPEUL DERKLE,GROUPE SCOLAIRE DERKLE 2,18,595.0,SALLE DE CLASSE
DAKAR,DIEUPPEUL DERKLE,GROUPE SCOLAIRE DERKLE 2,19,552.0,SALLE DE CLASSE
DAKAR,DIEUPPEUL DERKLE,GROUPE SCOLAIRE DERKLE 2,20,563.0,SALLE DE CLASSE
DAKAR,DIEUPPEUL DERKLE,GROUPE SCOLAIRE DERKLE 2,21,557.0,SALLE DE CLASSE
DAKAR,DIEUPPEUL DERKLE,GROUPE SCOLAIRE DERKLE 2,22,470.0,SALLE DE CLASSE CM 1 A
