DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,FANN POINT E AMITIE,BUREAU DE COORDINATION TECHNIQUE,1,540,ETSHOS IMED
DAKAR,FANN POINT E AMITIE,BUREAU DE COORDINATION TECHNIQUE,2,536,ETSHOS IMED
DAKAR,FANN POINT E AMITIE,BUREAU DE COORDINATION TECHNIQUE,3,536,ETSHOS IMED
DAKAR,FANN POINT E AMITIE,BUREAU DE COORDINATION TECHNIQUE,4,538,ETSHOS IMED
DAKAR,FANN POINT E AMITIE,BUREAU DE COORDINATION TECHNIQUE,5,461,ETSHOS IMED
DAKAR,FANN POINT E AMITIE,BUREAU DE COORDINATION TECHNIQUE,6,475,ETSHOS IMED
DAKAR,FANN POINT E AMITIE,CENTRE DE FORMATION COMMUNALE,1,281,SALLE AUIDITORIUM
DAKAR,FANN POINT E AMITIE,CENTRE DE FORMATION COMMUNALE,2,277,SALLE 1
DAKAR,FANN POINT E AMITIE,CENTRE DE FORMATION COMMUNALE,3,279,SALLE 2
DAKAR,FANN POINT E AMITIE,COLLEGE ENSEIG FRANCO-ARABE POINT E,1,576,SALLE 1
DAKAR,FANN POINT E AMITIE,COLLEGE ENSEIG FRANCO-ARABE POINT E,2,576,SALLE 2
DAKAR,FANN POINT E AMITIE,COLLEGE ENSEIG FRANCO-ARABE POINT E,3,576,SALLE 3
DAKAR,FANN POINT E AMITIE,COLLEGE ENSEIG FRANCO-ARABE POINT E,4,575,SALLE 4
DAKAR,FANN POINT E AMITIE,COLLEGE ENSEIG FRANCO-ARABE POINT E,5,576,SALLE 2 NOUVEAU BATIMENT
DAKAR,FANN POINT E AMITIE,COLLEGE ENSEIG FRANCO-ARABE POINT E,6,577,SALLE DE CLASSE
DAKAR,FANN POINT E AMITIE,COLLEGE ENSEIG FRANCO-ARABE POINT E,7,577,SALLE DE CLASSE
DAKAR,FANN POINT E AMITIE,COLLEGE ENSEIG FRANCO-ARABE POINT E,8,576,SALLE 5 A
DAKAR,FANN POINT E AMITIE,COLLEGE ENSEIG FRANCO-ARABE POINT E,9,246,SALLE DE CLASSE
DAKAR,FANN POINT E AMITIE,ECOLE JOSEPH GOMIS,1,382,CLASSE CM 1 A
DAKAR,FANN POINT E AMITIE,ECOLE JOSEPH GOMIS,2,376,CLASSE CM1 B
DAKAR,FANN POINT E AMITIE,ECOLE MAMADOU B MB DIOP (ZONE B),1,592,CLASSE CIA
DAKAR,FANN POINT E AMITIE,ECOLE MAMADOU B MB DIOP (ZONE B),2,592,CLASSE CP A
DAKAR,FANN POINT E AMITIE,ECOLE MAMADOU B MB DIOP (ZONE B),3,592,CLASSE CM1 A
DAKAR,FANN POINT E AMITIE,ECOLE MAMADOU B MB DIOP (ZONE B),4,595,CLASSE CE2 B
DAKAR,FANN POINT E AMITIE,ECOLE MAMADOU B MB DIOP (ZONE B),5,593,CLASSE CE2 A
DAKAR,FANN POINT E AMITIE,ECOLE POINT E 2,1,287,DODJI
DAKAR,FANN POINT E AMITIE,ECOLE POINT E 2,2,291,CLASSE CM2 A
DAKAR,FANN POINT E AMITIE,ECOLE POINT E 2,3,289,CLASSE CM1 A
DAKAR,FANN POINT E AMITIE,ECOLE POINT E 2,4,286,CLASSE CI B
DAKAR,FANN POINT E AMITIE,GROUPE SCOLAIRE RUE 10,1,547,CLASSE CI A
DAKAR,FANN POINT E AMITIE,GROUPE SCOLAIRE RUE 10,2,546,CLASSE CI B
DAKAR,FANN POINT E AMITIE,GROUPE SCOLAIRE RUE 10,3,546,CLASSE CP A
DAKAR,FANN POINT E AMITIE,GROUPE SCOLAIRE RUE 10,4,546,CLASSE CP B
DAKAR,FANN POINT E AMITIE,GROUPE SCOLAIRE RUE 10,5,546,CLASSE CE1 A
DAKAR,FANN POINT E AMITIE,GROUPE SCOLAIRE RUE 10,6,531,SALLE DE CLASSE
DAKAR,FANN POINT E AMITIE,GROUPE SCOLAIRE RUE 10,7,464,SALLE DE CLASSE
