DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,GRAND DAKAR,C.E.M. ALIOUNE DIOP,1,494.0,SALLE DE CLASSE
DAKAR,GRAND DAKAR,C.E.M. ALIOUNE DIOP,2,490.0,SALLE DE CLASSE
DAKAR,GRAND DAKAR,C.E.M. ALIOUNE DIOP,3,496.0,SALLE DE CLASSE
DAKAR,GRAND DAKAR,C.E.M. ALIOUNE DIOP,4,490.0,SALLE DE CLASSE
DAKAR,GRAND DAKAR,C.E.M. ALIOUNE DIOP,5,485.0,SALLE DE CLASSE
DAKAR,GRAND DAKAR,C.E.M. ALIOUNE DIOP,6,490.0,SALLE DE CLASSE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),1,590.0,CLASSE CM2 B
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),2,589.0,CLASSE CM1 B
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),3,591.0,CLASSE CE1 C
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),4,590.0,CLASSE CE2 A
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),5,590.0,CLASSE CE1 A
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),6,591.0,CLASSE CP B
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),7,591.0,CLASSE CP A
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),8,593.0,CLASSE CI A
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),9,590.0,CLASSE CM2 A
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),10,592.0,CLASSE CE1 B
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),11,589.0,SALLE DE CLASSE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),12,588.0,SALLE DE CLASSE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),13,590.0,SALLE DE CLASSE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),14,591.0,ECOLE MAGUETTE C SARR (TAIBA G D)
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),15,593.0,ECOLE MAGUETTE C SARR (TAIBA G D)
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),16,592.0,ECOLE MAGUETTE C SARR (TAIBA G D)
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),17,593.0,ECOLE PRIVEE LIMAMOULAYE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),18,588.0,ECOLE PRIVEE LIMAMOULAYE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),19,591.0,ECOLE PRIVEE LIMAMOULAYE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),20,590.0,ECOLE PRIVEE LIMAMOULAYE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),21,591.0,ECOLE PRIVEE LIMAMOULAYE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),22,590.0,ECOLE PRIVEE LIMAMOULAYE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),23,594.0,ECOLE PRIVEE LIMAMOULAYE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),24,593.0,ECOLE PRIVEE LIMAMOULAYE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),25,592.0,ECOLE PRIVEE LIMAMOULAYE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),26,592.0,ECOLE PRIVEE LIMAMOULAYE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),27,593.0,ECOLE PRIVEE LIMAMOULAYE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),28,593.0,ECOLE PRIVEE LIMAMOULAYE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),29,595.0,ECOLE PRIVEE LIMAMOULAYE 2NDE
DAKAR,GRAND DAKAR,ECOLE ISSA KANE (BASSAM GOUMBA),30,595.0,ECOLE PRIVEE LIMAMOULAYE 1ERE
DAKAR,GRAND DAKAR,ECOLE MAGUETTE C. SARR (TAIBA G D),1,525.0,CLASSE CI A
DAKAR,GRAND DAKAR,ECOLE MAGUETTE C. SARR (TAIBA G D),2,525.0,CLASSE CI B
DAKAR,GRAND DAKAR,ECOLE MAGUETTE C. SARR (TAIBA G D),3,529.0,CLASSE CP A
DAKAR,GRAND DAKAR,ECOLE MAGUETTE C. SARR (TAIBA G D),4,521.0,CLASSE CP B
DAKAR,GRAND DAKAR,ECOLE MAGUETTE C. SARR (TAIBA G D),5,531.0,CLASSE CE1 A
DAKAR,GRAND DAKAR,ECOLE MAGUETTE C. SARR (TAIBA G D),6,516.0,CLASSE CE1 B
DAKAR,GRAND DAKAR,ECOLE MAGUETTE C. SARR (TAIBA G D),7,530.0,CLASSE CE2  A
