DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,GRAND YOFF,ANNEXE ECOLE ALINE SITOE DIATTA,1,472,SALLE DE CLASSE
DAKAR,GRAND YOFF,ANNEXE ECOLE ALINE SITOE DIATTA,2,478,SALLE DE CLASSE
DAKAR,GRAND YOFF,ANNEXE ECOLE ALINE SITOE DIATTA,3,468,SALLE DE CLASSE
DAKAR,GRAND YOFF,ANNEXE ECOLE ALINE SITOE DIATTA,4,465,SALLE DE CLASSE
DAKAR,GRAND YOFF,ANNEXE ECOLE ALINE SITOE DIATTA,5,473,SALLE DE CLASSE
DAKAR,GRAND YOFF,BUREAU DE POSTE GRAND YOFF,1,535,ABRI PROVISOIRE
DAKAR,GRAND YOFF,BUREAU DE POSTE GRAND YOFF,2,547,ABRI PROVISOIRE
DAKAR,GRAND YOFF,BUREAU DE POSTE GRAND YOFF,3,543,ABRI PROVISOIRE
DAKAR,GRAND YOFF,BUREAU DE POSTE GRAND YOFF,4,62,ABRI PROVISOIRE
DAKAR,GRAND YOFF,ECOLE CITE SIPRES 1,1,584,CLASSE CIA
DAKAR,GRAND YOFF,ECOLE CITE SIPRES 1,2,584,CLASSE CIB
DAKAR,GRAND YOFF,ECOLE CITE SIPRES 1,3,584,CLASSE CPA
DAKAR,GRAND YOFF,ECOLE CITE SIPRES 1,4,584,CLASSE CPB
DAKAR,GRAND YOFF,ECOLE CITE SIPRES 1,5,585,SALLE DE CLASSE
DAKAR,GRAND YOFF,ECOLE CITE SIPRES 1,6,584,SALLE DE CLASSE
DAKAR,GRAND YOFF,ECOLE CITE SIPRES 1,7,339,SALLE DE CLASSE
DAKAR,GRAND YOFF,ECOLE GRAND YOFF 2,1,589,CLASSE CIB
DAKAR,GRAND YOFF,ECOLE GRAND YOFF 2,2,590,CLASSE CIA
DAKAR,GRAND YOFF,ECOLE GRAND YOFF 2,3,589,CLASSE CM2B
DAKAR,GRAND YOFF,ECOLE GRAND YOFF 2,4,590,CLASSE CM2A
DAKAR,GRAND YOFF,ECOLE GRAND YOFF 2,5,588,CLASSE CM1B
DAKAR,GRAND YOFF,ECOLE GRAND YOFF 2,6,588,CLASSE CM1A
DAKAR,GRAND YOFF,ECOLE GRAND YOFF 2,7,590,CLASSE CE2B
DAKAR,GRAND YOFF,ECOLE GRAND YOFF 2,8,589,CLASSE CE2A
DAKAR,GRAND YOFF,ECOLE GRAND YOFF 2,9,589,CLASSE CE1B
DAKAR,GRAND YOFF,ECOLE GRAND YOFF 2,10,591,CLASSE CE1A
DAKAR,GRAND YOFF,ECOLE GRAND YOFF 2,11,588,CLASSE CPB
DAKAR,GRAND YOFF,ECOLE GRAND YOFF 2,12,591,CLASSE CM2C
DAKAR,GRAND YOFF,ECOLE GRAND YOFF 2,13,590,CLASSE CPA
DAKAR,GRAND YOFF,ECOLE HLM GRAND-YOFF,1,598,CLASSE CE2A
