DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,GUEULE TAPEE FASS CO,ECOLE ADJA WARATH DIENE (FANN GT),1,537.0,CLASSE CI
DAKAR,GUEULE TAPEE FASS CO,ECOLE ADJA WARATH DIENE (FANN GT),2,526.0,CLASSE CP
DAKAR,GUEULE TAPEE FASS CO,ECOLE ADJA WARATH DIENE (FANN GT),3,519.0,CLASSE CM2
DAKAR,GUEULE TAPEE FASS CO,ECOLE ADJA WARATH DIENE (FANN GT),4,530.0,CLASSE CM1
DAKAR,GUEULE TAPEE FASS CO,ECOLE ADJA WARATH DIENE (FANN GT),5,524.0,SALLE DE CLASSE CE 1
DAKAR,GUEULE TAPEE FASS CO,ECOLE ADJA WARATH DIENE (FANN GT),6,542.0,SALLE DE CLASSE
DAKAR,GUEULE TAPEE FASS CO,ECOLE ADJA WARATH DIENE (FANN GT),7,549.0,SALLE DE CLASSE
DAKAR,GUEULE TAPEE FASS CO,ECOLE ADJA WARATH DIENE (FANN GT),8,311.0,BUREAU DIRECTEUR
DAKAR,GUEULE TAPEE FASS CO,ECOLE ALIEU CODOU NDOYE (GUELE TAPE,1,543.0,CLASSE CM2 A
DAKAR,GUEULE TAPEE FASS CO,ECOLE ALIEU CODOU NDOYE (GUELE TAPE,2,539.0,CLASSE CM2 B
DAKAR,GUEULE TAPEE FASS CO,ECOLE ALIEU CODOU NDOYE (GUELE TAPE,3,539.0,CLASSE CM1 B
DAKAR,GUEULE TAPEE FASS CO,ECOLE ALIEU CODOU NDOYE (GUELE TAPE,4,538.0,CLASSE CM1 A
DAKAR,GUEULE TAPEE FASS CO,ECOLE ALIEU CODOU NDOYE (GUELE TAPE,5,543.0,CLASSE CE2 B
DAKAR,GUEULE TAPEE FASS CO,ECOLE ALIEU CODOU NDOYE (GUELE TAPE,6,543.0,CLASSE CE2 A
DAKAR,GUEULE TAPEE FASS CO,ECOLE ALIEU CODOU NDOYE (GUELE TAPE,7,537.0,CLASSE CE1 A
DAKAR,GUEULE TAPEE FASS CO,ECOLE ALIEU CODOU NDOYE (GUELE TAPE,8,540.0,CLASSE CE1 B
DAKAR,GUEULE TAPEE FASS CO,ECOLE AMADOU LAMINE DIENE(EX MED RE,1,454.0,CLASSE CM1 B
DAKAR,GUEULE TAPEE FASS CO,ECOLE AMADOU LAMINE DIENE(EX MED RE,2,461.0,CLASSE CE1 B
DAKAR,GUEULE TAPEE FASS CO,ECOLE AMADOU LAMINE DIENE(EX MED RE,3,453.0,CLASSE CI B
DAKAR,GUEULE TAPEE FASS CO,ECOLE AMADOU LAMINE DIENE(EX MED RE,4,453.0,CLASSE CP A
DAKAR,GUEULE TAPEE FASS CO,ECOLE AMADOU LAMINE DIENE(EX MED RE,5,458.0,SALLE DE CLASSE CM1 A
DAKAR,GUEULE TAPEE FASS CO,ECOLE DIARAF IBRA PAYE (EX MANGU 3),1,600.0,CLASSE CE1 B
DAKAR,GUEULE TAPEE FASS CO,ECOLE DIARAF IBRA PAYE (EX MANGU 3),2,599.0,CLASSE CM1
DAKAR,GUEULE TAPEE FASS CO,ECOLE DIARAF IBRA PAYE (EX MANGU 3),3,600.0,CLASSE CM2
DAKAR,GUEULE TAPEE FASS CO,ECOLE DIARAF IBRA PAYE (EX MANGU 3),4,599.0,CLASSE CE1 A
DAKAR,GUEULE TAPEE FASS CO,ECOLE DIARAF IBRA PAYE (EX MANGU 3),5,600.0,CLASSE CP
DAKAR,GUEULE TAPEE FASS CO,ECOLE DIARAF IBRA PAYE (EX MANGU 3),6,600.0,CLASSE CI
DAKAR,GUEULE TAPEE FASS CO,ECOLE DIARAF IBRA PAYE (EX MANGU 3),7,601.0,SALLE PETITE SECTION
DAKAR,GUEULE TAPEE FASS CO,ECOLE DIARAF IBRA PAYE (EX MANGU 3),8,600.0,SALLE GRANDE SECTION
DAKAR,GUEULE TAPEE FASS CO,ECOLE DIARAF IBRA PAYE (EX MANGU 3),9,599.0,CLASSE CE2
DAKAR,GUEULE TAPEE FASS CO,ECOLE DIARAF IBRA PAYE (EX MANGU 3),10,600.0,SALLE DE CLASSE
DAKAR,GUEULE TAPEE FASS CO,ECOLE DIARAF IBRA PAYE (EX MANGU 3),11,284.0,SALLE DE CLASSE
DAKAR,GUEULE TAPEE FASS CO,ECOLE EH IBRAHIMA BEYE (COLOBANE),1,537.0,CLASSE CPB
DAKAR,GUEULE TAPEE FASS CO,ECOLE EH IBRAHIMA BEYE (COLOBANE),2,525.0,CLASSE CE1 B
DAKAR,GUEULE TAPEE FASS CO,ECOLE EH IBRAHIMA BEYE (COLOBANE),3,541.0,CLASSE CE2 B
DAKAR,GUEULE TAPEE FASS CO,ECOLE EH IBRAHIMA BEYE (COLOBANE),4,538.0,CLASSE CP A
DAKAR,GUEULE TAPEE FASS CO,ECOLE EH IBRAHIMA BEYE (COLOBANE),5,535.0,CLASSE CE1 A
DAKAR,GUEULE TAPEE FASS CO,ECOLE EH IBRAHIMA BEYE (COLOBANE),6,531.0,CLASSE CE2 A
