DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),1,587.0,CLASSE CIA
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),2,580.0,CLASSE CPA
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),3,580.0,CLASSE CE1 A
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),4,585.0,CLASSE CIB
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),5,586.0,CLASSE CPB
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),6,585.0,CLASSE CE1 B
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),7,587.0,CLASSE CE2 A
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),8,585.0,CLASSE CE2 B
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),9,589.0,CLASSE CM1 A
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),10,585.0,CLASSE CM1 B
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),11,590.0,CLASSE CM2 A
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),12,591.0,CLASSE CM2 B
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),13,216.0,ECOLE LION (CLASSE CM1 B)
DAKAR,H L M,ECOLE HLM 4 E,1,598.0,CLASSE CPA
DAKAR,H L M,ECOLE HLM 4 E,2,593.0,CLASSE CE2 B
DAKAR,H L M,ECOLE HLM 4 E,3,591.0,CLASSE CM2 A
DAKAR,H L M,ECOLE HLM 4 E,4,599.0,SALLE DE CLASSE
DAKAR,H L M,ECOLE HLM 4 E,5,453.0,SALLE DE CLASSE
DAKAR,H L M,ECOLE LION,1,561.0,SALLE DE CLASSE
DAKAR,H L M,ECOLE LION,2,558.0,SALLE DE CLASSE
DAKAR,H L M,ECOLE LION,3,556.0,SALLE DE CLASSE
DAKAR,H L M,ECOLE LION,4,565.0,SALLE DE CLASSE
DAKAR,H L M,ECOLE LION,5,395.0,SALLE DE CLASSE
DAKAR,H L M,GROUPE SCOLAIRE HLM C ET D,1,589.0,CLASSE CM2 A
DAKAR,H L M,GROUPE SCOLAIRE HLM C ET D,2,591.0,CLASSE CM1 B
DAKAR,H L M,GROUPE SCOLAIRE HLM C ET D,3,591.0,CLASSE CE2 A
DAKAR,H L M,GROUPE SCOLAIRE HLM C ET D,4,590.0,CLASSE CE1 B
DAKAR,H L M,GROUPE SCOLAIRE HLM C ET D,5,589.0,CLASSE CPA
DAKAR,H L M,GROUPE SCOLAIRE HLM C ET D,6,591.0,CLASSE CM1 A
DAKAR,H L M,GROUPE SCOLAIRE HLM C ET D,7,591.0,SALLE DE CLASSE
DAKAR,H L M,GROUPE SCOLAIRE HLM C ET D,8,293.0,SALLE DE CLASSE
DAKAR,H L M,H.L.M 4 A,1,547.0,CLASSE CM2 A
DAKAR,H L M,H.L.M 4 A,2,541.0,CLASSE CM1 B
DAKAR,H L M,H.L.M 4 A,3,545.0,CLASSE CE2 A
DAKAR,H L M,H.L.M 4 A,4,541.0,CLASSE CE1 B
DAKAR,H L M,H.L.M 4 A,5,545.0,CLASSE CPA
DAKAR,H L M,H.L.M 4 A,6,547.0,CLASSE CM1 A
DAKAR,H L M,H.L.M 4 B,1,594.0,CLASSE CIA
DAKAR,H L M,H.L.M 4 B,2,594.0,CLASSE CIB
DAKAR,H L M,H.L.M 4 B,3,594.0,CLASSE CPA
DAKAR,H L M,H.L.M 4 B,4,596.0,CLASSE CPB
DAKAR,H L M,H.L.M 4 B,5,598.0,CLASSE CE1 A
DAKAR,H L M,H.L.M 4 B,6,596.0,CLASSE CE1 B
DAKAR,H L M,H.L.M 4 B,7,599.0,CLASSE CE2 A
DAKAR,H L M,H.L.M 4 B,8,593.0,CLASSE CE2 B
DAKAR,H L M,H.L.M 4 B,9,593.0,CLASSE CM1 A
DAKAR,H L M,H.L.M 4 B,10,593.0,SALLE DE CLASSE
DAKAR,H L M,H.L.M 4 B,11,599.0,SALLE DE CLASSE
