DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,HANN BEL AIR,CAMP ABDOU DIASSE,1,497,ECOLE ABDOU DIASSE BV1
DAKAR,HANN BEL AIR,CAMP ABDOU DIASSE,2,497,ECOLE ABDOU DIASSE BV2
DAKAR,HANN BEL AIR,CAMP ABDOU DIASSE,3,285,SALLE DE CLASSE
DAKAR,HANN BEL AIR,CEM DE HANN,1,585,SALLE 1
DAKAR,HANN BEL AIR,CEM DE HANN,2,590,SALLE 3
DAKAR,HANN BEL AIR,CEM DE HANN,3,584,SALLE 5
DAKAR,HANN BEL AIR,CEM DE HANN,4,585,SALLE 6
DAKAR,HANN BEL AIR,CEM DE HANN,5,587,SALLE 8
DAKAR,HANN BEL AIR,CEM DE HANN,6,590,SALLE 9
DAKAR,HANN BEL AIR,CEM DE HANN,7,588,SALLE 2
DAKAR,HANN BEL AIR,CEM DE HANN,8,591,SALLE DE CLASSE
DAKAR,HANN BEL AIR,CEM DE HANN,9,592,SALLE DE CLASE
DAKAR,HANN BEL AIR,CEM DE HANN,10,423,SALLE 10
DAKAR,HANN BEL AIR,COURS SAINTE MARIE DE HANN,1,592,SALLE LORCA
DAKAR,HANN BEL AIR,COURS SAINTE MARIE DE HANN,2,582,SALLE DE CAMOENS
DAKAR,HANN BEL AIR,COURS SAINTE MARIE DE HANN,3,589,SALLE CAMARA LAYE
DAKAR,HANN BEL AIR,COURS SAINTE MARIE DE HANN,4,589,SALLE VICTOR HUGO
DAKAR,HANN BEL AIR,COURS SAINTE MARIE DE HANN,5,579,SALLE AIME CESAIRE
DAKAR,HANN BEL AIR,COURS SAINTE MARIE DE HANN,6,584,SALLE WILLIAM SHAKES PEARE
DAKAR,HANN BEL AIR,COURS SAINTE MARIE DE HANN,7,556,SALLE DE CLASSE
DAKAR,HANN BEL AIR,COURS SAINTE MARIE DE HANN,8,561,SALLE DE CLASSE
DAKAR,HANN BEL AIR,COURS SAINTE MARIE DE HANN,9,560,SALLE DE CLASSE
DAKAR,HANN BEL AIR,COURS SAINTE MARIE DE HANN,10,561,SALLE DE CLASSE
DAKAR,HANN BEL AIR,COURS SAINTE MARIE DE HANN,11,560,SALLE DE CLASSE
DAKAR,HANN BEL AIR,COURS SAINTE MARIE DE HANN,12,561,SALLE DE CLASSE
DAKAR,HANN BEL AIR,ECOLE EH BARA GUEYE (HANN PECHEUR),1,551,CLASSE CIB COURS A
DAKAR,HANN BEL AIR,ECOLE EH BARA GUEYE (HANN PECHEUR),2,557,CLASSE CPA COURS A
DAKAR,HANN BEL AIR,ECOLE EH BARA GUEYE (HANN PECHEUR),3,553,CLASSE CPB  COURS A
DAKAR,HANN BEL AIR,ECOLE EH BARA GUEYE (HANN PECHEUR),4,559,CLASSE CE1 B COURS A
DAKAR,HANN BEL AIR,ECOLE EH BARA GUEYE (HANN PECHEUR),5,554,CLASSE CPB  COURS B
DAKAR,HANN BEL AIR,ECOLE EH BARA GUEYE (HANN PECHEUR),6,554,CLASSE CE2 A COURS B
DAKAR,HANN BEL AIR,ECOLE EH BARA GUEYE (HANN PECHEUR),7,545,CLASSE CM1A COURS B
DAKAR,HANN BEL AIR,ECOLE EH BARA GUEYE (HANN PECHEUR),8,564,SALLE DE CLASSE
DAKAR,HANN BEL AIR,ECOLE EH BARA GUEYE (HANN PECHEUR),9,225,SALLE DE CLASSE
DAKAR,HANN BEL AIR,ECOLE EH DOUDOU MBATHIE (HANN VILLA,1,587,CLASSE CM2 A
DAKAR,HANN BEL AIR,ECOLE EH DOUDOU MBATHIE (HANN VILLA,2,588,CLASSE CM1 A
DAKAR,HANN BEL AIR,ECOLE EH DOUDOU MBATHIE (HANN VILLA,3,584,CLASSE CM1 B
DAKAR,HANN BEL AIR,ECOLE EH DOUDOU MBATHIE (HANN VILLA,4,586,CLASSE CM1 C
DAKAR,HANN BEL AIR,ECOLE EH DOUDOU MBATHIE (HANN VILLA,5,586,CLASSE CE2 A
DAKAR,HANN BEL AIR,ECOLE EH DOUDOU MBATHIE (HANN VILLA,6,585,CLASSE CE2 B
DAKAR,HANN BEL AIR,ECOLE EH DOUDOU MBATHIE (HANN VILLA,7,585,CLASSE CE1 B
DAKAR,HANN BEL AIR,ECOLE EH DOUDOU MBATHIE (HANN VILLA,8,586,CLASSE CP B
DAKAR,HANN BEL AIR,ECOLE EH DOUDOU MBATHIE (HANN VILLA,9,585,CLASSE CIB
DAKAR,HANN BEL AIR,ECOLE EH DOUDOU MBATHIE (HANN VILLA,10,584,CLASSE CE 1 A
