DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),1,600,CLASSE CM2 B
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),2,600,CLASSE CM2 A
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),3,600,CLASSE CP A
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),4,600,CLASSE CI B
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),5,600,CLASSE CI A
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),6,600,CLASSE CP B
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),7,600,CLASSE CM1 A
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),8,600,CLASSE CM1 B
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),9,600,CLASSE CE2  A
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),10,600,CLASSE CE2 B
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),11,600,CLASSE CE1 A
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),12,600,CLASSE CE1 B
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),13,600,ECOLE MAMOUR DIAKHATE
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),14,603,ECOLE MAMOUR DIAKHATE
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),15,600,ECOLE MAMOUR DIAKHATE
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),16,595,ECOLE MAMOUR DIAKHATE
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),17,228,ECOLE MAMOUR DIAKHATE
DAKAR,MEDINA,ECOLE EH MBAYE D. DEGAYE (MEDINA 3),1,391,CLASSE CM2 A
DAKAR,MEDINA,ECOLE EH MBAYE D. DEGAYE (MEDINA 3),2,390,CLASSE CM2 B
DAKAR,MEDINA,ECOLE EH MBAYE D. DEGAYE (MEDINA 3),3,396,CLASSE CM 1 A
DAKAR,MEDINA,ECOLE EH MBAYE D. DEGAYE (MEDINA 3),4,390,CLASSE CI A
DAKAR,MEDINA,ECOLE EH MBAYE D. DEGAYE (MEDINA 3),5,392,CLASSE CE2 A
DAKAR,MEDINA,ECOLE MALICK SY,1,575,GIBRALTAR 3 MEDINA
DAKAR,MEDINA,ECOLE MALICK SY,2,572,GIBRALTAR 3 MEDINA
DAKAR,MEDINA,ECOLE MALICK SY,3,573,GIBRALTAR 3 MEDINA
DAKAR,MEDINA,ECOLE MALICK SY,4,569,GIBRALTAR 3 MEDINA
DAKAR,MEDINA,ECOLE MALICK SY,5,581,GIBRALTAR 3 MEDINA
DAKAR,MEDINA,ECOLE MAMOUR DIAKHATE(EX MEDINA 4),1,545,CLASSE CI A
