DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,MERMOZ SACRE COEUR,CASE DES TOUT PETITS V.D.N.,1,581.0,CLASSE GRANDE SECTION
DAKAR,MERMOZ SACRE COEUR,CASE DES TOUT PETITS V.D.N.,2,567.0,CLASSE MOYENNE SECTION
DAKAR,MERMOZ SACRE COEUR,CASE DES TOUT PETITS V.D.N.,3,571.0,SALLE DE CLASSE
DAKAR,MERMOZ SACRE COEUR,CASE DES TOUT PETITS V.D.N.,4,171.0,SALLE DE CLASSE
DAKAR,MERMOZ SACRE COEUR,ECOLE LIBERTE 5,1,558.0,CLASSE CM2 C
DAKAR,MERMOZ SACRE COEUR,ECOLE LIBERTE 5,2,561.0,CLASSE CM1 B
DAKAR,MERMOZ SACRE COEUR,ECOLE LIBERTE 5,3,556.0,CLASSE CP A
DAKAR,MERMOZ SACRE COEUR,ECOLE LIBERTE 5,4,558.0,CLASSE CP B
DAKAR,MERMOZ SACRE COEUR,ECOLE LIBERTE 5,5,556.0,CLASSE CE1 A
DAKAR,MERMOZ SACRE COEUR,ECOLE LIBERTE 5,6,558.0,CLASSE CE1 B
DAKAR,MERMOZ SACRE COEUR,ECOLE LIBERTE 5,7,560.0,CLASSE CM1 A
DAKAR,MERMOZ SACRE COEUR,ECOLE LIBERTE 5,8,558.0,CLASSE CM2 B
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),1,580.0,CLASSE CI A
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),2,584.0,CLASSE CE1
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),3,578.0,CLASSE CE2
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),4,581.0,CLASSE CM1
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),5,577.0,CLASSE CM2 A
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),6,581.0,CLASSE CI B
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),7,579.0,CLASSE CP B
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),8,579.0,CLASSE CPA
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),9,581.0,SALLE DE CLASSE
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),10,195.0,SALLE INFORMATIQUE
DAKAR,MERMOZ SACRE COEUR,ECOLE NAFISSATOU NIANG,1,571.0,CLASSE CE1 A
DAKAR,MERMOZ SACRE COEUR,ECOLE NAFISSATOU NIANG,2,575.0,CLASSE CI A
DAKAR,MERMOZ SACRE COEUR,ECOLE NAFISSATOU NIANG,3,573.0,CLASSE CE2 A
DAKAR,MERMOZ SACRE COEUR,ECOLE NAFISSATOU NIANG,4,566.0,CLASSE CM1 A
DAKAR,MERMOZ SACRE COEUR,ECOLE NAFISSATOU NIANG,5,564.0,CLASSE CM2 B
DAKAR,MERMOZ SACRE COEUR,ECOLE NAFISSATOU NIANG,6,396.0,CLASSE CM1
DAKAR,MERMOZ SACRE COEUR,ECOLE WORE,1,579.0,CLASSE CM2
DAKAR,MERMOZ SACRE COEUR,ECOLE WORE,2,595.0,CLASSE CM1
DAKAR,MERMOZ SACRE COEUR,ECOLE WORE,3,590.0,CLASSE CE2
DAKAR,MERMOZ SACRE COEUR,ECOLE WORE,4,595.0,CLASSE CE1
DAKAR,MERMOZ SACRE COEUR,ECOLE WORE,5,584.0,CLASSE CP
DAKAR,MERMOZ SACRE COEUR,ECOLE WORE,6,587.0,CLASSE CI
DAKAR,MERMOZ SACRE COEUR,ECOLE WORE,7,593.0,SALLE DES PROFESSEURS
DAKAR,MERMOZ SACRE COEUR,ECOLE WORE,8,584.0,SALLE DE CLASSE
DAKAR,MERMOZ SACRE COEUR,ECOLE WORE,9,421.0,ECOLE MAARIF DKR SALLE 9
DAKAR,MERMOZ SACRE COEUR,LYCEE NGALANDOU DIOUF,1,597.0,CLASSE PREMIERE S1 N26
DAKAR,MERMOZ SACRE COEUR,LYCEE NGALANDOU DIOUF,2,597.0,CLASSE PREMIERE S2A N27
DAKAR,MERMOZ SACRE COEUR,LYCEE NGALANDOU DIOUF,3,598.0,CLASSE CINQUIEME A1 N23
DAKAR,MERMOZ SACRE COEUR,LYCEE NGALANDOU DIOUF,4,598.0,CLASSE SIXIEME A1 N7
DAKAR,MERMOZ SACRE COEUR,LYCEE NGALANDOU DIOUF,5,598.0,CLASSE SIXIEME M1C N9
DAKAR,MERMOZ SACRE COEUR,LYCEE NGALANDOU DIOUF,6,597.0,CLASSE SIXIEME D N10
DAKAR,MERMOZ SACRE COEUR,LYCEE NGALANDOU DIOUF,7,597.0,SALLE DE CLASSE
DAKAR,MERMOZ SACRE COEUR,LYCEE NGALANDOU DIOUF,8,597.0,SALLE DE CLASSE
DAKAR,MERMOZ SACRE COEUR,LYCEE NGALANDOU DIOUF,9,258.0,SALLE DE CLASSE
