DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,OUAKAM,ECOLE 6,1,583.0,CLASSE CM2A
DAKAR,OUAKAM,ECOLE 6,2,584.0,CLASSE CM1A
DAKAR,OUAKAM,ECOLE 6,3,583.0,CLASSE CE2A
DAKAR,OUAKAM,ECOLE 6,4,592.0,CLASSE CIA
DAKAR,OUAKAM,ECOLE 6,5,590.0,CLASSE CE1B
DAKAR,OUAKAM,ECOLE 6,6,585.0,SALLE DE CLASSE
DAKAR,OUAKAM,ECOLE 6,7,589.0,SALLE DE CLASSE
DAKAR,OUAKAM,ECOLE CITE ASECNA,1,600.0,CLASSE CIA
DAKAR,OUAKAM,ECOLE CITE ASECNA,2,600.0,CLASSE CIB
DAKAR,OUAKAM,ECOLE CITE ASECNA,3,600.0,CLASSE CPA
DAKAR,OUAKAM,ECOLE CITE ASECNA,4,600.0,CLASSE CM2B
DAKAR,OUAKAM,ECOLE CITE ASECNA,5,600.0,CLASSE CM2A
DAKAR,OUAKAM,ECOLE CITE ASECNA,6,600.0,CLASSE CM1B
DAKAR,OUAKAM,ECOLE CITE ASECNA,7,600.0,CLASSE CM1A
DAKAR,OUAKAM,ECOLE CITE ASECNA,8,600.0,CLASSE CE2B
DAKAR,OUAKAM,ECOLE CITE ASECNA,9,230.0,CLASSE CP B
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),1,597.0,CLASSE CPA
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),2,598.0,CLASSE CPB
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),3,597.0,CLASSE CM1A
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),4,595.0,CLASSE CM2B
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),5,598.0,CLASSE CM2A
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),6,595.0,CLASSE CM1B
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),7,594.0,CLASSE CE2A
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),8,598.0,CLASSE CE2B
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),9,599.0,CLASSE CIB
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),10,596.0,CLASSE CE1B
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),11,597.0,CLASSE C1 A
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),12,598.0,SALLE DE CLASSE
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),13,594.0,SALLE DES MAITRES
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),14,600.0,BIBLIOTHEQUE
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),15,598.0,MAGASIN
DAKAR,OUAKAM,ECOLE MAMADOU DIAGNE (OUAKAM 1),1,595.0,CLASSE CIA
DAKAR,OUAKAM,ECOLE MAMADOU DIAGNE (OUAKAM 1),2,595.0,CLASSE CM2A
DAKAR,OUAKAM,ECOLE MAMADOU DIAGNE (OUAKAM 1),3,593.0,CLASSE CM2B
DAKAR,OUAKAM,ECOLE MAMADOU DIAGNE (OUAKAM 1),4,595.0,CLASSE CE2A
DAKAR,OUAKAM,ECOLE MAMADOU DIAGNE (OUAKAM 1),5,594.0,CLASSE CE2B
DAKAR,OUAKAM,ECOLE MAMADOU DIAGNE (OUAKAM 1),6,594.0,CLASSE CE1A
DAKAR,OUAKAM,ECOLE MAMADOU DIAGNE (OUAKAM 1),7,595.0,SALLE DE CLASSE
DAKAR,OUAKAM,ECOLE MAMADOU DIAGNE (OUAKAM 1),8,590.0,SALLE DE CLASSE
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,1,591.0,CLASSE CIA
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,2,589.0,CLASSE CPA
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,3,591.0,CLASSE CE1A
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,4,590.0,CLASSE CE2A
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,5,591.0,CLASSE CM1A
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,6,588.0,CLASSE CM1B
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,7,590.0,CLASSE CM2A
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,8,590.0,CLASSE CM2B
