DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,PARCELLES ASSAINIES,C.E.M. UNITE 19,1,599.0,SALLE DE CLASSE
DAKAR,PARCELLES ASSAINIES,C.E.M. UNITE 19,2,599.0,SALLE DE CLASSE
DAKAR,PARCELLES ASSAINIES,C.E.M. UNITE 19,3,599.0,SALLE DE CLASSE
DAKAR,PARCELLES ASSAINIES,C.E.M. UNITE 19,4,599.0,SALLE DE CLASSE
DAKAR,PARCELLES ASSAINIES,C.E.M. UNITE 19,5,598.0,SALLE DE CLASSE
DAKAR,PARCELLES ASSAINIES,C.E.M. UNITE 19,6,599.0,SALLE DE CLASSE
DAKAR,PARCELLES ASSAINIES,C.E.M. UNITE 19,7,599.0,SALLE DE CLASSE
DAKAR,PARCELLES ASSAINIES,C.E.M. UNITE 19,8,598.0,SALLE DE CLASSE
DAKAR,PARCELLES ASSAINIES,C.E.M. UNITE 19,9,211.0,SALLE DE CLASSE
DAKAR,PARCELLES ASSAINIES,ECOLE HLM GRAND MEDINE,1,582.0,CLASSE CM1 A
DAKAR,PARCELLES ASSAINIES,ECOLE HLM GRAND MEDINE,2,580.0,CLASSE CE2 A
DAKAR,PARCELLES ASSAINIES,ECOLE HLM GRAND MEDINE,3,581.0,CLASSE CE 1 A
DAKAR,PARCELLES ASSAINIES,ECOLE HLM GRAND MEDINE,4,577.0,CLASSE CI B
DAKAR,PARCELLES ASSAINIES,ECOLE HLM GRAND MEDINE,5,581.0,CLASSE CI A
DAKAR,PARCELLES ASSAINIES,ECOLE HLM GRAND MEDINE,6,577.0,CLASSE CP A
DAKAR,PARCELLES ASSAINIES,ECOLE HLM GRAND MEDINE,7,579.0,CLASSE CM2 A
DAKAR,PARCELLES ASSAINIES,ECOLE HLM GRAND MEDINE,8,582.0,SALLE DE CLASSE
DAKAR,PARCELLES ASSAINIES,ECOLE HLM GRAND MEDINE,9,580.0,SALLE DE CLASSE
DAKAR,PARCELLES ASSAINIES,ECOLE HLM GRAND MEDINE,10,578.0,ABRI PROVISOIRE
DAKAR,PARCELLES ASSAINIES,ECOLE PARCELLES ASSAINIES D (U 10),1,591.0,CLASSE CI A
DAKAR,PARCELLES ASSAINIES,ECOLE PARCELLES ASSAINIES D (U 10),2,590.0,CLASSE CI B
DAKAR,PARCELLES ASSAINIES,ECOLE PARCELLES ASSAINIES D (U 10),3,592.0,CLASSE CI
DAKAR,PARCELLES ASSAINIES,ECOLE PARCELLES ASSAINIES D (U 10),4,597.0,CLASSE CP
DAKAR,PARCELLES ASSAINIES,ECOLE PARCELLES ASSAINIES D (U 10),5,597.0,CLASSE CE 1
DAKAR,PARCELLES ASSAINIES,ECOLE PARCELLES ASSAINIES D (U 10),6,593.0,CLASSE CM2
DAKAR,PARCELLES ASSAINIES,ECOLE PARCELLES ASSAINIES D (U 10),7,587.0,CLASSE CM1
DAKAR,PARCELLES ASSAINIES,ECOLE PARCELLES ASSAINIES D (U 10),8,597.0,CLASSE CM2
DAKAR,PARCELLES ASSAINIES,ECOLE PARCELLES ASSAINIES D (U 10),9,593.0,CLASSE CP A
DAKAR,PARCELLES ASSAINIES,ECOLE PARCELLES ASSAINIES D (U 10),10,593.0,CLASSE CM2 A
DAKAR,PARCELLES ASSAINIES,ECOLE PARCELLES ASSAINIES D (U 10),11,597.0,CLASSE CM2 A
DAKAR,PARCELLES ASSAINIES,ECOLE PARCELLES ASSAINIES D (U 10),12,596.0,CLASSE CM2 B
DAKAR,PARCELLES ASSAINIES,ECOLE PARCELLES ASSAINIES D (U 10),13,596.0,CLASSE CM1 A
DAKAR,PARCELLES ASSAINIES,ECOLE PARCELLES ASSAINIES D (U 10),14,600.0,CLASSE CM1 B
DAKAR,PARCELLES ASSAINIES,ECOLE PARCELLES ASSAINIES D (U 10),15,585.0,CLASSE CE2 A
DAKAR,PARCELLES ASSAINIES,ECOLE PARCELLES ASSAINIES D (U 10),16,594.0,CLASSE CE2 B BV 16
DAKAR,PARCELLES ASSAINIES,ECOLE PARCELLES ASSAINIES D (U 10),17,596.0,SALLE DE CLASSE
DAKAR,PARCELLES ASSAINIES,ECOLE PARCELLES ASSAINIES D (U 10),18,594.0,SALLE DE CLASSE
DAKAR,PARCELLES ASSAINIES,ECOLE PARCELLES ASSAINIES D (U 10),19,596.0,SALLE DE CLASSE
DAKAR,PARCELLES ASSAINIES,ECOLE PARCELLES ASSAINIES D (U 10),20,597.0,SALLE DE CLASSE
DAKAR,PARCELLES ASSAINIES,ECOLE PARCELLES ASSAINIES D (U 10),21,593.0,SALLE INFORMATIQUE
DAKAR,PARCELLES ASSAINIES,ECOLE PARCELLES ASSAINIES D (U 10),22,171.0,ABRI PROVISOIRE
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 11,1,437.0,SALLE DE CLASSE
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 11,2,439.0,SALLE DE CLASSE
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 11,3,443.0,SALLE DE CLASSE
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 11,4,449.0,SALLE DE CLASSE
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 11,5,450.0,SALLE DE CLASSE
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 11,6,438.0,SALLE DE CLASSE
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 11,7,428.0,SALLE DE CLASSE
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 11,8,439.0,SALLE DE CLASSE
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 11,9,433.0,SALLE DE CLASSE
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 11,10,443.0,ABRI PROVISOIRE
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 11,11,433.0,ABRI PROVISOIRE
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 14,1,574.0,ANN. DJINDA THIAM SALLE 1
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 14,2,570.0,ANN. DJINDA THIAM SALLE 2
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 14,3,568.0,ANN. DJINDA THIAM SALLE 3
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 14,4,571.0,ANN. DJINDA THIAM SALLE 4
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 14,5,571.0,ANN. DJINDA THIAM SALLE 5
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 14,6,575.0,ANN. DJINDA THIAM SALLE 6
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 14,7,575.0,ANN. DJINDA THIAM SALLE 07
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 14,8,572.0,ANN. DJINDA THIAM SALLE 8
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 14,9,573.0,ANN. DJINDA THIAM SALLE 9
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 14,10,571.0,ANN. DJINDA THIAM SALLE 10
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 14,11,571.0,ANN. DJINDA THIAM SALLE 11
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 14,12,573.0,ANN. DJINDA THIAM SALLE 12
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 14,13,573.0,ANN. DJINDA THIAM SALLE 13
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 14,14,572.0,ANN. DJINDA THIAM SALLE 14
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 14,15,571.0,ANN. DJINDA THIAM SALLE 15
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 14,16,574.0,ANN.DJINDA THIAM SALLE 16
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 14,17,571.0,ANN.DJINDA THIAM SALLE 17
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 14,18,567.0,ANN.DJINDA THIAM SALLE 18
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 14,19,571.0,ANN.DJINDA THIAM SALLE 19
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 14,20,568.0,ANN.DJINDA THIAM SALLE 20
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 14,21,571.0,ANN.DJINDA THIAM SALLE 21
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 14,22,575.0,ANN DJINDA THIAM SALLE 22
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 17,1,570.0,CLASSE CE1 B
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 17,2,578.0,CLASSE CE2 B
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 17,3,574.0,CLASSE CP B
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 17,4,568.0,CLASSE CE1 A
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 17,5,571.0,CLASSE CM2 A
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 17,6,566.0,CLASSE CM2 B
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 17,7,573.0,CLASSE CE2 A
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 17,8,574.0,CLASSE CM1 B
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 17,9,578.0,SALLE DE CLASSE
DAKAR,PARCELLES ASSAINIES,ECOLE UNITE 17,10,574.0,SALLE DE CLASSE
