DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,PLATEAU,C.E.S MALICK SY,1,572,SALLE 4 A
DAKAR,PLATEAU,C.E.S MALICK SY,2,568,SALLE DE CLASSE
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),1,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),2,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),3,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),4,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),5,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),6,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),7,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),8,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),9,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),10,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),11,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),12,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),13,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),14,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),15,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),16,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),17,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),18,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),19,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),20,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),21,456,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),22,244,UCAO
DAKAR,PLATEAU,ECOLE BERTHE MAUBERT,1,540,CLASSE CE2 B
DAKAR,PLATEAU,ECOLE BERTHE MAUBERT,2,544,CLASSE CE 1 A
DAKAR,PLATEAU,ECOLE BERTHE MAUBERT,3,546,CLASSE CM 2 B
DAKAR,PLATEAU,ECOLE BERTHE MAUBERT,4,534,CLASSE CM2
DAKAR,PLATEAU,ECOLE BERTHE MAUBERT,5,448,SALLE DE CLASSE
DAKAR,PLATEAU,ECOLE CHEIKH AMADOU MBACKE (KLEBER),1,575,CLASSE CI A
DAKAR,PLATEAU,ECOLE CHEIKH AMADOU MBACKE (KLEBER),2,574,CLASSE CP B
DAKAR,PLATEAU,ECOLE CHEIKH AMADOU MBACKE (KLEBER),3,576,CLASSE CE1 A
DAKAR,PLATEAU,ECOLE CHEIKH AMADOU MBACKE (KLEBER),4,574,CLASSE CE2 A
DAKAR,PLATEAU,ECOLE EH BIBI NDIAYE (FAIDHERBE),1,600,SALLE DE CLASSE
DAKAR,PLATEAU,ECOLE EH BIBI NDIAYE (FAIDHERBE),2,600,SALLE DE CLASSE
DAKAR,PLATEAU,ECOLE EH BIBI NDIAYE (FAIDHERBE),3,601,SALLE DE CLASSE
DAKAR,PLATEAU,ECOLE EH BIBI NDIAYE (FAIDHERBE),4,600,SALLE DE CLASSE
DAKAR,PLATEAU,ECOLE EH BIBI NDIAYE (FAIDHERBE),5,600,SALLE DE CLASSE
DAKAR,PLATEAU,ECOLE EH BIBI NDIAYE (FAIDHERBE),6,600,SALLE DE CLASSE
DAKAR,PLATEAU,ECOLE EH BIBI NDIAYE (FAIDHERBE),7,600,SALLE DE CLASSE
DAKAR,PLATEAU,ECOLE EH BIBI NDIAYE (FAIDHERBE),8,599,SALLE DE CLASSE
DAKAR,PLATEAU,ECOLE EH BIBI NDIAYE (FAIDHERBE),9,422,SALLE DE CLASSE
DAKAR,PLATEAU,ECOLE EH BIBI NDIAYE (FAIDHERBE),10,323,SALLE DE CLASSE
DAKAR,PLATEAU,ECOLE EH MOUSTAPHA DIOP (FLEURUS),1,600,CLASSE CE2 A
DAKAR,PLATEAU,ECOLE EH MOUSTAPHA DIOP (FLEURUS),2,600,CLASSE CE2 B
DAKAR,PLATEAU,ECOLE EH MOUSTAPHA DIOP (FLEURUS),3,600,CLASSE CE1 A
DAKAR,PLATEAU,ECOLE EH MOUSTAPHA DIOP (FLEURUS),4,600,CLASSE CI B
DAKAR,PLATEAU,ECOLE EH MOUSTAPHA DIOP (FLEURUS),5,600,CLASSE CP B
DAKAR,PLATEAU,ECOLE EH MOUSTAPHA DIOP (FLEURUS),6,600,SALLE DE CLASSE CE 1 A
DAKAR,PLATEAU,ECOLE EH MOUSTAPHA DIOP (FLEURUS),7,524,SALLE DE CLASSE
DAKAR,PLATEAU,ECOLE EH MOUSTAPHA DIOP (FLEURUS),8,212,SALLE DE CLASSE
DAKAR,PLATEAU,ECOLE IBRAHIMA DIOP (CLEMENCEAU),1,535,CLASSE CI A
DAKAR,PLATEAU,ECOLE IBRAHIMA DIOP (CLEMENCEAU),2,534,CLASSE CP B
DAKAR,PLATEAU,ECOLE IBRAHIMA DIOP (CLEMENCEAU),3,534,CLASSE CE1 A
DAKAR,PLATEAU,ECOLE IBRAHIMA DIOP (CLEMENCEAU),4,532,CLASSE CE1 B
DAKAR,PLATEAU,ECOLE IBRAHIMA DIOP (CLEMENCEAU),5,531,CLASSE CM1 A
DAKAR,PLATEAU,ECOLE IBRAHIMA DIOP (CLEMENCEAU),6,526,CLASSE CM1 B
DAKAR,PLATEAU,ECOLE IBRAHIMA DIOP (CLEMENCEAU),7,527,CLASSE CP A
DAKAR,PLATEAU,ECOLE IBRAHIMA DIOP (CLEMENCEAU),8,525,CLASSE CE2 A
DAKAR,PLATEAU,ECOLE REBEUSS,1,600,CLASSE CIA
DAKAR,PLATEAU,ECOLE REBEUSS,2,600,CLASSE CPA
DAKAR,PLATEAU,ECOLE REBEUSS,3,599,CLASSE CE1A
DAKAR,PLATEAU,ECOLE REBEUSS,4,600,CLASSE CE2
DAKAR,PLATEAU,ECOLE REBEUSS,5,600,CLASSE CM1
DAKAR,PLATEAU,ECOLE REBEUSS,6,600,CLASSE CM2
DAKAR,PLATEAU,ECOLE REBEUSS,7,600,SALLE DE CLASSE
DAKAR,PLATEAU,ECOLE REBEUSS,8,600,SALLE DE CLASSE
DAKAR,PLATEAU,ECOLE REBEUSS,9,600,SALLE 12
DAKAR,PLATEAU,ECOLE REBEUSS,10,600,SALLE DE CLASSE
DAKAR,PLATEAU,ECOLE REBEUSS,11,188,SALLE DE CLASSE
