DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,SICAP LIBERTE,CENTRE SOCIAL LIBERTE 3 A,1,585.0,GRANDE SALLE 1
DAKAR,SICAP LIBERTE,CENTRE SOCIAL LIBERTE 3 A,2,588.0,GRANDE SALLE 2
DAKAR,SICAP LIBERTE,CENTRE SOCIAL LIBERTE 3 A,3,576.0,SALLE DE COUTURE
DAKAR,SICAP LIBERTE,CENTRE SOCIAL LIBERTE 3 A,4,533.0,SALLE
DAKAR,SICAP LIBERTE,CENTRE SOCIAL LIBERTE 3 A,5,442.0,ABRI PROVISOIRE
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,1,600.0,CLASSE CP A
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,2,600.0,CLASSE CP B
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,3,600.0,CLASSE CP C
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,4,591.0,CLASSE CI B
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,5,601.0,CLASSE CM2 C
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,6,600.0,CLASSE CM1 A
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,7,600.0,CLASSE CM1 B
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,8,600.0,CLASSE CM1 C
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,9,600.0,CLASSE CE2 B
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,10,600.0,CLASSE CE1 B
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,11,600.0,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,12,598.0,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,13,588.0,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,14,598.0,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 1,15,295.0,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 A,1,593.0,CLASSE CI A
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 A,2,593.0,CLASSE CI B
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 A,3,593.0,CLASSE CPA
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 A,4,596.0,CLASSE CP B
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 A,5,596.0,CLASSE CM1A
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 A,6,597.0,CLASSE CM1 B
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 A,7,595.0,CLASSE CM2 A
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 A,8,593.0,CLASSE CE1 B
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 A,9,595.0,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 A,10,596.0,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 A,11,595.0,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 A,12,594.0,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 B ET C,1,576.0,CLASSE CM2 A
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 B ET C,2,573.0,CLASSE CM2 B
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 B ET C,3,581.0,CLASSE CM1 A
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 B ET C,4,578.0,CLASSE CM1 B
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 B ET C,5,573.0,CLASSE CP A
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 B ET C,6,577.0,CLASSE CP B
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 B ET C,7,572.0,CLASSE CI A
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 B ET C,8,572.0,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,ECOLE LIBERTE 6 B ET C,9,277.0,CLASSE CI B
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,1,588.0,SALLE 1
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,2,588.0,SALLE 2
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,3,588.0,SALLE 3
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,4,588.0,SALLE 4
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,5,588.0,SALLE 5
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,6,587.0,SALLE 6
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,7,588.0,SALLE 07
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,8,588.0,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,9,588.0,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,10,588.0,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,11,588.0,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,12,588.0,SALLE DE CLASSE
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,13,588.0,SALLE
DAKAR,SICAP LIBERTE,STADE DEMBA DIOP,14,230.0,SALLE BASKET
