DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,YOFF,ECOLE ABABACAR LAYE,1,600.0,ECOLE ABABACAR LAYE BV1
DAKAR,YOFF,ECOLE ABABACAR LAYE,2,600.0,ECOLE ABABACAR LAYE BV2
DAKAR,YOFF,ECOLE ABABACAR LAYE,3,600.0,ECOLE ABABACAR LAYE BV3
DAKAR,YOFF,ECOLE ABABACAR LAYE,4,600.0,ECOLE ABABACAR LAYE BV4
DAKAR,YOFF,ECOLE ABABACAR LAYE,5,600.0,ECOLE ABABACAR LAYE BV5
DAKAR,YOFF,ECOLE ABABACAR LAYE,6,600.0,ECOLE ABABACAR LAYE BV6
DAKAR,YOFF,ECOLE ABABACAR LAYE,7,600.0,SALLE DE CLASSE
DAKAR,YOFF,ECOLE ABABACAR LAYE,8,600.0,SALLE DE CLASSE
DAKAR,YOFF,ECOLE ABABACAR LAYE,9,599.0,SALLE DE CLASSE
DAKAR,YOFF,ECOLE ABABACAR LAYE,10,600.0,SALLE DE CLASSE
DAKAR,YOFF,ECOLE ABABACAR LAYE,11,269.0,SALLE DE CLASSE
DAKAR,YOFF,ECOLE AEROPORT YOFF,1,589.0,CLASSE CPB
DAKAR,YOFF,ECOLE AEROPORT YOFF,2,581.0,CLASSE CE1B
DAKAR,YOFF,ECOLE AEROPORT YOFF,3,588.0,SANS CHANGEMENT
DAKAR,YOFF,ECOLE AEROPORT YOFF,4,584.0,CLASSE CM1B
DAKAR,YOFF,ECOLE AEROPORT YOFF,5,585.0,CLASSE CM1 A
DAKAR,YOFF,ECOLE AEROPORT YOFF,6,587.0,SALLE DE CLASSE
DAKAR,YOFF,ECOLE AEROPORT YOFF,7,584.0,SALLE DE CLASSE
DAKAR,YOFF,ECOLE AEROPORT YOFF,8,168.0,SALLE DE CLASSE
DAKAR,YOFF,ECOLE CITE DIAMALAYE,1,560.0,CLASSE CIA
DAKAR,YOFF,ECOLE CITE DIAMALAYE,2,569.0,CLASSE CPB
DAKAR,YOFF,ECOLE CITE DIAMALAYE,3,555.0,CLASSE CE1A
DAKAR,YOFF,ECOLE CITE DIAMALAYE,4,563.0,CLASSE CM2A
DAKAR,YOFF,ECOLE CITE DIAMALAYE,5,528.0,SALLE DE CLASSE
DAKAR,YOFF,ECOLE CITE DIAMALAYE,6,355.0,CLASSE CE2 B
DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),1,561.0,CLASSE CIA
DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),2,560.0,CLASSE CIB
DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),3,565.0,CLASSE CPA
DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),4,566.0,CLASSE CPB
DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),5,559.0,CLASSE CE1 A
DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),6,562.0,CLASSE CE1B
DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),7,566.0,CLASSE CE2A
DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),8,558.0,CLASSE CE2B
DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),9,562.0,CLASSE CM1A
DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),10,567.0,CLASSE CM1B
DAKAR,YOFF,ECOLE EH TALLA DIAGNE (YOFF 1),1,559.0,CI B ECOLE EH TALLA DIAGNE
DAKAR,YOFF,ECOLE EH TALLA DIAGNE (YOFF 1),2,559.0,CP A ECOLE EH TALLA DIAGNE
DAKAR,YOFF,ECOLE EH TALLA DIAGNE (YOFF 1),3,565.0,CP B ECOLE EH TALLA DIAGNE
DAKAR,YOFF,ECOLE EH TALLA DIAGNE (YOFF 1),4,559.0,CE1 A ECOLE EH TALLA DIAGNE
DAKAR,YOFF,ECOLE EH TALLA DIAGNE (YOFF 1),5,560.0,CE1 B ECOLE EH TALLA DIAGNE
DAKAR,YOFF,ECOLE EH TALLA DIAGNE (YOFF 1),6,494.0,CE2 A ECOLE EH TALLA DIAGNE
DAKAR,YOFF,ECOLE ELIMANE THIAW,1,557.0,CLASSE CI A
DAKAR,YOFF,ECOLE ELIMANE THIAW,2,557.0,CLASSE CI B
DAKAR,YOFF,ECOLE ELIMANE THIAW,3,556.0,CLASSE CP A
DAKAR,YOFF,ECOLE ELIMANE THIAW,4,558.0,CLASSE CP B
DAKAR,YOFF,ECOLE ELIMANE THIAW,5,556.0,CLASSE CI A 2
DAKAR,YOFF,ECOLE ELIMANE THIAW,6,556.0,CLASSE CI B 2
DAKAR,YOFF,ECOLE ELIMANE THIAW,7,556.0,CLASSE CE2 A
DAKAR,YOFF,ECOLE ELIMANE THIAW,8,556.0,CLASSE CE2 B
