DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GUEDIAWAYE,GOLF SUD,CEM BANQUE ISLAMIQUE,01,507,SALLE 11
GUEDIAWAYE,GOLF SUD,CEM BANQUE ISLAMIQUE,02,506,SALLE 08
GUEDIAWAYE,GOLF SUD,CEM BANQUE ISLAMIQUE,03,503,SALLE 05
GUEDIAWAYE,GOLF SUD,CEM BANQUE ISLAMIQUE,04,502,SALLE 03
GUEDIAWAYE,GOLF SUD,C.E.S. OGO DIOP,01,559,SALLE 02
GUEDIAWAYE,GOLF SUD,C.E.S. OGO DIOP,02,558,SALLE 07
GUEDIAWAYE,GOLF SUD,C.E.S. OGO DIOP,03,470,SALLE DE CLASSE
GUEDIAWAYE,GOLF SUD,ECOLE ADOLPHE DIAGNE,01,593,CLASSE CIA
GUEDIAWAYE,GOLF SUD,ECOLE ADOLPHE DIAGNE,02,592,CLASSE CIB
GUEDIAWAYE,GOLF SUD,ECOLE ADOLPHE DIAGNE,03,586,CLASSE CIC
GUEDIAWAYE,GOLF SUD,ECOLE ADOLPHE DIAGNE,04,582,CLASSE CPA
GUEDIAWAYE,GOLF SUD,ECOLE ADOLPHE DIAGNE,05,591,CLASSE CPB
GUEDIAWAYE,GOLF SUD,ECOLE ADOLPHE DIAGNE,06,598,CLASSE CE1A
GUEDIAWAYE,GOLF SUD,ECOLE ADOLPHE DIAGNE,07,581,CLASSE CE1B
GUEDIAWAYE,GOLF SUD,ECOLE ADOLPHE DIAGNE,08,586,CLASSE CE2A
GUEDIAWAYE,GOLF SUD,ECOLE ADOLPHE DIAGNE,09,587,CLASSE CE2B
GUEDIAWAYE,GOLF SUD,ECOLE ADOLPHE DIAGNE,10,584,CLASSE CM1A
GUEDIAWAYE,GOLF SUD,ECOLE ADOLPHE DIAGNE,11,582,CLASSE CM1B
GUEDIAWAYE,GOLF SUD,ECOLE ADOLPHE DIAGNE,12,588,CLASSE CM2 A
GUEDIAWAYE,GOLF SUD,ECOLE ADOLPHE DIAGNE,13,589,CLASSE CM2B
GUEDIAWAYE,GOLF SUD,ECOLE ADOLPHE DIAGNE,14,589,CLASSE CI
GUEDIAWAYE,GOLF SUD,ECOLE ADOLPHE DIAGNE,15,589,CLASSE CP
GUEDIAWAYE,GOLF SUD,ECOLE ADOLPHE DIAGNE,16,586,SALLE DE CLASSE
GUEDIAWAYE,GOLF SUD,ECOLE ADOLPHE DIAGNE,17,591,SALLE DE CLASSE
GUEDIAWAYE,GOLF SUD,ECOLE ADOLPHE DIAGNE,18,587,ABRI PROVISOIRE
GUEDIAWAYE,GOLF SUD,ECOLE ADOLPHE DIAGNE,19,593,ABRI PROVISOIRE
GUEDIAWAYE,GOLF SUD,ECOLE ADOLPHE DIAGNE,20,585,ABRI PROVISOIRE
GUEDIAWAYE,GOLF SUD,ECOLE ADOLPHE DIAGNE,21,589,ABRI PROVISOIRE
GUEDIAWAYE,GOLF SUD,ECOLE ADOLPHE DIAGNE,22,577,ABRI PROVISOIRE
GUEDIAWAYE,GOLF SUD,ECOLE ADOLPHE DIAGNE,23,492,ABRI PROVISOIRE
GUEDIAWAYE,GOLF SUD,ECOLE F UNITE 5,01,574,CLASSE CM2B
GUEDIAWAYE,GOLF SUD,ECOLE F UNITE 5,02,568,CLASSE CM2 B
GUEDIAWAYE,GOLF SUD,ECOLE F UNITE 5,03,567,CLASSE CE2B
GUEDIAWAYE,GOLF SUD,ECOLE F UNITE 5,04,576,CLASSE CE1B
GUEDIAWAYE,GOLF SUD,ECOLE F UNITE 5,05,575,CLASSE CPB
GUEDIAWAYE,GOLF SUD,ECOLE F UNITE 5,06,569,CLASSE CIA
GUEDIAWAYE,GOLF SUD,ECOLE F UNITE 5,07,579,SALLE DE CLASSE
GUEDIAWAYE,GOLF SUD,ECOLE G UNITE 6,01,556,CLASSE CE1B ECOLE B
