DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,1,591,SALLE MATERNELLE
GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,2,589,CLASSE CIA
GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,3,590,CLASSE CI B
GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,4,595,CLASSE CP
GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,5,595,CLASSE CE1
GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,6,591,CLASSE CE2
GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,7,591,CLASSE CE2B
GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,8,593,CLASSE CM1A
GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,9,594,SALLE DE CLASSE
GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,10,592,SALLE DE CLASSE
GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,11,595,SALLE DE CLASSE
GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,12,592,SALLE DE CLASSE
GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,13,593,SALLE DE CLASSE
GUEDIAWAYE,MEDINA GOUNASS,ECOLE PRIMAIRE MEDINA GOUNASS,14,594,SALLE DE CLASSE
GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,1,558,ABRI PROVISOIRE
GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,2,548,ABRI PROVISOIRE
GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,3,560,ABRI PROVISOIRE
GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,4,550,ABRI PROVISOIRE
GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,5,555,ABRI PROVISOIRE
GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,6,550,ABRI PROVISOIRE
GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,7,556,ABRI PROVISOIRE
GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,8,559,ABRI PROVISOIRE
GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,9,559,ABRI PROVISOIRE
GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,10,562,ABRI PROVISOIRE
GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,11,552,ABRI PROVISOIRE
GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,12,554,ABRI PROVISOIRE
GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,13,559,ABRI PROVISOIRE
GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,14,558,ABRI PROVISOIRE
GUEDIAWAYE,MEDINA GOUNASS,HOTEL D'ARRONDISSEMENT,15,563,ABRI PROVISOIRE
GUEDIAWAYE,MEDINA GOUNASS,POSTE DE SANTE MEDINA GOUNASS,1,574,ECOLE GOUNASS 2 SALLE DE CLASSE
GUEDIAWAYE,MEDINA GOUNASS,POSTE DE SANTE MEDINA GOUNASS,2,577,ECOLE GOUNASS 2 SALLE DE CLASSE
GUEDIAWAYE,MEDINA GOUNASS,POSTE DE SANTE MEDINA GOUNASS,3,578,ECOLE GOUNASS 2 SALLE DE CLASSE
GUEDIAWAYE,MEDINA GOUNASS,POSTE DE SANTE MEDINA GOUNASS,4,579,ECOLE GOUNASS 2 SALLE DE CLASSE
GUEDIAWAYE,MEDINA GOUNASS,POSTE DE SANTE MEDINA GOUNASS,5,577,ECOLE GOUNASS 2 SALLE DE CLASSE
GUEDIAWAYE,MEDINA GOUNASS,POSTE DE SANTE MEDINA GOUNASS,6,581,ECOLE GOUNASS 2 SALLE DE CLASSE
GUEDIAWAYE,MEDINA GOUNASS,POSTE DE SANTE MEDINA GOUNASS,7,580,ECOLE GOUNASS 2 SALLE DE CLASSE
GUEDIAWAYE,MEDINA GOUNASS,POSTE DE SANTE MEDINA GOUNASS,8,581,ECOLE GOUNASS 2 SALLE DE CLASSE
GUEDIAWAYE,MEDINA GOUNASS,POSTE DE SANTE MEDINA GOUNASS,9,578,ECOLE GOUNASS 2 SALLE DE CLASSE
GUEDIAWAYE,MEDINA GOUNASS,POSTE DE SANTE MEDINA GOUNASS,10,580,ECOLE GOUNASS 2 SALLE DE CLASSE
GUEDIAWAYE,MEDINA GOUNASS,POSTE DE SANTE MEDINA GOUNASS,11,577,ECOLE GOUNASS 2 SALLE DE CLASSE
