DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,1,591.0,CLASSE CE2 A
GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,2,591.0,CLASSE CE2 B
GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,3,593.0,CLASSE CE2 C
GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,4,592.0,CLASSE CM1 A
GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,5,594.0,CLASSE CM1 B
GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,6,594.0,CLASSE CM1 C
GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,7,593.0,CLASSE CM2 C
GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,8,591.0,CLASSE CI A
GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,9,592.0,CLASSE CI B
GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,10,588.0,CLASSE CP A
GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,11,589.0,SALLE DE CLASSE
GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,12,589.0,SALLE DE CLASSE
GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,13,593.0,SALLE DE CLASSE
GUEDIAWAYE,NDIAREME,ECOLE 18 GUEDIAWAYE,14,589.0,SALLE DE CLASSE
GUEDIAWAYE,NDIAREME,ECOLE HAMO 4,1,589.0,CLASSE CE1 A
GUEDIAWAYE,NDIAREME,ECOLE HAMO 4,2,588.0,CLASSE CE1 B
GUEDIAWAYE,NDIAREME,ECOLE HAMO 4,3,591.0,CLASSE CE2 A
GUEDIAWAYE,NDIAREME,ECOLE HAMO 4,4,586.0,CLASSE CM1 A
GUEDIAWAYE,NDIAREME,ECOLE HAMO 4,5,589.0,CLASSE CE1 A
GUEDIAWAYE,NDIAREME,ECOLE HAMO 4,6,588.0,CLASSE CM2 A
GUEDIAWAYE,NDIAREME,ECOLE HAMO 4,7,588.0,CLASSE CP A
GUEDIAWAYE,NDIAREME,ECOLE HAMO 4,8,584.0,CLASSE CE2 A
GUEDIAWAYE,NDIAREME,ECOLE HAMO 4,9,587.0,SALLE DE CLASSE
GUEDIAWAYE,NDIAREME,ECOLE HAMO 4,10,582.0,SALLE DE CLASSE
GUEDIAWAYE,NDIAREME,ECOLE HAMO 4,11,587.0,SALLE DE CLASSE
GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,1,576.0,CLASSE CM2 B ECOLE A
GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,2,575.0,CLASSE CM2 A ECOLE A
GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,3,568.0,CLASSE CM1 B ECOLE A
GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,4,576.0,CLASSE CM1 A ECOLE A
GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,5,576.0,CLASSE CE2 B ECOLE A
GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,6,573.0,CLASSE CP B ECOLE B
GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,7,575.0,CLASSE CP A ECOLE B
GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,8,575.0,CLASSE CE1 A ECOLE B
GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,9,575.0,CLASSE CE1 B ECOLE B
GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,10,574.0,CLASSE CE2 A ECOLE B
GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,11,575.0,CLASSE CIA
GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,12,539.0,SALLE DE CLASSE
GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,13,554.0,SALLE DE CLASSE
GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,14,532.0,SALLE DE CLASSE
GUEDIAWAYE,NDIAREME,ECOLE NDIAREME,15,387.0,SALLE DE CLASSE
GUEDIAWAYE,NDIAREME,LYCEE LIMAMOULAYE,1,579.0,SALLE  FOYER
GUEDIAWAYE,NDIAREME,LYCEE LIMAMOULAYE,2,579.0,SALLE 506 BATIMENT DES 1 ERES
GUEDIAWAYE,NDIAREME,LYCEE LIMAMOULAYE,3,580.0,SALLE SECONDE L2C BATIMENT 2ND
GUEDIAWAYE,NDIAREME,LYCEE LIMAMOULAYE,4,582.0,SALLE SECONDE T1 T3 BAT ENS T
GUEDIAWAYE,NDIAREME,LYCEE LIMAMOULAYE,5,582.0,SALLE DE CLASSE
GUEDIAWAYE,NDIAREME,LYCEE LIMAMOULAYE,6,580.0,SALLE DE CLASSE
GUEDIAWAYE,NDIAREME,LYCEE LIMAMOULAYE,7,579.0,SALLE DE CLASSE
