DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GUEDIAWAYE,SAM,ECOLE 13 DAROU SALAM,1,211.0,CLASSE CE1B
GUEDIAWAYE,SAM,ECOLE 13 DAROU SALAM,2,213.0,CLASSE CE2A
GUEDIAWAYE,SAM,ECOLE 13 DAROU SALAM,3,212.0,CLASSE CE1A
GUEDIAWAYE,SAM,ECOLE 16,1,587.0,CLASSE CM1B
GUEDIAWAYE,SAM,ECOLE 16,2,592.0,CLASSE CM1A
GUEDIAWAYE,SAM,ECOLE 16,3,582.0,SALLE DE REUNION
GUEDIAWAYE,SAM,ECOLE 16,4,585.0,CLASSE CE2A
GUEDIAWAYE,SAM,ECOLE 16,5,578.0,CLASSE CE1A
GUEDIAWAYE,SAM,ECOLE 16,6,586.0,CLASSE CE2B
GUEDIAWAYE,SAM,ECOLE 16,7,588.0,CLASSE CIB
GUEDIAWAYE,SAM,ECOLE 16,8,574.0,CLASSE CM2B
GUEDIAWAYE,SAM,ECOLE 16,9,577.0,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE 16,10,565.0,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE 16,11,574.0,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE 16,12,564.0,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE 16,13,565.0,ABRI PROVISOIRE
GUEDIAWAYE,SAM,ECOLE 17/A GUEDIAWAYE,1,596.0,CLASSE CM1B
GUEDIAWAYE,SAM,ECOLE 17/A GUEDIAWAYE,2,598.0,CLASSE CE2A
GUEDIAWAYE,SAM,ECOLE 17/A GUEDIAWAYE,3,594.0,CLASSE CE1A
GUEDIAWAYE,SAM,ECOLE 17/A GUEDIAWAYE,4,597.0,CLASSE CPA
GUEDIAWAYE,SAM,ECOLE 17/A GUEDIAWAYE,5,596.0,CLASSE CIA
GUEDIAWAYE,SAM,ECOLE 17/A GUEDIAWAYE,6,594.0,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE 17/A GUEDIAWAYE,7,599.0,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE 17/B GUEDIAWAYE,1,552.0,CLASSE CPB
GUEDIAWAYE,SAM,ECOLE 17/B GUEDIAWAYE,2,553.0,CLASSE CIB
GUEDIAWAYE,SAM,ECOLE 17/B GUEDIAWAYE,3,550.0,CLASSE CIA
GUEDIAWAYE,SAM,ECOLE 17/B GUEDIAWAYE,4,550.0,CLASSE CE1B
GUEDIAWAYE,SAM,ECOLE 17/B GUEDIAWAYE,5,474.0,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE 20,1,585.0,CLASSE CE1B ECOLE A
GUEDIAWAYE,SAM,ECOLE 20,2,585.0,CLASSE CE2A ECOLE A
GUEDIAWAYE,SAM,ECOLE 20,3,585.0,CLASSE CM1A ECOLE A
GUEDIAWAYE,SAM,ECOLE 20,4,585.0,CLASSE CM2A ECOLE A
GUEDIAWAYE,SAM,ECOLE 20,5,585.0,SALLE NICOLAS SARR ECOLE B
GUEDIAWAYE,SAM,ECOLE 20,6,585.0,SALLE ELHADJI ELVALID ECOLE B
GUEDIAWAYE,SAM,ECOLE 20,7,585.0,SALLE BABACAR NDAO ECOLE B
GUEDIAWAYE,SAM,ECOLE 20,8,585.0,SALLE ADAMA DIOP ECOLE B
GUEDIAWAYE,SAM,ECOLE 20,9,586.0,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE 20,10,586.0,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE 20,11,585.0,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE 20,12,326.0,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE DORO SY,1,576.0,CLASSE CPA
GUEDIAWAYE,SAM,ECOLE DORO SY,2,575.0,CLASSE CPC
GUEDIAWAYE,SAM,ECOLE DORO SY,3,575.0,CLASSE CE1A
GUEDIAWAYE,SAM,ECOLE DORO SY,4,576.0,CLASSE CE2A
GUEDIAWAYE,SAM,ECOLE DORO SY,5,576.0,CLASSE CE2C
GUEDIAWAYE,SAM,ECOLE DORO SY,6,576.0,CLASSE CM1B
GUEDIAWAYE,SAM,ECOLE DORO SY,7,575.0,CLASSE CIA
GUEDIAWAYE,SAM,ECOLE DORO SY,8,565.0,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE DORO SY,9,568.0,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE DORO SY,10,389.0,SALLE DE CLASSE
