DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GUEDIAWAYE,WAKHINANE NIMZAT,C.E.S. EST,1,570,SALLE 14
GUEDIAWAYE,WAKHINANE NIMZAT,C.E.S. EST,2,556,SALLE 13
GUEDIAWAYE,WAKHINANE NIMZAT,C.E.S. EST,3,563,SALLE 12
GUEDIAWAYE,WAKHINANE NIMZAT,C.E.S. EST,4,566,SALLE 11
GUEDIAWAYE,WAKHINANE NIMZAT,C.E.S. EST,5,564,SALLE 1
GUEDIAWAYE,WAKHINANE NIMZAT,C.E.S. EST,6,562,SALLE 2
GUEDIAWAYE,WAKHINANE NIMZAT,C.E.S. EST,7,567,SALLE 03
GUEDIAWAYE,WAKHINANE NIMZAT,C.E.S. EST,8,566,SALLE 04
GUEDIAWAYE,WAKHINANE NIMZAT,C.E.S. EST,9,566,SALLE DE CLASSE
GUEDIAWAYE,WAKHINANE NIMZAT,C.E.S. EST,10,565,SALLE DE CLASSE
GUEDIAWAYE,WAKHINANE NIMZAT,C.E.S. EST,11,568,SALLE DE CLASSE
GUEDIAWAYE,WAKHINANE NIMZAT,C.E.S. EST,12,564,SALLE DE CLASSE
GUEDIAWAYE,WAKHINANE NIMZAT,C.E.S. EST,13,419,SALLE DE CLASSE
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE 23,1,600,CLASSE CM1 A
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE 23,2,600,CLASSE CM2 A
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE 23,3,600,CLASSE CE2 B
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE 23,4,600,CLASSE CI A
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE 23,5,600,CLASSE CP A
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE 23,6,600,CLASSE CE1 A
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE 23,7,600,SALLE DE CLASSE
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE 23,8,600,SALLE DE CLASSE
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE 23,9,217,SALLE DE CLASSE
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,1,588,CLASSE CE2 A ECOLE A
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,2,591,CLASSE CE2 B ECOLE A
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,3,594,CLASSE CM1 A ECOLE A
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,4,584,CLASSE CM1 B ECOLE A
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,5,589,CLASSE CM2 A ECOLE A
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,6,577,CLASSE CM2 B ECOLE A
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,7,591,CLASSE CE1 B ECOLE B
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,8,586,CLASSE CE1 A ECOLE B
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,9,582,CLASSE CP B ECOLE B
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,10,587,CLASSE CP A ECOLE B
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,11,587,CLASSE CI B ECOLE B
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,12,585,CLASSE CI A  ECOLE B
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,13,591,CLASSE CM2 B ECOLE B
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,14,584,CLASSE CM1 A ECOLE B
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,15,586,CLASSE CM2A ECOLE B
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,16,581,SALLE DE CLASSE
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,17,591,SALLE DE CLASSE
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,18,585,SALLE DE CLASSE
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,19,583,SALLE DE CLASSE
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,20,390,SALLE DE CLASSE
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE KAWSSARA FALL,1,600,CLASSE CE2 B ECOLE B
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE KAWSSARA FALL,2,591,CLASSE CM2 A ECOLE B
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE KAWSSARA FALL,3,595,CLASSE CE1 B ECOLE B
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE KAWSSARA FALL,4,600,CLASSE CM2 A ECOLE A
