DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEUR MASSAR,KEUR MASSAR SUD,DAROU SALAM 2,1,218.0,CLASSE CI
KEUR MASSAR,KEUR MASSAR SUD,DAROU SALAM 2,2,214.0,CLASSE CP
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CAMILLE BASSE,1,582.0,CLASSE CE1 A
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CAMILLE BASSE,2,588.0,CLASSE CI A
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CAMILLE BASSE,3,578.0,CLASSE CP
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CAMILLE BASSE,4,591.0,SALLE DE CLASSE
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CAMILLE BASSE,5,566.0,CLASSE CP B
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,1,573.0,SALLE INFORMATIQUE
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,2,574.0,CLASSE CI A
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,3,571.0,CLASSE CP A
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,4,572.0,CLASSE CE1 A
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,5,573.0,CLASSE CE2 A
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,6,572.0,CLASSE CM1 A
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,7,572.0,CLASSE CI B
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,8,574.0,CLASSE CP B
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,9,574.0,CLASSE CE1 B
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,10,571.0,CLASSE CE2 B
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,11,574.0,CLASSE CM1 B
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,12,572.0,CLASSE CM2
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,13,574.0,ABRI PROVISOIRE
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,14,571.0,CEM AINOUMADY S1
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,15,575.0,CEM AINOUMADY S2
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,16,573.0,CEM AINOUMADY S3
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,17,571.0,CEM AINOUMADY S4
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,18,572.0,CEM AINOUMADY S5
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,19,571.0,CEM AINOUMADY S6
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,20,571.0,CEM AINOUMADY S7
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,21,572.0,CEM AINOUMADY S8
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,22,572.0,CEM AINOUMADY S9
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,23,574.0,LYCEE AINOUMADY S1
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,24,572.0,LYCEE AINOUMADY S2
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,25,570.0,LYCEE AINOUMADY S3
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,26,571.0,LYCEE AINOUMADY S4
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,27,570.0,LYCEE AINOUMADY S5
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE AINOUMADY,28,569.0,LYCEE AINOUMADY S6
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,1,540.0,CLASSE CE1 C
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,2,544.0,CLASSE CE1 B
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,3,543.0,CLASSE CE1 A
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,4,533.0,CLASSE CE2 C
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,5,549.0,CLASSE CM1 A
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,6,544.0,CLASSE CE2 B
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,7,541.0,CLASSE CE2 A
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,8,536.0,CLASSE CM2 C
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,9,541.0,CLASSE CM2 B
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,10,538.0,CLASSE CM2 A
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,11,540.0,CLASSE CM1 B
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,12,548.0,CLASSE CM1 C
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,13,540.0,CLASSE CI A
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,14,545.0,CLASSE CI B
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,15,539.0,CLASSE CI C
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,16,542.0,CLASSE CP A
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,17,540.0,CLASSE CP B
KEUR MASSAR,KEUR MASSAR SUD,ECOLE CITE CASTOR SOTRAC,18,543.0,CLASSE CP C
KEUR MASSAR,KEUR MASSAR SUD,HAMDALAYE 2,1,122.0,CLASSE CI
KEUR MASSAR,KEUR MASSAR SUD,HAMDALAYE 2,2,120.0,CLASSE CM1
KEUR MASSAR,KEUR MASSAR SUD,TAWFEKH,1,109.0,ABRI PROVISOIRE
KEUR MASSAR,KEUR MASSAR SUD,TAWFEKH,2,110.0,ABRI PROVISOIRE
