DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,1,589.0,CLASSE CM2
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,2,589.0,CLASSE CM1
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,3,589.0,CLASSE CI B
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,4,589.0,CLASSE CI A
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,5,589.0,CLASSE CE2
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,6,589.0,CLASSE CE1 A
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,7,589.0,CLASSE CP A
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,8,589.0,CLASSE CP B
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,9,589.0,SALLE 1DAARA MALIKA
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,10,589.0,DAARA MALIKA SALLE 2
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,11,589.0,DAARA MALIKA SALLE 3
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,12,588.0,DAARA MALIKA SALLE 4
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,13,589.0,DAARA MALIKA SALLE 5
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,14,150.0,DAARA MALIKA SALLE 6
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,1,596.0,CLASSE CI
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,2,595.0,CLASSE CP
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,3,600.0,CLASSE CM1
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,4,595.0,CLASSE CE 1
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,5,596.0,CLASSE CE2 A
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,6,597.0,CLASSE CE 2 B
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,7,600.0,CLASSE 5EM COLLEGE
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,8,593.0,CLASSE 6EM COLLEGE
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,9,600.0,CLASSE 2EM COLLEGE
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,10,596.0,CLASSE 4EM COLLEGE
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,11,596.0,ECOLE CITE SONATEL S1
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,12,593.0,ECOLE CITE SONATEL S 2
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,13,599.0,ECOLE CITE SONATEL S 3
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,14,594.0,ECOLE CITE SONATEL S 4
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,15,598.0,ECOLE CITE SONATEL S 5
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,16,591.0,ECOLE CITE SONATEL S 6
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,17,594.0,ECOLE CITE SONATEL S 7
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,18,593.0,ECOLE CITE SONATEL S 8
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,19,597.0,CEM CITE SONATEL S 11
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,20,104.0,CEM CITE SONATEL S 12
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,1,594.0,CLASSE CP B
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,2,590.0,CLASSE CI A
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,3,600.0,CLASSE CI B
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,4,588.0,CLASSE CM2 A
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,5,594.0,CLASSE CM2 B
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,6,591.0,CLASSE CM1 A
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,7,600.0,CLASSE CM1 B
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,8,600.0,CLASSE CE2 A
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,9,593.0,CLASSE CPA
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,10,595.0,CLASSE CE 2 B
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,11,593.0,CLASSE CE 1 A
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,12,597.0,CLASSE CE 1 B
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,13,600.0,CLASSE CP C
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,14,600.0,CLASSE CI C
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,15,586.0,SALLE 15
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,16,592.0,SALLE 16
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,17,597.0,ABRI PROVISOIRE
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,18,130.0,E. E. MALIKA PLAGE SALLE 1
