DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,1,572.0,SALLE 1
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,2,575.0,SALLE 2
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,3,575.0,SALLE 3
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,4,572.0,SALLE 4
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,5,570.0,SALLE 5
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,6,573.0,SALLE 6
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,7,571.0,SALLE 7
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,8,574.0,SALLE 8
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,9,573.0,SALLE 9
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,10,571.0,SALLE 10
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,11,571.0,SALLE 11
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,12,572.0,SALLE 12
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,13,575.0,SALLE 13
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,14,573.0,SALLE 14
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,15,572.0,SALLE 15
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,16,569.0,SALLE 16
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,17,572.0,SALLE 17
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,18,572.0,SALLE 18
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,19,571.0,SALLE 19
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,20,573.0,SALLE 20
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,21,573.0,SALLE 21
KEUR MASSAR,YEUMBEUL NORD,C.E.M. MOMAR MAREME DIOP,22,575.0,ABRI PROVISOIRE
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,1,579.0,SALLE 1
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,2,578.0,SALLE 2
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,3,585.0,SALLE 3
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,4,583.0,SALLE 4
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,5,578.0,SALLE 5
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,6,579.0,SALLE 6
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,7,581.0,SALLE 7
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,8,580.0,SALLE 8
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,9,582.0,SALLE 9
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,10,580.0,SALLE 10
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,11,578.0,SALLE 11
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,12,582.0,SALLE 12
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,13,580.0,SALLE 13
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,14,581.0,SALLE 14
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,15,581.0,SALLE 15
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,16,582.0,SALLE 16
KEUR MASSAR,YEUMBEUL NORD,ECOLE ABDOULAYE DIOP,17,583.0,ABRI PROVISOIRE
KEUR MASSAR,YEUMBEUL NORD,ECOLE BATAILLON DE LA MARINE,1,555.0,CLASSE CE1 A
KEUR MASSAR,YEUMBEUL NORD,ECOLE BATAILLON DE LA MARINE,2,556.0,CLASSE CE1 B
KEUR MASSAR,YEUMBEUL NORD,ECOLE BATAILLON DE LA MARINE,3,554.0,CLASSE CM1 A
KEUR MASSAR,YEUMBEUL NORD,ECOLE DAROU SALAM BENE BARAQUE,1,580.0,LYCEE DE YEUMBEUL SALLE 1
KEUR MASSAR,YEUMBEUL NORD,ECOLE DAROU SALAM BENE BARAQUE,2,581.0,LYCEE DE YEUMBEUL SALLE 2
