DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEUR MASSAR,YEUMBEUL SUD,ANNEXE ECOLE KHALIFA ABABACAR SY,1,580.0,SALLE 1
KEUR MASSAR,YEUMBEUL SUD,ANNEXE ECOLE KHALIFA ABABACAR SY,2,580.0,SALLE 2
KEUR MASSAR,YEUMBEUL SUD,ANNEXE ECOLE KHALIFA ABABACAR SY,3,581.0,SALLE 3
KEUR MASSAR,YEUMBEUL SUD,ANNEXE ECOLE KHALIFA ABABACAR SY,4,581.0,SALLE 4
KEUR MASSAR,YEUMBEUL SUD,ANNEXE ECOLE KHALIFA ABABACAR SY,5,578.0,SALLE 5
KEUR MASSAR,YEUMBEUL SUD,ANNEXE ECOLE KHALIFA ABABACAR SY,6,581.0,SALLE 6
KEUR MASSAR,YEUMBEUL SUD,ANNEXE ECOLE KHALIFA ABABACAR SY,7,582.0,SALLE 7
KEUR MASSAR,YEUMBEUL SUD,ANNEXE ECOLE KHALIFA ABABACAR SY,8,580.0,SALLE 8
KEUR MASSAR,YEUMBEUL SUD,CENTRE D ETAT CIVIL YEUMBEUL,1,569.0,CLASSE CI A
KEUR MASSAR,YEUMBEUL SUD,CENTRE D ETAT CIVIL YEUMBEUL,2,572.0,CLASSE CI B
KEUR MASSAR,YEUMBEUL SUD,CENTRE D ETAT CIVIL YEUMBEUL,3,567.0,CLASSE CP A
KEUR MASSAR,YEUMBEUL SUD,CENTRE D ETAT CIVIL YEUMBEUL,4,565.0,CLASSE CP B
KEUR MASSAR,YEUMBEUL SUD,CENTRE D ETAT CIVIL YEUMBEUL,5,570.0,CLASSE CE2 A
KEUR MASSAR,YEUMBEUL SUD,CENTRE D ETAT CIVIL YEUMBEUL,6,562.0,CLASSE CE2 B
KEUR MASSAR,YEUMBEUL SUD,CENTRE D ETAT CIVIL YEUMBEUL,7,560.0,CLASSE CM1 A
KEUR MASSAR,YEUMBEUL SUD,CENTRE D ETAT CIVIL YEUMBEUL,8,569.0,CLASSE CM1 B
KEUR MASSAR,YEUMBEUL SUD,CENTRE D ETAT CIVIL YEUMBEUL,9,568.0,CLASSE CM1 C
KEUR MASSAR,YEUMBEUL SUD,CENTRE D ETAT CIVIL YEUMBEUL,10,564.0,CLASSE CE1 A
KEUR MASSAR,YEUMBEUL SUD,CENTRE D ETAT CIVIL YEUMBEUL,11,564.0,CLASSE CE1 B
KEUR MASSAR,YEUMBEUL SUD,CENTRE D ETAT CIVIL YEUMBEUL,12,569.0,CLASSE CM2
KEUR MASSAR,YEUMBEUL SUD,CENTRE D ETAT CIVIL YEUMBEUL,13,522.0,CLASSE CM2 B
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,1,588.0,CLASSE CM1 B
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,2,589.0,CLASSE CM1 A
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,3,587.0,CLASSE CE1 B
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,4,589.0,CLASSE CE1 A
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,5,591.0,CLASSE CM2 B
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,6,589.0,CLASSE CM2 A
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,7,589.0,CLASSE CE2 A
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,8,590.0,CLASSE CI A
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,9,588.0,CLASSE CE2 B
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,10,589.0,CLASSE CP A
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,11,589.0,ABRI PROVISOIRE
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,12,585.0,ABRI PROVISOIRE
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,13,588.0,ABRI PROVISOIRE
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,14,588.0,ABRI PROVISOIRE
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,15,587.0,ABRI PROVISOIRE
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,16,589.0,ABRI PROVISOIRE
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,17,590.0,ABRI PROVISOIRE
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,18,591.0,ABRI PROVISOIRE
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOMAR KHARY DIOP,1,563.0,SALLE 01
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOMAR KHARY DIOP,2,563.0,SALLE 03
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOMAR KHARY DIOP,3,563.0,SALLE 05
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOMAR KHARY DIOP,4,562.0,SALLE 06
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOMAR KHARY DIOP,5,562.0,SALLE 07
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOMAR KHARY DIOP,6,563.0,SALLE 08
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOMAR KHARY DIOP,7,359.0,SALLE 09
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,1,587.0,SALLE  16
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,2,587.0,SALLE  15
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,3,586.0,SALLE  14
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,4,588.0,SALLE 13
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,5,588.0,SALLE 12
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,6,590.0,SALLE 10
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,7,590.0,SALLE 9
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,8,589.0,SALLE 8
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,9,590.0,SALLE 7
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,10,589.0,SALLE 6
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,11,590.0,SALLE 5
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,12,590.0,SALLE 4
