DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PIKINE,DALIFORT,CEM DALIFORT,1,582,SALLE 1
PIKINE,DALIFORT,CEM DALIFORT,2,574,SALLE 2
PIKINE,DALIFORT,CEM DALIFORT,3,589,SALLE 3
PIKINE,DALIFORT,CEM DALIFORT,4,470,SALLE 4
PIKINE,DALIFORT,ECOLE DALIFORT,1,599,CLASSE DE CP B
PIKINE,DALIFORT,ECOLE DALIFORT,2,599,CLASSE DE CP A
PIKINE,DALIFORT,ECOLE DALIFORT,3,599,CLASSE DE CM2 B
PIKINE,DALIFORT,ECOLE DALIFORT,4,598,CLASSE DE CM2 A
PIKINE,DALIFORT,ECOLE DALIFORT,5,598,CLASSE DE CI B
PIKINE,DALIFORT,ECOLE DALIFORT,6,598,CLASSE DE CE1 C
PIKINE,DALIFORT,ECOLE DALIFORT,7,598,CLASSE DE CE1 B
PIKINE,DALIFORT,ECOLE DALIFORT,8,598,CLASSE DE CM1 C
PIKINE,DALIFORT,ECOLE DALIFORT,9,598,CLASSE DE CM1 B
PIKINE,DALIFORT,ECOLE DALIFORT,10,598,CLASSE DE CM1 A
PIKINE,DALIFORT,ECOLE DALIFORT,11,599,SALLE DE CLASSE
PIKINE,DALIFORT,ECOLE DALIFORT,12,599,SALLE DE CLASSE
PIKINE,DALIFORT,ECOLE DALIFORT,13,599,SALLE DE CLASSE
PIKINE,DALIFORT,ECOLE DALIFORT,14,599,SALLE DE CLASSE
PIKINE,DALIFORT,ECOLE DALIFORT,15,599,SALLE DE CLASSE
PIKINE,DALIFORT,ECOLE DALIFORT,16,599,SALLE DE CLASSE
PIKINE,DALIFORT,ECOLE DALIFORT,17,598,SALLE DE CLASSE
PIKINE,DALIFORT,ECOLE DALIFORT,18,600,SALLE DE CLASSE
PIKINE,DALIFORT,ECOLE DALIFORT,19,72,SALLE DE CLASSE
PIKINE,DALIFORT,ECOLE FORCES ARMEES,1,579,CLASSE DE CI
PIKINE,DALIFORT,ECOLE FORCES ARMEES,2,583,CLASSE DE CE1 B
PIKINE,DALIFORT,ECOLE FORCES ARMEES,3,581,CLASSE DE CE2 B
PIKINE,DALIFORT,ECOLE FORCES ARMEES,4,583,CLASSE CM1
PIKINE,DALIFORT,ECOLE FORCES ARMEES,5,185,SALLE DE CLASSE
PIKINE,DALIFORT,ECOLE PRIVEE EH FALILOU MBACKE,1,590,SALLE 1
PIKINE,DALIFORT,ECOLE PRIVEE EH FALILOU MBACKE,2,590,SALLE 2
PIKINE,DALIFORT,ECOLE PRIVEE EH FALILOU MBACKE,3,590,SALLE 3
PIKINE,DALIFORT,ECOLE PRIVEE EH FALILOU MBACKE,4,590,SALLE 4
PIKINE,DALIFORT,ECOLE PRIVEE EH FALILOU MBACKE,5,590,ABRI PROVISOIRE
PIKINE,DALIFORT,ECOLE PRIVEE EH FALILOU MBACKE,6,591,ABRI PROVISOIRE
PIKINE,DALIFORT,ECOLE PRIVEE EH FALILOU MBACKE,7,591,ABRI PROVISOIRE
PIKINE,DALIFORT,ECOLE PRIVEE EH FALILOU MBACKE,8,186,ABRI PROVISOIRE
