DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PIKINE,DIAMAGUENE SICAP MBAO,CEM NDIAWAR DIAGNE,1,494,BLOC A SALLE DE CLASSE
PIKINE,DIAMAGUENE SICAP MBAO,CEM NDIAWAR DIAGNE,2,492,BLOC A SALLE DE CLASSE
PIKINE,DIAMAGUENE SICAP MBAO,CEM NDIAWAR DIAGNE,3,490,BLOC A SALLE DE CLASSE
PIKINE,DIAMAGUENE SICAP MBAO,CEM NDIAWAR DIAGNE,4,491,BLOC B SALLE DE CLASSE
PIKINE,DIAMAGUENE SICAP MBAO,CEM NDIAWAR DIAGNE,5,480,BLOC B SALLE DE CLASSE
PIKINE,DIAMAGUENE SICAP MBAO,CEM NDIAWAR DIAGNE,6,494,BLOC B SALLE DE CLASSE
PIKINE,DIAMAGUENE SICAP MBAO,CEM NDIAWAR DIAGNE,7,487,BLOC C SALLE DE CLASSE
PIKINE,DIAMAGUENE SICAP MBAO,CEM NDIAWAR DIAGNE,8,484,BLOC C SALLE DE CLASSE
PIKINE,DIAMAGUENE SICAP MBAO,CEM NDIAWAR DIAGNE,9,493,BLOC D SALLE DE CLASSE
PIKINE,DIAMAGUENE SICAP MBAO,CEM SICAP MBAO,1,600,SALLE DE CLASSE
PIKINE,DIAMAGUENE SICAP MBAO,CEM SICAP MBAO,2,593,SALLE DE CLASSE
PIKINE,DIAMAGUENE SICAP MBAO,CEM SICAP MBAO,3,596,SALLE DE CLASSE
PIKINE,DIAMAGUENE SICAP MBAO,CEM SICAP MBAO,4,598,SALLE DE CLASSE
PIKINE,DIAMAGUENE SICAP MBAO,CEM SICAP MBAO,5,592,SALLE DE CLASSE
PIKINE,DIAMAGUENE SICAP MBAO,CEM SICAP MBAO,6,598,SALLE DE CLASSE
PIKINE,DIAMAGUENE SICAP MBAO,CEM SICAP MBAO,7,600,SALLE DE CLASSE
PIKINE,DIAMAGUENE SICAP MBAO,CEM SICAP MBAO,8,600,SALLE DE CLASSE
PIKINE,DIAMAGUENE SICAP MBAO,CEM SICAP MBAO,9,600,SALLE DE CLASSE
PIKINE,DIAMAGUENE SICAP MBAO,CEM SICAP MBAO,10,595,SALLE DE CLASSE
PIKINE,DIAMAGUENE SICAP MBAO,CEM SICAP MBAO,11,601,SALLE DE CLASSE
PIKINE,DIAMAGUENE SICAP MBAO,CEM SICAP MBAO,12,238,SALLE DE CLASSE
PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,1,578,CLASSE CI B
PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,2,576,CLASSE CPA
PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,3,576,CLASSE CP B
PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,4,574,CLASSE CE1 A
PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,5,578,CLASSE CE1 B
PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,6,578,CLASSE CE1 C
PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,7,575,CLASSE CE2 A
PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,8,575,CLASSE CE2 B
PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,9,576,CLASSE CM 1 A
PIKINE,DIAMAGUENE SICAP MBAO,ECOLE FASS MBAO,10,576,CLASSE CM 1 B
