DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PIKINE,GUINAW RAIL NORD,CRED / DARADJI,1,590,SALLE 1
PIKINE,GUINAW RAIL NORD,CRED / DARADJI,2,589,SALLE 2
PIKINE,GUINAW RAIL NORD,CRED / DARADJI,3,590,SALLE 3
PIKINE,GUINAW RAIL NORD,CRED / DARADJI,4,589,SALLE 4
PIKINE,GUINAW RAIL NORD,CRED / DARADJI,5,590,SALLE DE CLASSE
PIKINE,GUINAW RAIL NORD,CRED / DARADJI,6,590,SALLE DE CLASSE
PIKINE,GUINAW RAIL NORD,CRED / DARADJI,7,589,SALLE DE CLASSE
PIKINE,GUINAW RAIL NORD,CRED / DARADJI,8,262,SALLE DE CLASSE
PIKINE,GUINAW RAIL NORD,ECOLE PRIVEE SEMBENE OUSMANE,1,595,SALLE 1
PIKINE,GUINAW RAIL NORD,ECOLE PRIVEE SEMBENE OUSMANE,2,592,SALLE 2
PIKINE,GUINAW RAIL NORD,ECOLE PRIVEE SEMBENE OUSMANE,3,595,SALLE 3
PIKINE,GUINAW RAIL NORD,ECOLE PRIVEE SEMBENE OUSMANE,4,594,SALLE 4
PIKINE,GUINAW RAIL NORD,ECOLE PRIVEE SEMBENE OUSMANE,5,596,SALLE 5
PIKINE,GUINAW RAIL NORD,ECOLE PRIVEE SEMBENE OUSMANE,6,593,SALLE 6
PIKINE,GUINAW RAIL NORD,ECOLE PRIVEE SEMBENE OUSMANE,7,595,ECOLE FATIMAT
PIKINE,GUINAW RAIL NORD,ECOLE PRIVEE SEMBENE OUSMANE,8,593,ECOLE FATIMAT
PIKINE,GUINAW RAIL NORD,ECOLE PRIVEE SEMBENE OUSMANE,9,594,ECOLE FATIMAT
PIKINE,GUINAW RAIL NORD,ECOLE PRIVEE SEMBENE OUSMANE,10,595,ECOLE FATIMAT
PIKINE,GUINAW RAIL NORD,ECOLE PRIVEE SEMBENE OUSMANE,11,593,ECOLE FATIMAT
PIKINE,GUINAW RAIL NORD,ECOLE PRIVEE SEMBENE OUSMANE,12,591,ECOLE FATIMAT
PIKINE,GUINAW RAIL NORD,ECOLE THIAROYE GUINAW RAILS,1,600,CLASSE CI A
PIKINE,GUINAW RAIL NORD,ECOLE THIAROYE GUINAW RAILS,2,600,CLASSE CI B
PIKINE,GUINAW RAIL NORD,ECOLE THIAROYE GUINAW RAILS,3,600,CLASSE CE 2
PIKINE,GUINAW RAIL NORD,ECOLE THIAROYE GUINAW RAILS,4,599,CLASSE CM1
PIKINE,GUINAW RAIL NORD,ECOLE THIAROYE GUINAW RAILS,5,600,CLASSE CM2
PIKINE,GUINAW RAIL NORD,ECOLE THIAROYE GUINAW RAILS,6,600,CLASSE CE1
PIKINE,GUINAW RAIL NORD,ECOLE THIAROYE GUINAW RAILS,7,600,SALLE DE CLASSE
PIKINE,GUINAW RAIL NORD,ECOLE THIAROYE GUINAW RAILS,8,600,SALLE DE CLASSE
PIKINE,GUINAW RAIL NORD,ECOLE THIAROYE GUINAW RAILS,9,599,SALLE DE CLASSE
PIKINE,GUINAW RAIL NORD,ECOLE THIAROYE GUINAW RAILS,10,164,SALLE DE CLASSE
