DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PIKINE,MBAO,ANNEXE ECOLE MAME WASSOUR SECK,1,601,CLASSE CM2
PIKINE,MBAO,ANNEXE ECOLE MAME WASSOUR SECK,2,599,CLASSE CE1B
PIKINE,MBAO,ANNEXE ECOLE MAME WASSOUR SECK,3,595,CLASSE CM1
PIKINE,MBAO,ANNEXE ECOLE MAME WASSOUR SECK,4,598,SALLE DE CLASSE
PIKINE,MBAO,ANNEXE ECOLE MAME WASSOUR SECK,5,587,SALLE DE CLASSE
PIKINE,MBAO,ANNEXE ECOLE MAME WASSOUR SECK,6,508,SALLE DE CLASSE
PIKINE,MBAO,ANNEXE ECOLE MAME WASSOUR SECK,7,508,SALLE DE CLASSE
PIKINE,MBAO,CEM KEUR MBAYE FALL,1,600,BLOC A SALLE DE CLASSE
PIKINE,MBAO,CEM KEUR MBAYE FALL,2,600,BOLC B SALLE DE CLASSE
PIKINE,MBAO,CEM KEUR MBAYE FALL,3,600,BLOC C SALLE DE CLASSE
PIKINE,MBAO,CEM KEUR MBAYE FALL,4,600,BLOC D SALLE DE CLASSE
PIKINE,MBAO,CEM KEUR MBAYE FALL,5,600,SALLE DE CLASSE
PIKINE,MBAO,CEM KEUR MBAYE FALL,6,600,SALLE DE CLASSE
PIKINE,MBAO,CEM KEUR MBAYE FALL,7,390,SALLE DE CLASSE
PIKINE,MBAO,CEM KEUR MBAYE FALL,8,314,SALLE DE CLASSE
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,1,593,CLASSE CM2A
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,2,595,CLASSE CM2 B
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,3,594,CLASSE CM1A
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,4,594,CLASSE CM1B
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,5,594,CLASSE CE2A
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,6,593,CLASSE CE2B
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,7,592,CLASSE CE1B
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,8,594,CLASSE CE1A
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,9,594,CLASSE CPB
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,10,596,CLASSE CP A
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,11,592,CLASSE CI B
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,12,596,CLASSE CI A
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,13,593,ECOLE K.MB. FALL 2 CLASSE CPA
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,14,596,ECOLE K.MB. FALL 2 CLASSE CPB
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,15,591,ECOLE K.MB .FALL2 CLASSE CE2 A
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,16,595,ECOLE K.MB FALL 2 CLASSE CI
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,17,598,ECOLE K.MB. FALL 2 CLASSE CE1
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,18,592,ECOLE K.MB. FALL2 SALLE DE CLASSE
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,19,596,ECOLE K.MB. FALL2 SALLE DE CLASSE
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,20,597,ECOLE K.MB. FALL2 SALLE DE CLASSE
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,21,597,ECOLE K.MB. FALL2 SALLE DE CLASSE
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,22,597,ECOLE K.MB. FALL2 SALLE DE CLASSE
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,23,598,ECOLE K.MB. FALL2 SALLE DE CLASSE
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,24,595,ECOLE K.MB. FALL2 SALLE DE CLASSE
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,25,596,ECOLE K.MB.FALL2 SALLE DE CLASSE
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,26,593,ECOLE K.MB. FALL2 SALLE DE CLASSE
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,27,598,ECOLE MEDINA M.G. 1 SALLE DE CLASSE
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,28,595,ECOLE MEDINA M.G. 1 SALLE DE CLASSE
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,29,596,ECOLE MEDINA M.G. 1 SALLE DE CLASSE
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,30,594,ECOLE MEDINA M.G. 1 SALLE DE CLASSE
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,31,595,ECOLE MEDINA M.G. 1 SALLE DE CLASSE
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,32,596,ECOLE MEDINA M.G. 1 SALLE DE CLASSE
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,33,594,ECOLE MEDINA M.G. 1 SALLE DE CLASSE
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,34,595,ECOLE MEDINA M.G. 1 SALLE DE CLASSE
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,35,595,ECOLE MEDINA M.G. 2 SALLE DE CLASSE
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,36,596,ECOLE MEDINA M.G. 2 SALLE DE CLASSE
PIKINE,MBAO,ECOLE KEUR MBAYE FALL,37,596,ECOLE MEDINA M.G. 2 SALLE DE CLASSE
PIKINE,MBAO,ECOLE MAME WASSOUR SECK,1,590,CLASSE CP B
PIKINE,MBAO,ECOLE MAME WASSOUR SECK,2,589,CLASSE CE1B
PIKINE,MBAO,ECOLE MAME WASSOUR SECK,3,588,CLASSE CIA
PIKINE,MBAO,ECOLE MAME WASSOUR SECK,4,588,CLASSE CE2 A
PIKINE,MBAO,ECOLE MAME WASSOUR SECK,5,562,SALLE DE CLASSE
PIKINE,MBAO,ECOLE MAME WASSOUR SECK,6,556,SALLE DE CLASSE
PIKINE,MBAO,ECOLE MAME WASSOUR SECK,7,565,SALLE DE CLASSE
PIKINE,MBAO,ECOLE MOUR SECK,1,592,CLASSE CIA
PIKINE,MBAO,ECOLE MOUR SECK,2,587,CLASSE CPB
PIKINE,MBAO,ECOLE MOUR SECK,3,585,CLASSE CE1B
PIKINE,MBAO,ECOLE MOUR SECK,4,596,CLASSE CM1 A
PIKINE,MBAO,ECOLE MOUR SECK,5,579,SALLE DE CLASSE
PIKINE,MBAO,ECOLE MOUR SECK,6,586,SALLE DE CLASSE
PIKINE,MBAO,ECOLE MOUR SECK,7,587,SALLE DE CLASSE
PIKINE,MBAO,ECOLE MOUR SECK,8,584,SALLE DE CLASSE
PIKINE,MBAO,ECOLE MOUR SECK,9,584,SALLE DE CLASSE
PIKINE,MBAO,ECOLE MOUR SECK,10,565,SALLE DE CLASSE
PIKINE,MBAO,ECOLE MOUR SECK,11,462,SALLE DE CLASSE
PIKINE,MBAO,ECOLE PUBLIQUE CITE NDEYE MARIE,1,587,CLASSE CE 2 A
PIKINE,MBAO,ECOLE PUBLIQUE CITE NDEYE MARIE,2,588,CLASSE CE 1 A
PIKINE,MBAO,ECOLE PUBLIQUE CITE NDEYE MARIE,3,588,CLASSE CM1B
PIKINE,MBAO,ECOLE PUBLIQUE CITE NDEYE MARIE,4,590,CLASSE CM1 A
PIKINE,MBAO,ECOLE PUBLIQUE CITE NDEYE MARIE,5,588,SALLE DE CLASSE
PIKINE,MBAO,ECOLE PUBLIQUE CITE NDEYE MARIE,6,588,SALLE DE CLASSE
PIKINE,MBAO,ECOLE PUBLIQUE CITE NDEYE MARIE,7,582,SALLE DE CLASSE
