DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PIKINE,PIKINE EST,CEM FADILOU DIOP,1,406,SALLE 02
PIKINE,PIKINE EST,CEM FADILOU DIOP,2,405,SALLE 04
PIKINE,PIKINE EST,ECOLE 10 A,1,552,CLASSE DE CI B
PIKINE,PIKINE EST,ECOLE 10 A,2,554,CLASSE DE CP B
PIKINE,PIKINE EST,ECOLE 10 A,3,554,CLASSE DE CE1B
PIKINE,PIKINE EST,ECOLE 10 A,4,561,CLASSE DE CE2B
PIKINE,PIKINE EST,ECOLE 10 A,5,568,CLASSE DE CM1B
PIKINE,PIKINE EST,ECOLE 10 A,6,556,CLASSE DE CM2 B
PIKINE,PIKINE EST,ECOLE 10 A,7,502,SALLE DE CLASSE
PIKINE,PIKINE EST,ECOLE 3 A,1,582,CLASSE DE CP B
PIKINE,PIKINE EST,ECOLE 3 A,2,579,CLASSE DE CE1 B
PIKINE,PIKINE EST,ECOLE 3 A,3,579,CLASSE DE CE2 B
PIKINE,PIKINE EST,ECOLE 3 A,4,578,CLASSE DE CM1 B
PIKINE,PIKINE EST,ECOLE 3 A,5,576,CLASSE DE CM2 B
PIKINE,PIKINE EST,ECOLE 3 A,6,579,CLASSE DE CP A
PIKINE,PIKINE EST,ECOLE 3 A,7,151,SALLE DE CLASSE
PIKINE,PIKINE EST,ECOLE IBRAHIMA NDAO,1,585,CLASSE DE CM2 B
PIKINE,PIKINE EST,ECOLE IBRAHIMA NDAO,2,577,CLASSE DECM1 B
PIKINE,PIKINE EST,ECOLE IBRAHIMA NDAO,3,579,CLASSE DE CE2 A
PIKINE,PIKINE EST,ECOLE IBRAHIMA NDAO,4,585,CLASSE DE CE1 B
PIKINE,PIKINE EST,ECOLE IBRAHIMA NDAO,5,584,CLASSE DE CP B
PIKINE,PIKINE EST,ECOLE IBRAHIMA NDAO,6,581,CLASSE DE CI B
PIKINE,PIKINE EST,ECOLE IBRAHIMA NDAO,7,584,CLASSE DE CI A
PIKINE,PIKINE EST,ECOLE IBRAHIMA NDAO,8,579,CLASSE DE CM2
PIKINE,PIKINE EST,ECOLE IBRAHIMA NDAO,9,578,SALLE DE CLASSE
PIKINE,PIKINE EST,ECOLE IBRAHIMA NDAO,10,578,SALLE DE CLASSE
PIKINE,PIKINE EST,ECOLE IBRAHIMA NDAO,11,578,SALLE DE CLASSE
PIKINE,PIKINE EST,ECOLE IBRAHIMA NDAO,12,285,SALLE DE CLASSE
PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,1,572,CLASSE DE CM2 B
PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,2,571,CLASSE DE CM1 A
PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,3,578,CLASSE DE CM1 B
PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,4,569,CLASSE DE CE2 A
PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,5,579,CLASSE DE CE2B
PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,6,573,CLASSE DE CE1 A
PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,7,580,CLASSE DE CP A
PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,8,571,CLASSE DE CI A
PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,9,562,CLASSE DE CE1 A ANNEXE
PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,10,568,CLASSE DE CM2 ANNEXE ETAGE
PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,11,575,SALLE DE CLASSE
PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,12,574,SALLE DE CLASSE
PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,13,580,SALLE DE CLASSE
PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,14,576,SALLE DE CLASSE
PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,15,570,SALLE DE CLASSE
PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,16,571,SALLE DE CLASSE
PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,17,546,SALLE DE CLASSE
PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,18,547,SALLE DE CLASSE
PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,19,570,SALLE DE CLASSE
PIKINE,PIKINE EST,ECOLE TOUBA DIACKSAO,20,565,SALLE DE CLASSE
