DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PIKINE,PIKINE NORD,ECOLE 5 B,1,550,CLASSE CE1 B
PIKINE,PIKINE NORD,ECOLE 5 B,2,550,CLASSE CP B
PIKINE,PIKINE NORD,ECOLE 5 B,3,550,CLASSE CP A
PIKINE,PIKINE NORD,ECOLE 5 B,4,550,CLASSE CI A
PIKINE,PIKINE NORD,ECOLE 5 B,5,405,SALLE DE CLASSE
PIKINE,PIKINE NORD,ECOLE 9 A,1,570,CLASSE CI A
PIKINE,PIKINE NORD,ECOLE 9 A,2,572,CLASSE CP A
PIKINE,PIKINE NORD,ECOLE 9 A,3,574,CLASSE CE1 A
PIKINE,PIKINE NORD,ECOLE 9 A,4,574,CLASSE CE2 A
PIKINE,PIKINE NORD,ECOLE 9 A,5,579,CLASSE CM1 A
PIKINE,PIKINE NORD,ECOLE 9 A,6,573,CLASSE CM2 A
PIKINE,PIKINE NORD,ECOLE 9 A,7,574,CLASSE CM2 B
PIKINE,PIKINE NORD,ECOLE 9 A,8,577,CLASSE CI B
PIKINE,PIKINE NORD,ECOLE 9 A,9,569,SALLE DE CLASSE
PIKINE,PIKINE NORD,ECOLE 9 A,10,281,SALLE DE CLASSE
PIKINE,PIKINE NORD,ECOLE DIACKSAO (EX PIKINE 5),1,576,CLASSECP A
PIKINE,PIKINE NORD,ECOLE DIACKSAO (EX PIKINE 5),2,576,CLASSE CE1 A
PIKINE,PIKINE NORD,ECOLE DIACKSAO (EX PIKINE 5),3,582,CLASSE CE2 A
PIKINE,PIKINE NORD,ECOLE DIACKSAO (EX PIKINE 5),4,576,CLASSE CM1 A
PIKINE,PIKINE NORD,ECOLE DIACKSAO (EX PIKINE 5),5,582,CLASSE CP B
PIKINE,PIKINE NORD,ECOLE DIACKSAO (EX PIKINE 5),6,582,CLASSECM2 A
PIKINE,PIKINE NORD,ECOLE DIACKSAO (EX PIKINE 5),7,575,CLASSE CM2 B
PIKINE,PIKINE NORD,ECOLE DIACKSAO (EX PIKINE 5),8,576,CLASSE CI B
PIKINE,PIKINE NORD,ECOLE DIACKSAO (EX PIKINE 5),9,579,CLASSE CM2 A
PIKINE,PIKINE NORD,ECOLE DIACKSAO (EX PIKINE 5),10,578,SALLE DE CLASSE
PIKINE,PIKINE NORD,ECOLE DIACKSAO (EX PIKINE 5),11,572,SALLE DE CLASSE
PIKINE,PIKINE NORD,ECOLE DIACKSAO (EX PIKINE 5),12,230,SALLE DE CLASSE
PIKINE,PIKINE NORD,ECOLE ELIMANE NDIAYE,1,574,CLASSE CI B
PIKINE,PIKINE NORD,ECOLE ELIMANE NDIAYE,2,572,CLASSE CM1 A
PIKINE,PIKINE NORD,ECOLE ELIMANE NDIAYE,3,572,CLASSE CM2 A
PIKINE,PIKINE NORD,ECOLE ELIMANE NDIAYE,4,573,SALLE DE CLASSE
PIKINE,PIKINE NORD,ECOLE ELIMANE NDIAYE,5,567,SALLE DE CLASSE
PIKINE,PIKINE NORD,ECOLE MAME YELI BADIANE,1,549,CLASSE 5EM E
PIKINE,PIKINE NORD,ECOLE MAME YELI BADIANE,2,542,CLASSE 5EM A
PIKINE,PIKINE NORD,ECOLE MAME YELI BADIANE,3,561,CLASSE 6EM A
PIKINE,PIKINE NORD,ECOLE MAME YELI BADIANE,4,543,CLASSE 6EM C
PIKINE,PIKINE NORD,ECOLE MAME YELI BADIANE,5,519,SALLE DE CLASSE
PIKINE,PIKINE NORD,ECOLE PIKINE 7 A,1,594,CLASSE CP A
PIKINE,PIKINE NORD,ECOLE PIKINE 7 A,2,595,CLASSE CI A
PIKINE,PIKINE NORD,ECOLE PIKINE 7 A,3,594,CLASSE CE1 A
PIKINE,PIKINE NORD,ECOLE PIKINE 7 A,4,591,CLASSE CE2 B
PIKINE,PIKINE NORD,ECOLE PIKINE 7 A,5,594,CLASSE CM1 A
PIKINE,PIKINE NORD,ECOLE PIKINE 7 A,6,594,CLASSE CM1 B
PIKINE,PIKINE NORD,ECOLE PIKINE 7 A,7,592,CLASSE CM2 A
PIKINE,PIKINE NORD,ECOLE PIKINE 7 A,8,593,CLASSE CM2 B
PIKINE,PIKINE NORD,ECOLE PIKINE 7 A,9,592,SALLE DE CLASSE
PIKINE,PIKINE NORD,ECOLE PIKINE 7 A,10,591,SALLE DE CLASSE
PIKINE,PIKINE NORD,ECOLE PIKINE 7 A,11,597,SALLE DE CLASSE
PIKINE,PIKINE NORD,ECOLE PIKINE 7 A,12,594,SALLE DE CLASSE
PIKINE,PIKINE NORD,ECOLE PRIVEE SOKHNA ADAMA GUEYE,1,532,ECOLE SAKOU XAM XAM
PIKINE,PIKINE NORD,ECOLE PRIVEE SOKHNA ADAMA GUEYE,2,528,ECOLE SAKOU XAM XAM
PIKINE,PIKINE NORD,ECOLE PRIVEE SOKHNA ADAMA GUEYE,3,530,ECOLE SAKOU XAM XAM
PIKINE,PIKINE NORD,ECOLE PRIVEE SOKHNA ADAMA GUEYE,4,464,ECOLE SAKOU XAM XAM
