DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PIKINE,PIKINE OUEST,CEM CHERIF TIDIANI,1,569,SALLE 3
PIKINE,PIKINE OUEST,CEM CHERIF TIDIANI,2,583,SALLE 2
PIKINE,PIKINE OUEST,CEM CHERIF TIDIANI,3,575,SALLE 6
PIKINE,PIKINE OUEST,CEM CHERIF TIDIANI,4,580,SALLE 7
PIKINE,PIKINE OUEST,CEM CHERIF TIDIANI,5,576,SALLE 8
PIKINE,PIKINE OUEST,CEM CHERIF TIDIANI,6,583,SALLE 9
PIKINE,PIKINE OUEST,CEM CHERIF TIDIANI,7,581,SALLE 10
PIKINE,PIKINE OUEST,CEM CHERIF TIDIANI,8,586,SALLE 11
PIKINE,PIKINE OUEST,CEM CHERIF TIDIANI,9,586,SALLE 14
PIKINE,PIKINE OUEST,CEM CHERIF TIDIANI,10,521,SALLE DE CLASSE
PIKINE,PIKINE OUEST,CEM CHERIF TIDIANI,11,524,SALLE DE CLASSE
PIKINE,PIKINE OUEST,CEM CHERIF TIDIANI,12,526,SALLE DE CLASSE
PIKINE,PIKINE OUEST,ECOLE 2 B,1,186,CLASSE CI A
PIKINE,PIKINE OUEST,ECOLE 2 B,2,190,CLASSE CP B
PIKINE,PIKINE OUEST,ECOLE 2 B,3,192,CLASSE CE 1 A
PIKINE,PIKINE OUEST,ECOLE BAWORE SECK,1,585,CLASSE C I
PIKINE,PIKINE OUEST,ECOLE BAWORE SECK,2,584,CLASSE CP
PIKINE,PIKINE OUEST,ECOLE BAWORE SECK,3,589,CLASSE CE 1
PIKINE,PIKINE OUEST,ECOLE BAWORE SECK,4,585,CLASSE CE 2
PIKINE,PIKINE OUEST,ECOLE BAWORE SECK,5,586,CLASSE CM 1
PIKINE,PIKINE OUEST,ECOLE BAWORE SECK,6,579,SALLE DE CLASSE
PIKINE,PIKINE OUEST,ECOLE BAWORE SECK,7,588,SALLE DE CLASSE
PIKINE,PIKINE OUEST,ECOLE DAROU PIKINE,1,385,CLASSE CI A
PIKINE,PIKINE OUEST,ECOLE DAROU PIKINE,2,384,CLASSE CP
PIKINE,PIKINE OUEST,ECOLE DAROU PIKINE,3,384,CLASSE CE 1 A
PIKINE,PIKINE OUEST,ECOLE DAROU PIKINE,4,393,CLASSE CE2 A
PIKINE,PIKINE OUEST,ECOLE EL HADJ IBA SENE,1,572,CI D
PIKINE,PIKINE OUEST,ECOLE EL HADJ IBA SENE,2,575,CLASSE CI A
PIKINE,PIKINE OUEST,ECOLE EL HADJ IBA SENE,3,573,CLASSE CI B
PIKINE,PIKINE OUEST,ECOLE EL HADJ IBA SENE,4,573,CLASSE CI C
PIKINE,PIKINE OUEST,ECOLE EL HADJ IBA SENE,5,567,CLASSE CP A
PIKINE,PIKINE OUEST,ECOLE EL HADJ IBA SENE,6,575,CLASSE CP B
PIKINE,PIKINE OUEST,ECOLE EL HADJ IBA SENE,7,577,CLASSE CE 1 A
PIKINE,PIKINE OUEST,ECOLE EL HADJ IBA SENE,8,562,CLASSE CE1 C
PIKINE,PIKINE OUEST,ECOLE EL HADJ IBA SENE,9,581,CLASSE CM 1 B
