DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PIKINE,TIVAOUANE DIAKSAO,ECOLE ALIOUNE GAYE,1,577.0,CLASSE CIA ALIOUNE GAYE A
PIKINE,TIVAOUANE DIAKSAO,ECOLE ALIOUNE GAYE,2,575.0,CLASSE CIB ALIOUNE GAYE A
PIKINE,TIVAOUANE DIAKSAO,ECOLE ALIOUNE GAYE,3,578.0,CLASSE CPA ALIOUNE GAYE A
PIKINE,TIVAOUANE DIAKSAO,ECOLE ALIOUNE GAYE,4,582.0,CLASSE CPB ALIOUNE GAYE A
PIKINE,TIVAOUANE DIAKSAO,ECOLE ALIOUNE GAYE,5,578.0,CLASSE CE1 A ALIOUNE GAYE A
PIKINE,TIVAOUANE DIAKSAO,ECOLE ALIOUNE GAYE,6,579.0,CLASSE CE1B ALIOUNE GAYE A
PIKINE,TIVAOUANE DIAKSAO,ECOLE ALIOUNE GAYE,7,581.0,CLASSE CE2 A ALIOUNE GAYE A
PIKINE,TIVAOUANE DIAKSAO,ECOLE ALIOUNE GAYE,8,579.0,CLASSE CE2B ALIOUNE GAYE A
PIKINE,TIVAOUANE DIAKSAO,ECOLE ALIOUNE GAYE,9,586.0,CLASSE CM1A ALIOUNE GAYE A
PIKINE,TIVAOUANE DIAKSAO,ECOLE ALIOUNE GAYE,10,586.0,CLASSE CM1B ALIOUNE GAYE A
PIKINE,TIVAOUANE DIAKSAO,ECOLE ALIOUNE GAYE,11,578.0,CLASSE CM2A ALIOUNE GAYE A
PIKINE,TIVAOUANE DIAKSAO,ECOLE ALIOUNE GAYE,12,584.0,CLASSE CM2B ALIOUNE GAYE A
PIKINE,TIVAOUANE DIAKSAO,ECOLE ALIOUNE GAYE,13,577.0,CLASSE CEM TIVAOUANE DIACKSAO
PIKINE,TIVAOUANE DIAKSAO,ECOLE ALIOUNE GAYE,14,575.0,CLASSE CEM TIVAOUANE DIACKSAO
PIKINE,TIVAOUANE DIAKSAO,ECOLE ALIOUNE GAYE,15,582.0,CLASSE CEM TIVAOUANE DIACKSAO
PIKINE,TIVAOUANE DIAKSAO,ECOLE ALIOUNE GAYE,16,574.0,CLASSE CEM TIVAOUANE DIACKSAO
PIKINE,TIVAOUANE DIAKSAO,ECOLE ALIOUNE GAYE,17,572.0,CLASSE CEM TIVAOUANE DIACKSAO
PIKINE,TIVAOUANE DIAKSAO,ECOLE ALIOUNE GAYE,18,580.0,CLASSE CEM TIVAOUANE DIACKSAO
PIKINE,TIVAOUANE DIAKSAO,ECOLE ALIOUNE GAYE,19,578.0,CLASSE CEM TIVAOUANE DIACKSAO
PIKINE,TIVAOUANE DIAKSAO,ECOLE ALIOUNE GAYE,20,573.0,CLASSE CEM TIVAOUANE DIACKSAO
PIKINE,TIVAOUANE DIAKSAO,ECOLE ALIOUNE GAYE,21,582.0,CLASSE CEM TIVAOUANE DIACKSAO
PIKINE,TIVAOUANE DIAKSAO,ECOLE ALIOUNE GAYE,22,575.0,CLASSE CEM TIVAOUANE DIACKSAO
PIKINE,TIVAOUANE DIAKSAO,ECOLE ALIOUNE GAYE,23,578.0,CLASSE CEM TIVAOUANE DIACKSAO
PIKINE,TIVAOUANE DIAKSAO,ECOLE ALIOUNE GAYE,24,576.0,CLASSE CEM TIVAOUANE DIACKSAO
PIKINE,TIVAOUANE DIAKSAO,ECOLE ALIOUNE GAYE,25,579.0,CLASSE CEM TIVAOUANE DIACKSAO
PIKINE,TIVAOUANE DIAKSAO,ECOLE ALIOUNE GAYE,26,571.0,CLASSE CEM TIVAOUANE DIACKSAO
PIKINE,TIVAOUANE DIAKSAO,ECOLE MBAYE DIOUF,1,520.0,CLASSE CM 2 B
PIKINE,TIVAOUANE DIAKSAO,ECOLE MBAYE DIOUF,2,521.0,CLASSE CM 2 C
PIKINE,TIVAOUANE DIAKSAO,ECOLE MBAYE DIOUF,3,525.0,CLASSE CM 2 A
PIKINE,TIVAOUANE DIAKSAO,ECOLE MBAYE DIOUF,4,521.0,CLASSE CM 1 A
PIKINE,TIVAOUANE DIAKSAO,ECOLE MBAYE DIOUF,5,528.0,CLASSE CM 1 C
PIKINE,TIVAOUANE DIAKSAO,ECOLE MBAYE DIOUF,6,531.0,CLASSE CP A
PIKINE,TIVAOUANE DIAKSAO,ECOLE MBAYE DIOUF,7,528.0,CLASSE CI B
PIKINE,TIVAOUANE DIAKSAO,ECOLE MOUSTAPHA KHALI NDIAYE,1,595.0,CLASSE CM2A
PIKINE,TIVAOUANE DIAKSAO,ECOLE MOUSTAPHA KHALI NDIAYE,2,593.0,CLASSE CM 2 B
PIKINE,TIVAOUANE DIAKSAO,ECOLE MOUSTAPHA KHALI NDIAYE,3,593.0,CLASSE CI A
PIKINE,TIVAOUANE DIAKSAO,ECOLE MOUSTAPHA KHALI NDIAYE,4,593.0,CLASSE CI B
PIKINE,TIVAOUANE DIAKSAO,ECOLE MOUSTAPHA KHALI NDIAYE,5,600.0,CLASSE CI C
PIKINE,TIVAOUANE DIAKSAO,ECOLE MOUSTAPHA KHALI NDIAYE,6,599.0,CLASSE CP A
PIKINE,TIVAOUANE DIAKSAO,ECOLE MOUSTAPHA KHALI NDIAYE,7,600.0,CLASSE CE 1 A
PIKINE,TIVAOUANE DIAKSAO,ECOLE MOUSTAPHA KHALI NDIAYE,8,600.0,CLASSE CE 1 B
PIKINE,TIVAOUANE DIAKSAO,ECOLE MOUSTAPHA KHALI NDIAYE,9,592.0,CLASSE CE 1 C
