DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
RUFISQUE,BAMBYLOR,CENTRE POLYVALENT MBEYE,1,505.0,CENTRE POLYVALENT MBEYE
RUFISQUE,BAMBYLOR,ECOLE 2 MEDINA BAMBYLOR,1,600.0,SALLE 11
RUFISQUE,BAMBYLOR,ECOLE 2 MEDINA BAMBYLOR,2,599.0,SALLE 10
RUFISQUE,BAMBYLOR,ECOLE 2 MEDINA BAMBYLOR,3,600.0,SALLE 8
RUFISQUE,BAMBYLOR,ECOLE 2 MEDINA BAMBYLOR,4,600.0,SALLE 5
RUFISQUE,BAMBYLOR,ECOLE 2 MEDINA BAMBYLOR,5,306.0,SALLE 4
RUFISQUE,BAMBYLOR,ECOLE BAMBYLOR,1,597.0,CLASSE CE1 B
RUFISQUE,BAMBYLOR,ECOLE BAMBYLOR,2,595.0,CLASSE CE2 A
RUFISQUE,BAMBYLOR,ECOLE BAMBYLOR,3,599.0,CLASSE CE2 B
RUFISQUE,BAMBYLOR,ECOLE BAMBYLOR,4,599.0,CLASSE CM1 A
RUFISQUE,BAMBYLOR,ECOLE BAMBYLOR,5,596.0,CLASSE CM1 B
RUFISQUE,BAMBYLOR,ECOLE BAMBYLOR,6,594.0,CLASSE CM2 A
RUFISQUE,BAMBYLOR,ECOLE BAMBYLOR,7,600.0,CLASSE CM2 B
RUFISQUE,BAMBYLOR,ECOLE BAMBYLOR,8,597.0,CLASSE CI A
RUFISQUE,BAMBYLOR,ECOLE BAMBYLOR,9,595.0,CLASSE CP B
RUFISQUE,BAMBYLOR,ECOLE BAMBYLOR,10,585.0,CLASSE CP A
RUFISQUE,BAMBYLOR,ECOLE BAMBYLOR,11,334.0,SALLE DE CLASSE
RUFISQUE,BAMBYLOR,ECOLE DENI BIRAM NDAO NORD,1,544.0,CLASSE CI B
RUFISQUE,BAMBYLOR,ECOLE DENI BIRAM NDAO NORD,2,537.0,CLASSE CE2 A
RUFISQUE,BAMBYLOR,ECOLE DENI BIRAM NDAO NORD,3,530.0,CLASSE CE2 B
RUFISQUE,BAMBYLOR,ECOLE DENI BIRAM NDAO NORD,4,366.0,CLASSE CE1 A
RUFISQUE,BAMBYLOR,ECOLE DENIS GUEDJI,1,336.0,CLASSE CM2
RUFISQUE,BAMBYLOR,ECOLE ELEMENTAIRE DE DIAKSAO,1,288.0,CLASSE CM1
RUFISQUE,BAMBYLOR,ECOLE ELEMENTAIRE DE MBEUTH,1,515.0,CLASSE CM1
RUFISQUE,BAMBYLOR,ECOLE ELEMENTAIRE DE MBEUTH,2,299.0,SALLE DE CLASSE
RUFISQUE,BAMBYLOR,ECOLE ELEMENTAIRE GOROM 1,1,579.0,SALLE 2
RUFISQUE,BAMBYLOR,ECOLE ELEMENTAIRE GOROM 1,2,572.0,SALLE 7
RUFISQUE,BAMBYLOR,ECOLE ELEMENTAIRE GOROM 1,3,575.0,SALLE 3
RUFISQUE,BAMBYLOR,ECOLE ELEMENTAIRE GOROM 1,4,306.0,SALLE
RUFISQUE,BAMBYLOR,ECOLE ELEMENTAIRE GOROM 2,1,576.0,CLASSE CI A
RUFISQUE,BAMBYLOR,ECOLE ELEMENTAIRE GOROM 2,2,557.0,CLASSE CP B
RUFISQUE,BAMBYLOR,ECOLE ELEMENTAIRE GOROM 2,3,564.0,CLASSE CM1 A
RUFISQUE,BAMBYLOR,ECOLE ELEMENTAIRE GOROM 2,4,476.0,CLASSE CM1 B
RUFISQUE,BAMBYLOR,ECOLE ELEMENTAIRE GOROM 2,5,224.0,SALLE DE CLASSE
RUFISQUE,BAMBYLOR,ECOLE ELEMENTAIRE WAYAMBAME,1,484.0,CLASSE CE2
RUFISQUE,BAMBYLOR,ECOLE NDIAKHIRATE PEULH,1,461.0,CLASSE CE2
RUFISQUE,BAMBYLOR,ECOLE PRIMAIRE DENI BIRAM NDAO SUD,1,575.0,CLASSE CM2
RUFISQUE,BAMBYLOR,ECOLE PRIMAIRE DENI BIRAM NDAO SUD,2,573.0,CLASSE CM1
RUFISQUE,BAMBYLOR,ECOLE PUBLIQUE DE KANIACK NDIAWDOUNE,1,392.0,CLASSE CM1
