DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
RUFISQUE,BARGNY,CEM BARGNY,1,205,SALLE 9
RUFISQUE,BARGNY,CEM BARGNY,2,209,SALLE 10
RUFISQUE,BARGNY,CEM BARGNY,3,209,SALLE 11
RUFISQUE,BARGNY,CEM BARGNY,4,208,SALLE 12
RUFISQUE,BARGNY,CEM BARGNY,5,206,SALLE 13
RUFISQUE,BARGNY,CEM BARGNY,6,208,SALLE 14
RUFISQUE,BARGNY,CENTRE SOCIO-CULTUREL EH NDIOUGA DIENG,1,472,SALLE 1
RUFISQUE,BARGNY,CENTRE SOCIO-CULTUREL EH NDIOUGA DIENG,2,468,SALLE 2
RUFISQUE,BARGNY,CENTRE SOCIO-CULTUREL EH NDIOUGA DIENG,3,467,SALLE 3
RUFISQUE,BARGNY,ECOLE DAROU 2,1,500,CLASSE CI A
RUFISQUE,BARGNY,ECOLE DAROU 2,2,496,CLASSE CP A
RUFISQUE,BARGNY,ECOLE DAROU 2,3,501,CLASSE CP B
RUFISQUE,BARGNY,ECOLE DAROU 2,4,500,CLASSE CE2 A
RUFISQUE,BARGNY,ECOLE DAROU 2,5,498,CLASSE CM1
RUFISQUE,BARGNY,ECOLE DAROU 2,6,502,CLASSE CM2
RUFISQUE,BARGNY,ECOLE DES FILLES,1,550,CLASSE CI A
RUFISQUE,BARGNY,ECOLE DES FILLES,2,553,CLASSE CE1 A
RUFISQUE,BARGNY,ECOLE DES FILLES,3,550,CLASSE CE1 B
RUFISQUE,BARGNY,ECOLE DES FILLES,4,549,CLASSE CE2 A
RUFISQUE,BARGNY,ECOLE DES FILLES,5,549,CLASSE CE2 B
RUFISQUE,BARGNY,ECOLE DES FILLES,6,548,SALLE DE CLASSE N°6
RUFISQUE,BARGNY,ECOLE DES FILLES,7,552,SALLE DE CLASSE N°7
RUFISQUE,BARGNY,ECOLE ELEMENTAIRE KIP CARRIERE,1,587,CLASSE CI
RUFISQUE,BARGNY,ECOLE ELEMENTAIRE KIP CARRIERE,2,591,CLASSE CE1
RUFISQUE,BARGNY,ECOLE ELEMENTAIRE KIP CARRIERE,3,580,CLASSE CM2
RUFISQUE,BARGNY,ECOLE ELEMENTAIRE KIP CARRIERE,4,588,CLASSE CP
RUFISQUE,BARGNY,ECOLE ELEMENTAIRE KIP CARRIERE,5,507,CLASSE CM1
RUFISQUE,BARGNY,ECOLE ELEMENTAIRE NDIOLMANE,1,560,CLASSE CE1
RUFISQUE,BARGNY,ECOLE ELEMENTAIRE NDIOLMANE,2,556,CLASSE CE2
RUFISQUE,BARGNY,ECOLE ELEMENTAIRE NDIOLMANE,3,557,CLASSE CM2
RUFISQUE,BARGNY,ECOLE ELEMENTAIRE NDIOLMANE,4,557,CLASSE CI
RUFISQUE,BARGNY,ECOLE ELEMENTAIRE NDIOLMANE,5,560,CLASSE CP
RUFISQUE,BARGNY,ECOLE MERVI,1,489,CLASSE CM2 B
RUFISQUE,BARGNY,ECOLE MERVI,2,492,CLASSE CM1 B
RUFISQUE,BARGNY,ECOLE MERVI,3,491,CLASSE CE2 B
RUFISQUE,BARGNY,ECOLE MERVI,4,485,CLASSE CE1 B
RUFISQUE,BARGNY,ECOLE MERVI,5,492,CLASSE CP B
RUFISQUE,BARGNY,ECOLE MERVI,6,490,CLASSE CM2 A
