DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
RUFISQUE,DIAMNIADIO,ECOLE DENI YOUSSOU,1,466,CLASSE CI
RUFISQUE,DIAMNIADIO,ECOLE DIAM NIADIO,1,566,CLASSE CE2A
RUFISQUE,DIAMNIADIO,ECOLE DIAM NIADIO,2,585,CLASSE CE1A
RUFISQUE,DIAMNIADIO,ECOLE DIAM NIADIO,3,576,CLASSE CM1
RUFISQUE,DIAMNIADIO,ECOLE DIAM NIADIO,4,557,SALLE DE CLASSE
RUFISQUE,DIAMNIADIO,ECOLE DIAM NIADIO,5,561,SALLE DE CLASSE
RUFISQUE,DIAMNIADIO,ECOLE DIAM NIADIO,6,547,SALLE DE CLASSE CP A
RUFISQUE,DIAMNIADIO,ECOLE DIAM NIADIO,7,549,SALLE DE CLASSE CE1 A
RUFISQUE,DIAMNIADIO,ECOLE DIAM NIADIO,8,549,CLASSE CI B
RUFISQUE,DIAMNIADIO,ECOLE DIAMNIADIO 2,1,536,CLASSE CP
RUFISQUE,DIAMNIADIO,ECOLE DIAMNIADIO 2,2,534,CLASSE CE1
RUFISQUE,DIAMNIADIO,ECOLE DIAMNIADIO 2,3,536,CLASSE CM1
RUFISQUE,DIAMNIADIO,ECOLE DIAMNIADIO 2,4,537,SALLE DE CLASSE
RUFISQUE,DIAMNIADIO,ECOLE DIAMNIADIO 2,5,315,CLASSE CE1 A
RUFISQUE,DIAMNIADIO,ECOLE DOUGAR 1,1,554,CLASSE CM1B
RUFISQUE,DIAMNIADIO,ECOLE DOUGAR 1,2,563,CLASSE CE1A
RUFISQUE,DIAMNIADIO,ECOLE DOUGAR 1,3,551,CLASSE CE2A
RUFISQUE,DIAMNIADIO,ECOLE DOUGAR 1,4,554,SALLE DE CLASSE
RUFISQUE,DIAMNIADIO,ECOLE DOUGAR 1,5,247,CLASSE CI A
RUFISQUE,DIAMNIADIO,ECOLE ELEMENTAIRE DENI MALICK GUEYE,1,504,CLASSE CE1
RUFISQUE,DIAMNIADIO,ECOLE ELEMENTAIRE DENI MALICK GUEYE,2,506,CLASSE CI
RUFISQUE,DIAMNIADIO,ECOLE MBOUNKA BAMBARA,1,567,CLASSE CM2
RUFISQUE,DIAMNIADIO,ECOLE MBOUNKA BAMBARA,2,564,SALLE DE CLASSE
RUFISQUE,DIAMNIADIO,ECOLE NDOYENE 1,1,523,CLASSE CM1
RUFISQUE,DIAMNIADIO,ECOLE NDOYENE 1,2,137,SALLE DE CLASSE
RUFISQUE,DIAMNIADIO,ECOLE SEBI WILLIAM PONTY,1,528,BIBLIOTHEQUE
RUFISQUE,DIAMNIADIO,ECOLE SEBI WILLIAM PONTY,2,525,CLASSE CPA
RUFISQUE,DIAMNIADIO,ECOLE SEBI WILLIAM PONTY,3,517,CLASSE CE1B
RUFISQUE,DIAMNIADIO,ECOLE SEBI WILLIAM PONTY,4,515,CLASSE CE2B
RUFISQUE,DIAMNIADIO,ECOLE YAAM,1,367,CLASSE CI
