DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
RUFISQUE,RUFISQUE EST,BLOC SCIENTIFIQUE,1,487.0,SALLE D1
RUFISQUE,RUFISQUE EST,BLOC SCIENTIFIQUE,2,484.0,SALLE D4
RUFISQUE,RUFISQUE EST,BLOC SCIENTIFIQUE,3,495.0,SALLE D5
RUFISQUE,RUFISQUE EST,BLOC SCIENTIFIQUE,4,491.0,SALLE D3
RUFISQUE,RUFISQUE EST,BLOC SCIENTIFIQUE,5,488.0,SALLE D2
RUFISQUE,RUFISQUE EST,ECOLE EH MAMOUR DIOP (SANTHIABA),1,549.0,CLASSE CIA
RUFISQUE,RUFISQUE EST,ECOLE EH MAMOUR DIOP (SANTHIABA),2,548.0,CLASSE CM1A
RUFISQUE,RUFISQUE EST,ECOLE EH MAMOUR DIOP (SANTHIABA),3,548.0,CLASSE CM2A
RUFISQUE,RUFISQUE EST,ECOLE EH MAMOUR DIOP (SANTHIABA),4,548.0,CLASSE CE2A
RUFISQUE,RUFISQUE EST,ECOLE EH MAMOUR DIOP (SANTHIABA),5,453.0,CLASSE CPA
RUFISQUE,RUFISQUE EST,ECOLE ELEMENTAIRE COLOBANE,1,559.0,CLASSE CIA
RUFISQUE,RUFISQUE EST,ECOLE ELEMENTAIRE COLOBANE,2,555.0,CLASSE CM2A
RUFISQUE,RUFISQUE EST,ECOLE ELEMENTAIRE COLOBANE,3,564.0,CLASSE CM1A
RUFISQUE,RUFISQUE EST,ECOLE ELEMENTAIRE COLOBANE,4,559.0,CLASSE CE1 A
RUFISQUE,RUFISQUE EST,ECOLE ELEMENTAIRE COLOBANE,5,560.0,CLASSE CE2A
RUFISQUE,RUFISQUE EST,ECOLE ELEMENTAIRE COLOBANE,6,564.0,CLASSE CPA
RUFISQUE,RUFISQUE EST,ECOLE ELEMENTAIRE COLOBANE,7,562.0,CLASSE CIB
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,1,597.0,CLASSE CIA
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,2,597.0,CLASSE CPA
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,3,597.0,CLASSE CE1A
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,4,597.0,CLASSE CE2A
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,5,597.0,CLASSE CM1A
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,6,597.0,CLASSE CM2A
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,7,597.0,CLASSE CM2B
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,8,597.0,CLASSE CI B
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,9,597.0,CLASSE CE 1 B
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,10,596.0,CLASSE CE2 B
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,11,596.0,CLASSE CPB
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,12,597.0,CLASSE CM1 B
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,13,597.0,CLASSE CM2 A BIS
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,14,597.0,CLASSE CM2B BIS
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,15,597.0,CLASSE CE2A BIS
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,16,597.0,CLASSE CE2B BIS
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,17,229.0,CLASSE CI B BIS
RUFISQUE,RUFISQUE EST,ECOLE MATAR SECK,1,550.0,CLASSE CIA
RUFISQUE,RUFISQUE EST,ECOLE MATAR SECK,2,548.0,CLASSE CPA
RUFISQUE,RUFISQUE EST,ECOLE MATAR SECK,3,548.0,CLASSE CE1B
RUFISQUE,RUFISQUE EST,ECOLE MATAR SECK,4,558.0,CLASSE CM2B
RUFISQUE,RUFISQUE EST,ECOLE MATAR SECK,5,474.0,SALLE DE CLASSE
RUFISQUE,RUFISQUE EST,ECOLE MERINA,1,571.0,CLASSE CI
RUFISQUE,RUFISQUE EST,ECOLE MERINA,2,580.0,CLASSE CP
RUFISQUE,RUFISQUE EST,ECOLE MERINA,3,580.0,CLASSE CM2
RUFISQUE,RUFISQUE EST,ECOLE MERINA,4,576.0,CLASSE CE2
RUFISQUE,RUFISQUE EST,ECOLE MERINA,5,572.0,CLASSE CM1
RUFISQUE,RUFISQUE EST,ECOLE MERINA,6,583.0,CLASSE CE1
RUFISQUE,RUFISQUE EST,ECOLE MERINA,7,581.0,ABRI PROVISOIRE
RUFISQUE,RUFISQUE EST,ECOLE MERINA,8,585.0,ABRI PROVISOIRE
RUFISQUE,RUFISQUE EST,ECOLE MERINA,9,559.0,ABRI PROVISOIRE
