DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
RUFISQUE,RUFISQUE NORD,CES PIONNIERS DU SYNDICALISME,1,598,SALLE 1
RUFISQUE,RUFISQUE NORD,CES PIONNIERS DU SYNDICALISME,2,598,SALLE 5
RUFISQUE,RUFISQUE NORD,CES PIONNIERS DU SYNDICALISME,3,598,SALLE 6
RUFISQUE,RUFISQUE NORD,CES PIONNIERS DU SYNDICALISME,4,598,SALLE 7
RUFISQUE,RUFISQUE NORD,CES PIONNIERS DU SYNDICALISME,5,599,SALLE 4
RUFISQUE,RUFISQUE NORD,CES PIONNIERS DU SYNDICALISME,6,599,SALLE 2
RUFISQUE,RUFISQUE NORD,CES PIONNIERS DU SYNDICALISME,7,599,ABRI PROVISOIRE
RUFISQUE,RUFISQUE NORD,CES PIONNIERS DU SYNDICALISME,8,598,ABRI PROVISOIRE
RUFISQUE,RUFISQUE NORD,CES PIONNIERS DU SYNDICALISME,9,263,ABRI PROVISOIRE
RUFISQUE,RUFISQUE NORD,ECOLE BASSIROU FALL (CAMP X.LELONG),1,536,CLASSE CI B
RUFISQUE,RUFISQUE NORD,ECOLE BASSIROU FALL (CAMP X.LELONG),2,530,CLASSE CP B
RUFISQUE,RUFISQUE NORD,ECOLE BASSIROU FALL (CAMP X.LELONG),3,532,CLASSE CE2A
RUFISQUE,RUFISQUE NORD,ECOLE BASSIROU FALL (CAMP X.LELONG),4,534,CLASSE CI A
RUFISQUE,RUFISQUE NORD,ECOLE BASSIROU FALL (CAMP X.LELONG),5,535,CLASSE CP A
RUFISQUE,RUFISQUE NORD,ECOLE BASSIROU FALL (CAMP X.LELONG),6,538,CLASSE CE2 B
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE FASS,1,590,CLASSE CM2A
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE FASS,2,590,CLASSE CPA
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE FASS,3,589,CLASSE CE1A
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE FASS,4,589,CLASSE CM2B
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE FASS,5,589,CLASSE CE2 A
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE FASS,6,589,CLASSE CIA
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE FASS,7,589,CLASSE CIB
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE FASS,8,584,CLASSE CM 1 B
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE FASS,9,579,CLASSE CP B
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE FASS,10,590,CLASSE CE1 B
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE FASS,11,523,CLASSE CE2 B
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE FASS,12,499,PRESCOLAIRE SALLE DE CLASSE
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,1,597,CLASSE CI
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,2,594,CLASSE CIB
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,3,594,CLASSE CPA
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,4,596,CLASSE CM2A
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,5,596,CLASSE CM2B
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,6,594,CLASSE CM1B
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,7,596,CLASSE CE2A
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,8,596,CLASSE CPB
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,9,595,CLASSE CE1A
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,10,596,CLASSE CE1 B
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,11,595,CLASSE CM1 A
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,12,597,CLASSE CE2 B
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,13,597,SALLE
RUFISQUE,RUFISQUE NORD,ECOLE ELEMENTAIRE SANTHIABA CHERIF,14,594,SALLE
RUFISQUE,RUFISQUE NORD,ECOLE HLM CITE RADIO,1,556,SALLE 4
RUFISQUE,RUFISQUE NORD,ECOLE HLM CITE RADIO,2,559,SALLE 6
RUFISQUE,RUFISQUE NORD,ECOLE HLM CITE RADIO,3,557,SALLE 8
RUFISQUE,RUFISQUE NORD,ECOLE HLM CITE RADIO,4,558,SALLE 10
RUFISQUE,RUFISQUE NORD,ECOLE HLM CITE RADIO,5,557,SALLE 02
RUFISQUE,RUFISQUE NORD,ECOLE HLM CITE RADIO,6,568,SALLE 11
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),1,594,CLASSE CIA
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),2,592,CLASSE CIB
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),3,594,CLASSE CPA
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),4,595,CLASSE CE1A
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),5,595,CLASSE CE2B
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),6,593,CLASSE CE2A
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),7,594,CLASSE CM1A
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),8,595,CLASSE CM2B
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),9,593,CLASSE CM2A
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),10,593,CLASSE CPB
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),11,591,CE1B
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),12,595,CLASSE CM1 B
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),13,595,CE2 C
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),14,594,ABRI PROVISOIRE
RUFISQUE,RUFISQUE NORD,ECOLE OUSMANE MBENGUE (DANGOU),15,594,ABRI PROVISOIRE
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,1,600,CI A
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,2,600,CI B
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,3,600,CP A
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,4,600,CP B
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,5,600,CE1 A
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,6,600,CE1 B
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,7,600,CE2 A
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,8,600,CE2 B
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,9,600,CM1 A
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,10,600,CM1 B
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,11,600,CM2 A
RUFISQUE,RUFISQUE NORD,ECOLE SANTHIABA CHERIF 2,12,600,CM2 B
