DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
RUFISQUE,RUFISQUE OUEST,CES MAURICE GUEYE,1,589.0,SALLE 1
RUFISQUE,RUFISQUE OUEST,CES MAURICE GUEYE,2,589.0,SALLE 2
RUFISQUE,RUFISQUE OUEST,CES MAURICE GUEYE,3,589.0,SALLE 3
RUFISQUE,RUFISQUE OUEST,CES MAURICE GUEYE,4,589.0,SALLE 4
RUFISQUE,RUFISQUE OUEST,CES MAURICE GUEYE,5,590.0,SALLE 5
RUFISQUE,RUFISQUE OUEST,CES MAURICE GUEYE,6,590.0,SALLE 6
RUFISQUE,RUFISQUE OUEST,CES MAURICE GUEYE,7,590.0,SALLE 7
RUFISQUE,RUFISQUE OUEST,CES MAURICE GUEYE,8,590.0,SALLE 8
RUFISQUE,RUFISQUE OUEST,CES MAURICE GUEYE,9,334.0,SALLE 9
RUFISQUE,RUFISQUE OUEST,ECOLE ALIOUNE DIA,1,577.0,CI A
RUFISQUE,RUFISQUE OUEST,ECOLE ALIOUNE DIA,2,576.0,CI B
RUFISQUE,RUFISQUE OUEST,ECOLE ALIOUNE DIA,3,576.0,CP A
RUFISQUE,RUFISQUE OUEST,ECOLE ALIOUNE DIA,4,574.0,CP B
RUFISQUE,RUFISQUE OUEST,ECOLE ALIOUNE DIA,5,576.0,CE1 A
RUFISQUE,RUFISQUE OUEST,ECOLE ALIOUNE DIA,6,573.0,CE1 B
RUFISQUE,RUFISQUE OUEST,ECOLE CHARLEMAGNE,1,566.0,CLASSE CM1 A
RUFISQUE,RUFISQUE OUEST,ECOLE CHARLEMAGNE,2,549.0,CLASSE CM1 B
RUFISQUE,RUFISQUE OUEST,ECOLE CHARLEMAGNE,3,535.0,CLASSE CI
RUFISQUE,RUFISQUE OUEST,ECOLE CHARLEMAGNE,4,543.0,CLASSE CP
RUFISQUE,RUFISQUE OUEST,ECOLE CHARLEMAGNE,5,228.0,CLASSE CE2 B
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,1,599.0,SALLE
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,2,598.0,CE1 B
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,3,596.0,CP B
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,4,600.0,CI B
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,5,600.0,CE1 A
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,6,597.0,CP A
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,7,591.0,CI A
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,8,599.0,CM2 A
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,9,597.0,CM1 A
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,10,600.0,CE2 A
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,11,595.0,CM2 B
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,12,600.0,CM1 B
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,13,585.0,CE2 B
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,14,587.0,ABRI PROVISOIRE
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,15,594.0,ABRI PROVISOIRE
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,16,597.0,ABRI PROVISOIRE
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,17,494.0,ABRI PROVISOIRE
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,18,493.0,ABRI PROVISOIRE
RUFISQUE,RUFISQUE OUEST,ECOLE EH MOUSSA DIALLO (KHER),1,599.0,CLASSE CI A
RUFISQUE,RUFISQUE OUEST,ECOLE EH MOUSSA DIALLO (KHER),2,597.0,CLASSE CP A
RUFISQUE,RUFISQUE OUEST,ECOLE EH MOUSSA DIALLO (KHER),3,598.0,CLASSE CE1  A
RUFISQUE,RUFISQUE OUEST,ECOLE EH MOUSSA DIALLO (KHER),4,594.0,CLASSE CE2 B
RUFISQUE,RUFISQUE OUEST,ECOLE EH MOUSSA DIALLO (KHER),5,596.0,CLASSE CM1 A
RUFISQUE,RUFISQUE OUEST,ECOLE EH MOUSSA DIALLO (KHER),6,593.0,CLASSE CM1 B
RUFISQUE,RUFISQUE OUEST,ECOLE EH MOUSSA DIALLO (KHER),7,600.0,CLASSE CM2 A
RUFISQUE,RUFISQUE OUEST,ECOLE EH MOUSSA DIALLO (KHER),8,593.0,CLASSE CM 2 B
RUFISQUE,RUFISQUE OUEST,ECOLE EH MOUSSA DIALLO (KHER),9,592.0,C I B
RUFISQUE,RUFISQUE OUEST,ECOLE EH MOUSSA DIALLO (KHER),10,599.0,C P B
RUFISQUE,RUFISQUE OUEST,ECOLE EH MOUSSA DIALLO (KHER),11,593.0,CLASSE CE1 B
RUFISQUE,RUFISQUE OUEST,ECOLE EH MOUSSA DIALLO (KHER),12,129.0,CLASSE CE2 A
RUFISQUE,RUFISQUE OUEST,ECOLE MBAYE NDIR (GUENDEL),1,575.0,CLASSE CP B
RUFISQUE,RUFISQUE OUEST,ECOLE MBAYE NDIR (GUENDEL),2,575.0,CLASSE CM 1 A
RUFISQUE,RUFISQUE OUEST,ECOLE MBAYE NDIR (GUENDEL),3,572.0,CLASSE CI A
RUFISQUE,RUFISQUE OUEST,ECOLE MBAYE NDIR (GUENDEL),4,576.0,CLASSE CE1 A
RUFISQUE,RUFISQUE OUEST,ECOLE OUSSEYNOU DIAGNE (THIOKHO),1,587.0,CLASSE CI
RUFISQUE,RUFISQUE OUEST,ECOLE OUSSEYNOU DIAGNE (THIOKHO),2,587.0,CLASSE CP
RUFISQUE,RUFISQUE OUEST,ECOLE OUSSEYNOU DIAGNE (THIOKHO),3,588.0,CLASSE CE 1
RUFISQUE,RUFISQUE OUEST,ECOLE OUSSEYNOU DIAGNE (THIOKHO),4,587.0,CLASSE CM1 A
RUFISQUE,RUFISQUE OUEST,ECOLE OUSSEYNOU DIAGNE (THIOKHO),5,587.0,CLASSE CM1 B
RUFISQUE,RUFISQUE OUEST,ECOLE OUSSEYNOU DIAGNE (THIOKHO),6,584.0,CLASSE CM2
RUFISQUE,RUFISQUE OUEST,ECOLE OUSSEYNOU DIAGNE (THIOKHO),7,583.0,CLASSE CE2
RUFISQUE,RUFISQUE OUEST,ECOLE OUSSEYNOU DIAGNE (THIOKHO),8,587.0,MAURICE GUEYE SALLE DE CLASSE
