DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
RUFISQUE,TIVAOUANE PEULH - NIAGA,DENI GUEDJ NORD,1,248.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE BENOBA,1,406.0,SALLE 6
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE BENOBA,2,405.0,SALLE 5
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE BENOBA,3,329.0,SALLE 7
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE CITE SAFCO,1,534.0,CLASSE CM1
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE CITE SAFCO,2,375.0,CLASSE CI
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE DAROU SALAM,1,468.0,CLASSE CM2
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE NIAGA 2,1,541.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE NIAGA 2,2,559.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE NIAGA 2,3,183.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TAWFEKH SOCABEG,1,570.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TAWFEKH SOCABEG,2,595.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TAWFEKH SOCABEG,3,451.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,1,583.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,2,582.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,3,583.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,4,582.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,5,581.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,6,584.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,7,583.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,8,585.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,9,581.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,10,582.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,11,581.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,12,582.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,13,580.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,14,589.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,15,589.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,16,582.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,17,594.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,18,584.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,19,583.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,20,579.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,21,582.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,22,584.0,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,23,584.0,SALLE DE CLASSE
