DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BAMBEY,BABA GARAGE,BABA GARAGE 1,1,536,CLASSE CP A
BAMBEY,BABA GARAGE,BABA GARAGE 1,2,536,CLASSE CE1 A
BAMBEY,BABA GARAGE,BABA GARAGE 1,3,535,CLASSE CM1 A
BAMBEY,BABA GARAGE,BABA GARAGE 1,4,535,CLASSE SND S LYCEE BBG
BAMBEY,BABA GARAGE,BABA GARAGE 1,5,534,CLASSE 1ERE S LYCEE BBG
BAMBEY,BABA GARAGE,DAROU BAKHOUM,1,383,ABRI PROVISOIRE
BAMBEY,BABA GARAGE,DAROU NGUER,1,322,CLASSE CI
BAMBEY,BABA GARAGE,GNICK,1,410,ABRI PROVISOIRE
BAMBEY,BABA GARAGE,KEUR OUSMANE KANE,1,556,CLASSE CE2
BAMBEY,BABA GARAGE,KEUR OUSMANE KANE,2,75,SALLE DE CLASSE
BAMBEY,BABA GARAGE,KHAYE NDIAYE,1,316,ABRI PROVISOIRE
BAMBEY,BABA GARAGE,MBAKHE,1,243,CLASSE CM2
BAMBEY,BABA GARAGE,NDARY DIOP,1,536,CLASSE CM1
BAMBEY,BABA GARAGE,NDIABY,1,275,CLASSE CP
BAMBEY,BABA GARAGE,NDIEULBER 1,1,278,SALLE DE CLASSE CE1/CM1
BAMBEY,BABA GARAGE,NDIOBEL,1,376,CLASSE CI
BAMBEY,BABA GARAGE,SAM-SAM,1,432,ABRI PROVISOIRE
BAMBEY,BABA GARAGE,TAWA FALL,1,417,CLASSE CM1
BAMBEY,BABA GARAGE,TAWA FALL,2,416,CLASSE CE2
BAMBEY,BABA GARAGE,THIEUL FANAYE,1,355,CLASSE CM1
