DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BAMBEY,BAMBEY,ECOLE 2,1,559.0,CLASSE CP A
BAMBEY,BAMBEY,ECOLE 2,2,558.0,CLASSE CM2 A
BAMBEY,BAMBEY,ECOLE 2,3,567.0,CLASSE CE2 A
BAMBEY,BAMBEY,ECOLE 2,4,552.0,CLASSE CP B
BAMBEY,BAMBEY,ECOLE 2,5,532.0,CLASSE CI A
BAMBEY,BAMBEY,ECOLE 2,6,371.0,CLASSE CM2 B
BAMBEY,BAMBEY,ECOLE 3,1,571.0,CLASSE CP B
BAMBEY,BAMBEY,ECOLE 3,2,574.0,CLASSE CM2 A
BAMBEY,BAMBEY,ECOLE 3,3,585.0,CLASSE CP
BAMBEY,BAMBEY,ECOLE 3,4,573.0,CLASSE CE2A
BAMBEY,BAMBEY,ECOLE 3,5,268.0,CLASSE CI A
BAMBEY,BAMBEY,ECOLE 4,1,585.0,CLASSE CE1 B
BAMBEY,BAMBEY,ECOLE 4,2,570.0,CLASSE CP A
BAMBEY,BAMBEY,ECOLE 4,3,576.0,CLASSE CI A
BAMBEY,BAMBEY,ECOLE 4,4,583.0,CLASSE CM2 B
BAMBEY,BAMBEY,ECOLE 4,5,581.0,CLASSE CM1 A
BAMBEY,BAMBEY,ECOLE 4,6,586.0,CLASSE CE1 A
BAMBEY,BAMBEY,ECOLE 4,7,150.0,CLASSE CE1 C
BAMBEY,BAMBEY,ECOLE 5,1,566.0,CLASSE CP C
BAMBEY,BAMBEY,ECOLE 5,2,555.0,CLASSE CM1  A
BAMBEY,BAMBEY,ECOLE 5,3,526.0,CLASSE CE2 A
BAMBEY,BAMBEY,ECOLE 5,4,384.0,CLASSE CE1 A
BAMBEY,BAMBEY,ECOLE ANNEXE,1,504.0,CLASSE CE2 A
BAMBEY,BAMBEY,ECOLE ANNEXE,2,504.0,CLASSE CP B
BAMBEY,BAMBEY,ECOLE CHEIKH AWA BALLA MBACKE,1,553.0,CLASSE CM1 B
BAMBEY,BAMBEY,ECOLE CHEIKH AWA BALLA MBACKE,2,541.0,CLASSE CP A
BAMBEY,BAMBEY,ECOLE CHEIKH AWA BALLA MBACKE,3,568.0,CLASSE CE2 A
BAMBEY,BAMBEY,ECOLE CHEIKH AWA BALLA MBACKE,4,524.0,CLASSE CIA
BAMBEY,BAMBEY,ECOLE CHEIKH AWA BALLA MBACKE,5,532.0,CLASSE CE2 B
BAMBEY,BAMBEY,ECOLE CHEIKH AWA BALLA MBACKE,6,526.0,CLASSE CE1 A
BAMBEY,BAMBEY,ECOLE CHEIKH AWA BALLA MBACKE,7,357.0,CLASSE CE1 B
BAMBEY,BAMBEY,MAIRIE,1,558.0,CEM DIERY FALL
BAMBEY,BAMBEY,MAIRIE,2,556.0,CEM DIERY FALL
BAMBEY,BAMBEY,MAIRIE,3,558.0,CEM DIERY FALL
