DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BAMBEY,DANGALMA,BABACK DIOMEGOR,1,571,CLASSE CI
BAMBEY,DANGALMA,BABACK DIOMEGOR,2,154,CLASSE CM2
BAMBEY,DANGALMA,BAMBEY SERERE,1,531,ABRI PROVISOIRE
BAMBEY,DANGALMA,BAMBEY SERERE,2,531,ABRI PROVISOIRE
BAMBEY,DANGALMA,DADACK,1,555,CLASSE CE2
BAMBEY,DANGALMA,DANGALMA,1,574,CLASSE CE2
BAMBEY,DANGALMA,DANGALMA,2,575,CLASSE CM1
BAMBEY,DANGALMA,DANGALMA,3,575,CLASSE CM2
BAMBEY,DANGALMA,DANGALMA,4,574,CLASSE CE1
BAMBEY,DANGALMA,DANGALMA 2,1,546,CLASSE CM1
BAMBEY,DANGALMA,DANGALMA 2,2,223,CLASSE CP
BAMBEY,DANGALMA,ECOLE SINDIANE (EX SEO SINDIANE),1,569,CLASSE CE2
BAMBEY,DANGALMA,GATT DIOCOUL 1,1,555,CLASSE CE1
BAMBEY,DANGALMA,GATT DIOCOUL 1,2,555,CLASSE CP
BAMBEY,DANGALMA,GATT GALLO,1,583,ABRI PROVISOIRE
BAMBEY,DANGALMA,GATT GALLO,2,586,ABRI PROVISOIRE
BAMBEY,DANGALMA,GATT GALLO,3,131,ABRI PROVISOIRE
BAMBEY,DANGALMA,GATT NGARAFF 1,1,528,CLASSE CM1
BAMBEY,DANGALMA,GATT NGARAFF 1,2,527,CLASSE CE2
BAMBEY,DANGALMA,GATT NGARAFF 1,3,528,ECOLE CLASSE CP
BAMBEY,DANGALMA,KEUR GALLO,1,281,ABRI PROVISOIRE
BAMBEY,DANGALMA,LYCEE DE DANGALMA,1,367,SALLE 6
BAMBEY,DANGALMA,LYCEE DE DANGALMA,2,368,SALLE 7
BAMBEY,DANGALMA,MERINA,1,588,ABRI PROVISOIRE
BAMBEY,DANGALMA,MERINA,2,53,ABRI PROVISOIRE
BAMBEY,DANGALMA,NDIADIANE,1,588,ABRI PROVISOIRE
BAMBEY,DANGALMA,NDIADIANE,2,75,ABRI PROVISOIRE
BAMBEY,DANGALMA,NDIOBENE NGOYE,1,245,ABRI PROVISOIRE
BAMBEY,DANGALMA,NGOKHOTHIE,1,470,ABRI PROVISOIRE
BAMBEY,DANGALMA,NGOKHOTHIE EX LAMBAYE,1,256,CLASSE CI
BAMBEY,DANGALMA,NGUEME YADIAMA,1,286,ABRI PROVISOIRE
BAMBEY,DANGALMA,NGUITHIE PEYE,1,464,CLASSE CE2
BAMBEY,DANGALMA,SANGHAYE,1,380,ABRI PROVISOIRE
BAMBEY,DANGALMA,SAO,1,180,ABRI PROVISOIRE
BAMBEY,DANGALMA,TALLAGNE,1,561,CASE DE SANTE
