DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BAMBEY,DINGUIRAYE (BAMBEY),BARIDIAME,1,359.0,CLASSE CE2
BAMBEY,DINGUIRAYE (BAMBEY),DINGUIRAYE,1,560.0,CLASSE CM2
BAMBEY,DINGUIRAYE (BAMBEY),DINGUIRAYE,2,180.0,SALLE DE CLASSE
BAMBEY,DINGUIRAYE (BAMBEY),GOLL,1,355.0,ABRI PROVISOIRE
BAMBEY,DINGUIRAYE (BAMBEY),GRAME,1,542.0,CLASSE CM1
BAMBEY,DINGUIRAYE (BAMBEY),GRAME,2,105.0,SALLE DE CLASSE
BAMBEY,DINGUIRAYE (BAMBEY),KANGHARLO,1,254.0,ABRI PROVISOIRE
BAMBEY,DINGUIRAYE (BAMBEY),KEUR MADIOP,1,430.0,CLASSE CM2
BAMBEY,DINGUIRAYE (BAMBEY),KEUR MADIOP,2,430.0,CLASSE CI
BAMBEY,DINGUIRAYE (BAMBEY),MBAYE,1,149.0,CLASSE CP
BAMBEY,DINGUIRAYE (BAMBEY),NDIANE 1,1,246.0,ABRI PROVISOIRE
BAMBEY,DINGUIRAYE (BAMBEY),THIAYTOU,1,570.0,CLASSE CM 2
BAMBEY,DINGUIRAYE (BAMBEY),THIAYTOU,2,102.0,SALLE DE CLASSE
BAMBEY,DINGUIRAYE (BAMBEY),THIOKHOL,1,299.0,ABRI PROVISOIRE
BAMBEY,DINGUIRAYE (BAMBEY),TOUNGHOR,1,300.0,CLASSE CM1
