DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BAMBEY,LAMBAYE,KALOME,1,139,ABRI PROVISOIRE
BAMBEY,LAMBAYE,KEUR SAMBA GAYE,1,479,ABRI PROVISOIRE
BAMBEY,LAMBAYE,KEUR SEGUE NDIAYE,1,541,ABRI PROVISOIRE
BAMBEY,LAMBAYE,LAMBAYE ESCALE,1,476,ECOLE LAMBAYE SALLE 1
BAMBEY,LAMBAYE,LAMBAYE ESCALE,2,474,ECOLE LAMBAYE SALLE 2
BAMBEY,LAMBAYE,MAKA TASSAR,1,281,ECOLE TASSAR SALLE 1
BAMBEY,LAMBAYE,MBADIANE GORA,1,337,ABRI PROVISOIRE
BAMBEY,LAMBAYE,MBADIANE SAMBA AWA,1,406,ECOLE MBADIANE SAMBA AWA SAL 1
BAMBEY,LAMBAYE,MBALMY,1,452,ECOLE ELEMENTAIRE MBALMY SALLE 1
BAMBEY,LAMBAYE,MBALMY,2,453,ECOLE ELEMENTAIRE MBALMY SALLE 2
BAMBEY,LAMBAYE,MBOTAL LAMBAYE,1,433,CEM LAMBAYE SALLE 1
BAMBEY,LAMBAYE,MBOUBANE,1,333,ECOLE MBOUBANE SALLE 1
BAMBEY,LAMBAYE,MBOUSSO,1,570,DAARA MODERNE MBOUSSO SALLE 1
BAMBEY,LAMBAYE,MBOUSSO,2,48,DAARA MODERNE MBOUSSO SALLE 2
BAMBEY,LAMBAYE,MEKHE,1,583,ECOLE MEKHE SALLE 1
BAMBEY,LAMBAYE,MEKHE,2,583,ECOLE MEKHE SALLE 2
BAMBEY,LAMBAYE,MEKHE,3,101,ECOLE MEKHE SALLE 3
BAMBEY,LAMBAYE,NDIARGA LAMBAYE,1,453,ECOLE NDIARGA LAMBAYE SALLE 1
BAMBEY,LAMBAYE,NDONDOL CODOU NGOYE,1,515,ECOLE NDONDOL CODOU NGOYE SL 1
BAMBEY,LAMBAYE,NGANDIAL,1,319,ABRI PROVISOIRE
BAMBEY,LAMBAYE,NIAKHAPPE,1,282,ABRI PROVISOIRE
BAMBEY,LAMBAYE,PARBA LAMBAYE,1,336,ABRI PROVISOIRE
BAMBEY,LAMBAYE,PARBA LAMBAYE,2,338,ABRI PROVISOIRE N° 2
BAMBEY,LAMBAYE,PEYE LAMBAYE,1,503,ECOLE LAMBAYE SALLE 8
BAMBEY,LAMBAYE,PEYE LAMBAYE,2,500,ECOLE LAMBAYE SALLE 9
BAMBEY,LAMBAYE,POUGNAR,1,485,ABRI PROVISOIRE
BAMBEY,LAMBAYE,THIEPPE NDIAWRIGNE,1,405,ECOLE THIEPPE NDIAWRIGNE SAL 1
BAMBEY,LAMBAYE,THIEPPE PANATHIE,1,201,ECOLE THIEPPE PANATHIE SAL 1
BAMBEY,LAMBAYE,THIEPPE PARBA,1,364,ECOLE THIEPPE NDIAWRIGNE SAL 2
BAMBEY,LAMBAYE,TOUGOUTHIE,1,249,ABRI PROVISOIRE
