DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BAMBEY,NDONDOL,BACAPOME,1,237,ABRI PROVISOIRE
BAMBEY,NDONDOL,MBELKHAOUL,1,420,CENTRE D'ALPHABETISATION
BAMBEY,NDONDOL,MBOMBOYE 1,1,502,CLASSE CE1
BAMBEY,NDONDOL,MBOMBOYE 1,2,502,CLASSE CP
BAMBEY,NDONDOL,NDECK,1,537,CLASSE CE1
BAMBEY,NDONDOL,NDIEDIENG 1,1,423,CLASSE CP
BAMBEY,NDONDOL,NDIEDIENG 1,2,423,ECOLE PUBLIQUE
BAMBEY,NDONDOL,NDIEMANE,1,478,CLASSE CE2
BAMBEY,NDONDOL,NDIEMANE,2,477,CLASSE CP
BAMBEY,NDONDOL,NDONDOL,1,488,CLASSE CM2
BAMBEY,NDONDOL,NDONDOL,2,488,CLASSE CE1
BAMBEY,NDONDOL,NDONDOL,3,489,CLASSE CP
BAMBEY,NDONDOL,NDONDOL,4,488,CLASSE CM2 A
BAMBEY,NDONDOL,NDONDOL,5,489,CLASSE CM1
BAMBEY,NDONDOL,NGOUYE,1,552,CLASSE CP
BAMBEY,NDONDOL,NGUEME ISSA,1,396,CLASSE CE1
BAMBEY,NDONDOL,NGUEME ISSA,2,397,CLASSE CP
BAMBEY,NDONDOL,WAKHALDIAM,1,242,CLASSE CP
BAMBEY,NDONDOL,YAYE,1,591,CLASSE CM1
