DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BAMBEY,NGOGOM,ECOLE 1 BAMBEY SERERE,1,589,SALLE 1
BAMBEY,NGOGOM,ECOLE 1 BAMBEY SERERE,2,588,SALLE 2
BAMBEY,NGOGOM,ECOLE 1 BAMBEY SERERE,3,587,SALLE 3
BAMBEY,NGOGOM,ECOLE 1 BAMBEY SERERE,4,60,SALLE 04
BAMBEY,NGOGOM,ECOLE 2 BAMBEY SERERE,1,535,SALLE 1
BAMBEY,NGOGOM,ECOLE 2 BAMBEY SERERE,2,536,SALLE 2
BAMBEY,NGOGOM,ECOLE 2 BAMBEY SERERE,3,534,SALLE 3
BAMBEY,NGOGOM,ECOLE 2 BAMBEY SERERE,4,537,SALLE DE CLASSE
BAMBEY,NGOGOM,ECOLE 2 BAMBEY SERERE,5,537,SALLE DE CLASSE
BAMBEY,NGOGOM,KEUR ALIOU DIOUF,1,432,ECOLE ALIOU DIOUF SALLE 1
BAMBEY,NGOGOM,KEUR SAPOLECK,1,359,ECOLE KEUR SAPOLECK SALLE 1
BAMBEY,NGOGOM,MBARRY ALLE NDIAYE,1,584,E.F.A MBARY ALE NDIAYE SALLE 1
BAMBEY,NGOGOM,MBARRY ALLE NDIAYE,2,84,E.F.A MBARY ALE NDIAYE SALLE 2
BAMBEY,NGOGOM,MBOUKHOUM,1,236,E.F.A GOL SALLE 1
BAMBEY,NGOGOM,NDEME MEISSA THIORO,1,448,ECOLE NDEME MEISSA THIORO SAL1
BAMBEY,NGOGOM,NDIAKALACK,1,468,ECOLE NDIAKALACK SALLE 1
BAMBEY,NGOGOM,NDIOUDIOUF,1,548,ECOLE NDIOUDIOUF SALLE 1
BAMBEY,NGOGOM,NGARAFFE POLECK,1,470,ECOLE ARABE NGARAFFE POLECK SALLE1
BAMBEY,NGOGOM,NGOGOM,1,498,ECOLE NGOGOM SALLE 1
BAMBEY,NGOGOM,NGOGOM,2,503,ECOLE NGOGOM SALLE 2
BAMBEY,NGOGOM,NGOGOM,3,369,ECOLE NGOGOM SALLE 3
BAMBEY,NGOGOM,NGOTHIE 1,1,473,ECOLE ELEMENTAIRE NGOTHIE 1 SALLE 1
BAMBEY,NGOGOM,NGUITHIE THIANDIGUE,1,468,ECOLE NGUITHIE THIANDIGUE SALLE 1
BAMBEY,NGOGOM,NIOKETTE,1,175,ECOLE ELEMENTAIRE NIOKETTE SALLE 1
BAMBEY,NGOGOM,PALENE,1,476,ECOLE PALENE SALLE 1
BAMBEY,NGOGOM,SEO NGARAFF,1,410,ECOLE SEO NGARAFF SALLE 1
BAMBEY,NGOGOM,SILANE,1,577,ECOLE SILANE SALLE 1
BAMBEY,NGOGOM,SILANE,2,26,ECOLE ELEMENTAIRE DE SILANE SALLE 2
BAMBEY,NGOGOM,THILMAKHA,1,348,ABRI PROVISOIRE
