DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BAMBEY,NGOYE,BAKAKACK,1,267,CLASSE CP
BAMBEY,NGOYE,BARRY NDONDOL,1,509,CLASSE CM1
BAMBEY,NGOYE,BARRY NDONDOL,2,510,CLASSE CE1
BAMBEY,NGOYE,BATAL,1,530,CLASSE CE 2
BAMBEY,NGOYE,BATAL,2,530,CLASSE CP
BAMBEY,NGOYE,BATAL,3,530,ECOLE CLASSE CM2
BAMBEY,NGOYE,GALLO NGOYE,1,541,CLASSE CM1
BAMBEY,NGOYE,GALLO NGOYE,2,60,CLASSE CM2
BAMBEY,NGOYE,GOURGOURENE,1,582,CLASSE CE1
BAMBEY,NGOYE,GOURGOURENE,2,79,CLASSE CM2
BAMBEY,NGOYE,KEUR LAT BISSINE,1,422,ABRI PROVISOIRE
BAMBEY,NGOYE,KEUR MEISSA NDIAYE,1,451,CLASSE CE2
BAMBEY,NGOYE,KHANDIAR,1,579,ABRI PROVISOIRE
BAMBEY,NGOYE,MBOKHODANE,1,584,CLASSE CE2
BAMBEY,NGOYE,MBOKHODANE,2,98,CLASSE CM2
BAMBEY,NGOYE,NDIATTA NGOYE,1,325,ABRI PROVISOIRE
BAMBEY,NGOYE,NDIMB NGOYE,1,506,ABRI PROVISOIRE
BAMBEY,NGOYE,NDIMB NGOYE,2,505,ABRI PROVISOIRE
BAMBEY,NGOYE,NDIONE KADE 1,1,303,ABRI PROVISOIRE
BAMBEY,NGOYE,NDIONE MATENING,1,501,CLASSE CE1
BAMBEY,NGOYE,NDIOULY 1,1,561,CLASSE CM2
BAMBEY,NGOYE,NDIOULY 1,2,560,CLASSE CM1
BAMBEY,NGOYE,NDIOULY 1,3,560,CLASSE CE1
BAMBEY,NGOYE,NDIOULY 1,4,381,CLASSE CE2
BAMBEY,NGOYE,NGANDECK,1,224,ABRI PROVISOIRE
BAMBEY,NGOYE,NGASCOPE,1,584,CLASSE CM1
BAMBEY,NGOYE,NGASCOPE,2,108,CLASSE CM2 B
BAMBEY,NGOYE,NGODJLEME,1,455,ECOLE MISSION CATHOLIQUE
BAMBEY,NGOYE,NGUEYE NGUEYE,1,568,ABRI  PROVISOIRE
BAMBEY,NGOYE,NGUEYE NGUEYE,2,566,ABRI PROVISOIRE
BAMBEY,NGOYE,PEYE NGOYE 1,1,521,CLASSE CE1
BAMBEY,NGOYE,PEYE NGOYE 1,2,524,CLASSE CE2
BAMBEY,NGOYE,PEYE NGOYE 1,3,525,ECOLE CLASSE CM1
BAMBEY,NGOYE,SESSENE,1,497,CLASSE CM1
BAMBEY,NGOYE,SESSENE,2,495,CLASSE CE1
BAMBEY,NGOYE,THIODJOGOYE,1,297,CLASSE CE2
