DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BAMBEY,THIAKHAR,DARA,1,419.0,ABRI PROVISOIRE
BAMBEY,THIAKHAR,DAROU SALAM,1,190.0,ABRI PROVISOIRE
BAMBEY,THIAKHAR,DOMBE 1,1,343.0,ABRI PROVISOIRE
BAMBEY,THIAKHAR,GALLO PEYE,1,220.0,ABRI PROVISOIRE
BAMBEY,THIAKHAR,KADIAO,1,118.0,ECOLE ELEMENTAIRE KADIAO CLASSE CI
BAMBEY,THIAKHAR,KEUR MAFATIME,1,178.0,ABRI PROVISOIRE
BAMBEY,THIAKHAR,KEUR SAER,1,392.0,CLASSE CM 1
BAMBEY,THIAKHAR,KHOLKHOTORANE,1,376.0,ABRI PRVISOIRE
BAMBEY,THIAKHAR,MBADIANEME,1,276.0,ABRI PROVISOIRE
BAMBEY,THIAKHAR,MBADIE DIOUFFENE,1,210.0,ABRI PROVISOIRE
BAMBEY,THIAKHAR,MBOYENE,1,490.0,CLASSE CE2
BAMBEY,THIAKHAR,MBOYENE,2,491.0,CLASSE CM 1
BAMBEY,THIAKHAR,NDAKH,1,433.0,CLASSE CE2
BAMBEY,THIAKHAR,NDIAGNE BOUMY,1,419.0,CLASSE CM1
BAMBEY,THIAKHAR,NDIAGUENE DIOREL,1,275.0,ABRI PROVISOIRE
BAMBEY,THIAKHAR,NDIAKANE,1,577.0,ABRI PROVISOIRE
BAMBEY,THIAKHAR,NDIAKANE,2,117.0,ABRI PROVISOIRE
BAMBEY,THIAKHAR,NDIMB NDADENE,1,92.0,ABRI PROVISOIRE
BAMBEY,THIAKHAR,NDIOBENE NDADENE,1,302.0,ABRI PROVISOIRE
BAMBEY,THIAKHAR,SANDIARA,1,229.0,ABRI PROVISOIRE
BAMBEY,THIAKHAR,SEO LEFF,1,534.0,CLASSE CP
BAMBEY,THIAKHAR,SOKANO,1,331.0,CLASSE CE2
BAMBEY,THIAKHAR,THIAKHAR,1,478.0,CLASSE CM1
BAMBEY,THIAKHAR,THIAKHAR,2,250.0,SALLE DE CLASSE
BAMBEY,THIAKHAR,THIATHIAO,1,449.0,ABRI PROVISOIRE
BAMBEY,THIAKHAR,WAKHALDIAM 3,1,333.0,ABRI PROVISOIRE
