REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DIOURBEL,BAMBEY,BABA GARAGE,BABA GARAGE 1,1,536,CLASSE CP A
DIOURBEL,BAMBEY,BABA GARAGE,BABA GARAGE 1,2,536,CLASSE CE1 A
DIOURBEL,BAMBEY,BABA GARAGE,BABA GARAGE 1,3,535,CLASSE CM1 A
DIOURBEL,BAMBEY,BABA GARAGE,BABA GARAGE 1,4,535,CLASSE SND S LYCEE BBG
DIOURBEL,BAMBEY,BABA GARAGE,BABA GARAGE 1,5,534,CLASSE 1ERE S LYCEE BBG
DIOURBEL,BAMBEY,BABA GARAGE,DAROU BAKHOUM,1,383,ABRI PROVISOIRE
DIOURBEL,BAMBEY,BABA GARAGE,DAROU NGUER,1,322,CLASSE CI
DIOURBEL,BAMBEY,BABA GARAGE,GNICK,1,410,ABRI PROVISOIRE
DIOURBEL,BAMBEY,BABA GARAGE,KEUR OUSMANE KANE,1,556,CLASSE CE2
DIOURBEL,BAMBEY,BABA GARAGE,KEUR OUSMANE KANE,2,75,SALLE DE CLASSE
DIOURBEL,BAMBEY,BABA GARAGE,KHAYE NDIAYE,1,316,ABRI PROVISOIRE
DIOURBEL,BAMBEY,BABA GARAGE,MBAKHE,1,243,CLASSE CM2
DIOURBEL,BAMBEY,BABA GARAGE,NDARY DIOP,1,536,CLASSE CM1
DIOURBEL,BAMBEY,BABA GARAGE,NDIABY,1,275,CLASSE CP
DIOURBEL,BAMBEY,BABA GARAGE,NDIEULBER 1,1,278,SALLE DE CLASSE CE1/CM1
DIOURBEL,BAMBEY,BABA GARAGE,NDIOBEL,1,376,CLASSE CI
DIOURBEL,BAMBEY,BABA GARAGE,SAM-SAM,1,432,ABRI PROVISOIRE
DIOURBEL,BAMBEY,BABA GARAGE,TAWA FALL,1,417,CLASSE CM1
DIOURBEL,BAMBEY,BABA GARAGE,TAWA FALL,2,416,CLASSE CE2
DIOURBEL,BAMBEY,BABA GARAGE,THIEUL FANAYE,1,355,CLASSE CM1
DIOURBEL,BAMBEY,BAMBEY,ECOLE 2,1,559,CLASSE CP A
DIOURBEL,BAMBEY,BAMBEY,ECOLE 2,2,558,CLASSE CM2 A
DIOURBEL,BAMBEY,BAMBEY,ECOLE 2,3,567,CLASSE CE2 A
DIOURBEL,BAMBEY,BAMBEY,ECOLE 2,4,552,CLASSE CP B
DIOURBEL,BAMBEY,BAMBEY,ECOLE 2,5,532,CLASSE CI A
DIOURBEL,BAMBEY,BAMBEY,ECOLE 2,6,371,CLASSE CM2 B
DIOURBEL,BAMBEY,BAMBEY,ECOLE 3,1,571,CLASSE CP B
DIOURBEL,BAMBEY,BAMBEY,ECOLE 3,2,574,CLASSE CM2 A
DIOURBEL,BAMBEY,BAMBEY,ECOLE 3,3,585,CLASSE CP
DIOURBEL,BAMBEY,BAMBEY,ECOLE 3,4,573,CLASSE CE2A
DIOURBEL,BAMBEY,BAMBEY,ECOLE 3,5,268,CLASSE CI A
DIOURBEL,BAMBEY,BAMBEY,ECOLE 4,1,585,CLASSE CE1 B
DIOURBEL,BAMBEY,BAMBEY,ECOLE 4,2,570,CLASSE CP A
DIOURBEL,BAMBEY,BAMBEY,ECOLE 4,3,576,CLASSE CI A
DIOURBEL,BAMBEY,BAMBEY,ECOLE 4,4,583,CLASSE CM2 B
DIOURBEL,BAMBEY,BAMBEY,ECOLE 4,5,581,CLASSE CM1 A
