DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DIOURBEL,DIOURBEL,C.E.M.,1,558.0,SALLE A2
DIOURBEL,DIOURBEL,C.E.M.,2,556.0,SALLE A3
DIOURBEL,DIOURBEL,C.E.M.,3,558.0,SALLE A4
DIOURBEL,DIOURBEL,C.E.M.,4,561.0,SALLE B1
DIOURBEL,DIOURBEL,C.E.M.,5,568.0,SALLE B2
DIOURBEL,DIOURBEL,C.E.M.,6,562.0,SALLE DE CLASSE 3E B
DIOURBEL,DIOURBEL,CEM NDIOURBEL TOCK,1,531.0,SALLE 4 CEM
DIOURBEL,DIOURBEL,CEM NDIOURBEL TOCK,2,307.0,SALLE 6
DIOURBEL,DIOURBEL,ECOLE BASSIROU MBACKE,1,595.0,CLASSE CE1 A
DIOURBEL,DIOURBEL,ECOLE BASSIROU MBACKE,2,595.0,CLASSE CP A
DIOURBEL,DIOURBEL,ECOLE BASSIROU MBACKE,3,594.0,CLASSE CM1 B
DIOURBEL,DIOURBEL,ECOLE BASSIROU MBACKE,4,598.0,SALLE 4
DIOURBEL,DIOURBEL,ECOLE BASSIROU MBACKE,5,596.0,SALLE DE CLASSE CI B
DIOURBEL,DIOURBEL,ECOLE FRANCO ARABE LONKINE,1,575.0,CM1 A EFA LONKINE
DIOURBEL,DIOURBEL,ECOLE FRANCO ARABE LONKINE,2,573.0,CM2  A EFA LONKINE
DIOURBEL,DIOURBEL,ECOLE FRANCO ARABE LONKINE,3,577.0,CE1 A EFA LONKINE
DIOURBEL,DIOURBEL,ECOLE FRANCO ARABE LONKINE,4,577.0,SALLE 8
DIOURBEL,DIOURBEL,ECOLE FRANCO ARABE LONKINE,5,213.0,CLASSE CI A
DIOURBEL,DIOURBEL,ECOLE KEUR BAYE LAYE GAYE,1,591.0,CLASSE CI A
DIOURBEL,DIOURBEL,ECOLE KEUR BAYE LAYE GAYE,2,592.0,CLASSE CP A
DIOURBEL,DIOURBEL,ECOLE KEUR BAYE LAYE GAYE,3,593.0,CLASSE CI B
DIOURBEL,DIOURBEL,ECOLE KEUR BAYE LAYE GAYE,4,585.0,CLASSE CP B
DIOURBEL,DIOURBEL,ECOLE KEUR BAYE LAYE GAYE,5,592.0,CLASSE CM1 A
DIOURBEL,DIOURBEL,ECOLE KEUR BAYE LAYE GAYE,6,589.0,CM1 A
DIOURBEL,DIOURBEL,ECOLE KEUR BAYE LAYE GAYE,7,589.0,CM2 A
DIOURBEL,DIOURBEL,ECOLE KEUR BAYE LAYE GAYE,8,592.0,SALLE DE CLASSE CM2 B
DIOURBEL,DIOURBEL,ECOLE KEUR CHEIKH 2,1,567.0,CLASSE CE2 A
DIOURBEL,DIOURBEL,ECOLE KEUR CHEIKH 2,2,568.0,CLASSE CE2 B
DIOURBEL,DIOURBEL,ECOLE KEUR CHEIKH 2,3,564.0,CLASSE CM2 A
DIOURBEL,DIOURBEL,ECOLE KEUR CHEIKH 2,4,570.0,CLASSE CM2 B
DIOURBEL,DIOURBEL,ECOLE KEUR CHEIKH 2,5,576.0,CLASSE CM1 B
DIOURBEL,DIOURBEL,ECOLE KEUR CHEIKH 2,6,571.0,CLASSE CM1 A
DIOURBEL,DIOURBEL,ECOLE KEUR CHEIKH 2,7,242.0,CLASSE CI A
DIOURBEL,DIOURBEL,ECOLE KEUR YELLI,1,582.0,CLASSE CE2 B
DIOURBEL,DIOURBEL,ECOLE KEUR YELLI,2,574.0,CLASSE CM1 B
DIOURBEL,DIOURBEL,ECOLE KEUR YELLI,3,574.0,CLASSE CM1 A
DIOURBEL,DIOURBEL,ECOLE KEUR YELLI,4,576.0,CLASSE CI B
DIOURBEL,DIOURBEL,ECOLE KEUR YELLI,5,579.0,CM2 A
DIOURBEL,DIOURBEL,ECOLE KEUR YELLI,6,580.0,CM2 B
DIOURBEL,DIOURBEL,ECOLE KEUR YELLI,7,166.0,CLASSE CP B
DIOURBEL,DIOURBEL,ECOLE MAME DIARRA,1,338.0,SALLE 2
DIOURBEL,DIOURBEL,ECOLE MAME DIARRA,2,339.0,SALLE 2
DIOURBEL,DIOURBEL,ECOLE MAME DIARRA,3,337.0,THEATRE DE VERDURE
DIOURBEL,DIOURBEL,ECOLE MAME DIARRA,4,337.0,BUREAU ANNEXE MAIRIE EX RPM
DIOURBEL,DIOURBEL,ECOLE MASSOURANG SOURANG,1,561.0,CLASSE CI A
DIOURBEL,DIOURBEL,ECOLE MASSOURANG SOURANG,2,552.0,CLASSE CP
DIOURBEL,DIOURBEL,ECOLE MASSOURANG SOURANG,3,554.0,CLASSE CE1 A
DIOURBEL,DIOURBEL,ECOLE MASSOURANG SOURANG,4,556.0,CLASSE CE1 B
DIOURBEL,DIOURBEL,ECOLE MASSOURANG SOURANG,5,552.0,CLASSE CE1 C
DIOURBEL,DIOURBEL,ECOLE MASSOURANG SOURANG,6,554.0,CLASSE CE2 A
DIOURBEL,DIOURBEL,ECOLE MASSOURANG SOURANG,7,554.0,CLASE CE2 B
DIOURBEL,DIOURBEL,ECOLE MASSOURANG SOURANG,8,555.0,CLASSE CM2 A
DIOURBEL,DIOURBEL,ECOLE MASSOURANG SOURANG,9,556.0,CLASSE  CM2 B
DIOURBEL,DIOURBEL,ECOLE MASSOURANG SOURANG,10,556.0,CLASSE CM1 A
DIOURBEL,DIOURBEL,ECOLE MASSOURANG SOURANG,11,555.0,CLASSE CM1 B
DIOURBEL,DIOURBEL,ECOLE MASSOURANG SOURANG,12,558.0,SALLE DE CLASSE
DIOURBEL,DIOURBEL,ECOLE MASSOURANG SOURANG,13,553.0,SALLE B 13 CEM BV 7
DIOURBEL,DIOURBEL,ECOLE MASSOURANG SOURANG,14,556.0,SALLE B 14 CEM BV 8
DIOURBEL,DIOURBEL,ECOLE MASSOURANG SOURANG,15,556.0,SALLE A 5 CEM BV 9
DIOURBEL,DIOURBEL,ECOLE MBAKHANE,1,234.0,CLASSE CM2
DIOURBEL,DIOURBEL,ECOLE MBAKHANE,2,233.0,CLASSE CI
DIOURBEL,DIOURBEL,ECOLE MERINA SORAH,1,549.0,CLASSE CI A
DIOURBEL,DIOURBEL,ECOLE MERINA SORAH,2,557.0,CLASSE CM1 B
DIOURBEL,DIOURBEL,ECOLE MERINA SORAH,3,104.0,CLASSE CI A
DIOURBEL,DIOURBEL,ECOLE MERINA TIBO,1,523.0,CLASSE CE2 A
DIOURBEL,DIOURBEL,ECOLE MERINA TIBO,2,531.0,CLASSE CE2 B
DIOURBEL,DIOURBEL,ECOLE MERINA TIBO,3,511.0,CLASSE CM2
DIOURBEL,DIOURBEL,ECOLE MERINA TIBO,4,402.0,SALLE DE CLASSE CE1 A
DIOURBEL,DIOURBEL,ECOLE NDAYANE (MBANG FAYE),1,583.0,CLASSE CE2 A
DIOURBEL,DIOURBEL,ECOLE NDAYANE (MBANG FAYE),2,581.0,CLASSE CP A
DIOURBEL,DIOURBEL,ECOLE NDAYANE (MBANG FAYE),3,581.0,CLASSE CE2 C
DIOURBEL,DIOURBEL,ECOLE NDAYANE (MBANG FAYE),4,584.0,SALLE 5
DIOURBEL,DIOURBEL,ECOLE NDAYANE (MBANG FAYE),5,583.0,SALLE GANA DIAGNE
DIOURBEL,DIOURBEL,ECOLE NDIODIONE,1,546.0,CLASSE CE2 A
DIOURBEL,DIOURBEL,ECOLE NDOBA FAYE,1,568.0,CM2 A ECOLE NDOBA FAYE
DIOURBEL,DIOURBEL,ECOLE NDOBA FAYE,2,564.0,CM2 B ECOLE NDOBA FAYE
DIOURBEL,DIOURBEL,ECOLE NDOBA FAYE,3,563.0,CM1B ECOLE NDOBA FAYE
DIOURBEL,DIOURBEL,ECOLE NDOBA FAYE,4,564.0,CM1 A ECOLE NDOBA FAYE
DIOURBEL,DIOURBEL,ECOLE NDOBA FAYE,5,564.0,CE1 B BLOC SANKORE
DIOURBEL,DIOURBEL,ECOLE NDOBA FAYE,6,561.0,CE1 A BLOC SANKORE
DIOURBEL,DIOURBEL,ECOLE NDOBA FAYE,7,563.0,SALLE 5
DIOURBEL,DIOURBEL,ECOLE NDOBA FAYE,8,563.0,SALLE DE CLASSE
DIOURBEL,DIOURBEL,ECOLE NDOBA FAYE,9,454.0,CLASSE CE2 A
DIOURBEL,DIOURBEL,ECOLE NEUVE (ALGOR DIOUM),1,585.0,CLASSE CM2 A
DIOURBEL,DIOURBEL,ECOLE NEUVE (ALGOR DIOUM),2,585.0,CLASSE CE2 A
DIOURBEL,DIOURBEL,ECOLE NEUVE (ALGOR DIOUM),3,585.0,CLASSE CE2 B
DIOURBEL,DIOURBEL,ECOLE NEUVE (ALGOR DIOUM),4,582.0,CLASSE CI A
DIOURBEL,DIOURBEL,ECOLE NEUVE (ALGOR DIOUM),5,581.0,CLASSE  CI B
DIOURBEL,DIOURBEL,ECOLE NEUVE (ALGOR DIOUM),6,582.0,CLASSE CP A
DIOURBEL,DIOURBEL,ECOLE NEUVE (ALGOR DIOUM),7,585.0,CLASSE CP B
DIOURBEL,DIOURBEL,ECOLE NEUVE (ALGOR DIOUM),8,583.0,CLASSE CE1 A
DIOURBEL,DIOURBEL,ECOLE NEUVE (ALGOR DIOUM),9,583.0,CLASSE CE1 B
DIOURBEL,DIOURBEL,ECOLE NEUVE (ALGOR DIOUM),10,582.0,CLASSE CM1 B
DIOURBEL,DIOURBEL,ECOLE NEUVE (ALGOR DIOUM),11,586.0,CLASSE CM2 C
DIOURBEL,DIOURBEL,ECOLE NEUVE (ALGOR DIOUM),12,581.0,CLASSE CM2 B
DIOURBEL,DIOURBEL,ECOLE NEUVE (ALGOR DIOUM),13,579.0,SALLE 6 SIDY GUISSE
DIOURBEL,DIOURBEL,ECOLE NEUVE (ALGOR DIOUM),14,585.0,SALLE 7 SIDY GUISSE
DIOURBEL,DIOURBEL,ECOLE NEUVE (ALGOR DIOUM),15,581.0,SALLE 5 SIDY GUISSE
DIOURBEL,DIOURBEL,ECOLE NEUVE (ALGOR DIOUM),16,586.0,CE1 A SIDY GUISSE
DIOURBEL,DIOURBEL,ECOLE NGOR SENE,1,583.0,CLASSE CE2 A
DIOURBEL,DIOURBEL,ECOLE NGOR SENE,2,580.0,CLASSE CP A
DIOURBEL,DIOURBEL,ECOLE NGOR SENE,3,580.0,CLASSE CP B
DIOURBEL,DIOURBEL,ECOLE NGOR SENE,4,577.0,CLASSE CE 2 B
DIOURBEL,DIOURBEL,ECOLE NGOR SENE,5,579.0,CLASSE CPC
DIOURBEL,DIOURBEL,ECOLE NGOR SENE,6,581.0,CIA
DIOURBEL,DIOURBEL,ECOLE NGOR SENE,7,564.0,CE 1 A
DIOURBEL,DIOURBEL,ECOLE NGOR SENE,8,250.0,CLASSE CI A
DIOURBEL,DIOURBEL,ECOLE SERIGNE MBAYE SARR,1,557.0,CLASSE CM2 A
DIOURBEL,DIOURBEL,ECOLE SERIGNE MBAYE SARR,2,564.0,CLASSE CE2 A
DIOURBEL,DIOURBEL,ECOLE SERIGNE MBAYE SARR,3,561.0,CLASSE CE1 A
DIOURBEL,DIOURBEL,ECOLE SERIGNE MBAYE SARR,4,557.0,CLASSE CE1 C
DIOURBEL,DIOURBEL,ECOLE SERIGNE MBAYE SARR,5,556.0,SALLE 7
DIOURBEL,DIOURBEL,ECOLE SERIGNE MBAYE SARR,6,553.0,SALLE 8
DIOURBEL,DIOURBEL,ECOLE SESSENE,1,499.0,CLASSE CE1 B
DIOURBEL,DIOURBEL,ECOLE SESSENE,2,476.0,CLASSE CI
DIOURBEL,DIOURBEL,ECOLE SESSENE,3,460.0,CE 2 A
DIOURBEL,DIOURBEL,ECOLE TOUBA NDIAREME,1,567.0,CLASSE CP A
DIOURBEL,DIOURBEL,ECOLE TOUBA NDIAREME,2,568.0,CLASSE CM1 C
DIOURBEL,DIOURBEL,ECOLE TOUBA NDIAREME,3,569.0,CLASSE CM2 A
DIOURBEL,DIOURBEL,ECOLE TOUBA NDIAREME,4,568.0,SALLE 6
DIOURBEL,DIOURBEL,ECOLE TOUBA NDIAREME,5,567.0,SALLE 4
DIOURBEL,DIOURBEL,ECOLE TOUBA NDIAREME,6,563.0,SALLE DE CLASSE CP B
DIOURBEL,DIOURBEL,LYCEE CHEIKH MOUHAMADOU M. MBACKE,1,481.0,SALLE 15
DIOURBEL,DIOURBEL,LYCEE CHEIKH MOUHAMADOU M. MBACKE,2,479.0,SALLE 13
DIOURBEL,DIOURBEL,LYCEE CHEIKH MOUHAMADOU M. MBACKE,3,480.0,SALLE 11
DIOURBEL,DIOURBEL,LYCEE CHEIKH MOUHAMADOU M. MBACKE,4,481.0,SALLE 09
DIOURBEL,DIOURBEL,LYCEE CHEIKH MOUHAMADOU M. MBACKE,5,478.0,SALLE 06
DIOURBEL,DIOURBEL,LYCEE CHEIKH MOUHAMADOU M. MBACKE,6,479.0,SALLE 17
DIOURBEL,DIOURBEL,NGOUYE,1,301.0,CLASSE CM2
