DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DIOURBEL,KEUR NGALGOU,ECOLE DE TAWA,1,256.0,MAGASIN COOPERATIVE
DIOURBEL,KEUR NGALGOU,ECOLE KEUR ALLA NIANG,1,146.0,SALLE DE CLASSE
DIOURBEL,KEUR NGALGOU,ECOLE TEIGNE TEIGNE,1,245.0,SALLE DE CLASSE
DIOURBEL,KEUR NGALGOU,GADE KHAPSOU,1,216.0,CASE DE SANTE
DIOURBEL,KEUR NGALGOU,KEUR NGALGOU,1,568.0,CLASSE CE1
DIOURBEL,KEUR NGALGOU,KEUR NGALGOU,2,58.0,SALLE DE CLASSE
DIOURBEL,KEUR NGALGOU,NGANKAL OUOLOF,1,313.0,CLASSE CP
DIOURBEL,KEUR NGALGOU,NGHAWAW,1,476.0,CLASSE CI
DIOURBEL,KEUR NGALGOU,PALLENE,1,426.0,CLASSE CE1
DIOURBEL,KEUR NGALGOU,PEO FALL,1,185.0,MAGASIN CEREALIER
