DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DIOURBEL,NDOULO,DAKAR MBAYARD,1,200,ABRI PROVISOIRE
DIOURBEL,NDOULO,ECOLE ARABE NDOULO PEULH,1,128,SALLE 1
DIOURBEL,NDOULO,ECOLE MBEYE WOKANE,1,175,ABRI PROVISOIRE
DIOURBEL,NDOULO,GORETTE,1,136,ABRI PROVISOIRE
DIOURBEL,NDOULO,KHOKHE NGADIAGA,1,190,ABRI PROVISOIRE
DIOURBEL,NDOULO,KHOULE,1,388,CLASSE CM2
DIOURBEL,NDOULO,MBAYENE,1,177,ABRI PROVISOIRE
DIOURBEL,NDOULO,MERINA THIAKHO,1,129,CLASSE CE1
DIOURBEL,NDOULO,NDIOUFFENE WOKANE,1,247,CLASSE CM2
DIOURBEL,NDOULO,NDIOUFFENE WOKANE,2,247,CLASSE CE2
DIOURBEL,NDOULO,NDOULO,1,541,CLASSE CM2A
DIOURBEL,NDOULO,NDOULO,2,541,CLASSE CM2B
DIOURBEL,NDOULO,NDOULO,3,539,MAISON COMMUNAUTAIRE
DIOURBEL,NDOULO,NDOULO,4,539,CLASSE CP B
DIOURBEL,NDOULO,NGOUNDJODJE,1,494,CLASSE CP
DIOURBEL,NDOULO,NIANGHE,1,145,ABRI PROVISOIRE
DIOURBEL,NDOULO,TAYRE OUOLOF,1,195,ABRI PROVISOIRE
DIOURBEL,NDOULO,THIOUTHIE WOKANE,1,515,CLASSE C E 2
