DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DIOURBEL,TOCKY GARE,AFFIA MBACKE LACKRAM,1,211.0,CLASSE CM1
DIOURBEL,TOCKY GARE,DOUGOUL SERERE,1,345.0,ABRI PROVISOIRE
DIOURBEL,TOCKY GARE,ECOLE DIOKAM,1,275.0,SALLE DE CLASSE CI
DIOURBEL,TOCKY GARE,ECOLE GOBACK,1,258.0,SALLE DE CLASSE CP
DIOURBEL,TOCKY GARE,ECOLE KHAYOKH,1,185.0,SALLE DE CLASSE CE1
DIOURBEL,TOCKY GARE,GODAGUENE,1,332.0,CLASSE CE2
DIOURBEL,TOCKY GARE,KEUR AMADOU DIOP,1,405.0,CLASSE CM2
DIOURBEL,TOCKY GARE,KEUR SAKH SAKH,1,425.0,MAGASIN FIDA
DIOURBEL,TOCKY GARE,KOBA,1,223.0,MAGASIN CEREALIER
DIOURBEL,TOCKY GARE,LOUMBEL THIAO,1,387.0,CLASSE CE2
DIOURBEL,TOCKY GARE,MBEYNA OUOLOF,1,340.0,ABRI PROVISOIRE
DIOURBEL,TOCKY GARE,MEDE,1,230.0,ABRI PROVISOIRE
DIOURBEL,TOCKY GARE,MERINA SARR,1,277.0,ABRI PROVISOIRE
DIOURBEL,TOCKY GARE,NDAYANE,1,365.0,CLASSE CP
DIOURBEL,TOCKY GARE,NEBE SERERE,1,565.0,CLASSE CM2
DIOURBEL,TOCKY GARE,NENE,1,276.0,ABRI PROVISOIRE
DIOURBEL,TOCKY GARE,NGOLOMONE,1,256.0,MAGASIN FIDA
DIOURBEL,TOCKY GARE,TOCKY GARE,1,522.0,CLASSE CM1 B
DIOURBEL,TOCKY GARE,TOCKY GARE,2,523.0,CLASSE CP
DIOURBEL,TOCKY GARE,TOCKY GARE,3,522.0,SALLE DE CLASSE
DIOURBEL,TOCKY GARE,WALALANE,1,274.0,CLASSE CE2
