DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBACKE,DALLA NGABOU,BAITY PALENE,1,419.0,ABRI PROVISOIRE
MBACKE,DALLA NGABOU,DAGA DIOUF 1,1,264.0,ABRI PROVISOIRE
MBACKE,DALLA NGABOU,DALLA,1,443.0,CLASSE CE1
MBACKE,DALLA NGABOU,DALLA,2,446.0,ECOLE ELEMENTAIRE
MBACKE,DALLA NGABOU,DEUYE SANGOU,1,366.0,CLASSE CP
MBACKE,DALLA NGABOU,DIGANE,1,310.0,ABRI PROVISOIRE
MBACKE,DALLA NGABOU,KHOUROU MBACKE,1,259.0,ABRI PROVISOIRE
MBACKE,DALLA NGABOU,NGABOU 3,1,587.0,CLASSE CP
MBACKE,DALLA NGABOU,NGABOU 3,2,586.0,CLASSE CE1
MBACKE,DALLA NGABOU,THIENTHIE 3,1,452.0,ABRI PROVISOIRE
