DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBACKE,TAIF,BAYLA,1,532,CLASSE CE
MBACKE,TAIF,BAYLA,2,228,CLASSE CM2
MBACKE,TAIF,BOMBALI,1,234,CALSSE CP
MBACKE,TAIF,BOUL ERI NDIOLOFENE,1,487,CLASSE CM
MBACKE,TAIF,BOUL ERI NDIOLOFENE,2,442,CLASSE CE2
MBACKE,TAIF,ECOLE ELEMENTAIRE DANKI,1,390,SALLE DE CLASSE
MBACKE,TAIF,ECOLE ELEMENTAIRE NDAME,1,292,SALLE DE CLASSE
MBACKE,TAIF,SANDATOU,1,120,CLASSE CP
MBACKE,TAIF,TAIF,1,579,CLASSE CE1
MBACKE,TAIF,TAIF,2,582,CLASSE CE2
MBACKE,TAIF,TAIF,3,580,CLASE CM1
MBACKE,TAIF,TAIF,4,579,CLASSE CI
MBACKE,TAIF,TAIF,5,578,CLASSE CM2
MBACKE,TAIF,TAIF,6,580,CLASSE CP
MBACKE,TAIF,TAIF,7,581,SALLE DE CLASSE
MBACKE,TAIF,TOUBA NABA,1,495,CLASSE CI
MBACKE,TAIF,TOUBA NABA,2,242,SALLE DE CLASSE
MBACKE,TAIF,TOUBA NGHAYE,1,377,CLASSE CE
