DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBACKE,TOUBA MBOUL,DIAORE COUTA,1,366,CLASSE CM1
MBACKE,TOUBA MBOUL,DIAWE SERERE,1,241,CLASSE CM1
MBACKE,TOUBA MBOUL,ECOLE KEUR MADIOP SERERE,1,463,SALLE DE CLASSE
MBACKE,TOUBA MBOUL,KAMADOU,1,417,CLASSE CE1
MBACKE,TOUBA MBOUL,MAGASIN PUBLIQUE SEO TOURE,1,313,SALLE 2
MBACKE,TOUBA MBOUL,NDOYENE,1,399,CLASSE CP
MBACKE,TOUBA MBOUL,PATHIEME 1,1,393,CLASSE CP
MBACKE,TOUBA MBOUL,TOUBA MBOUL,1,431,CLASSE CI
MBACKE,TOUBA MBOUL,TOUBA MBOUL,2,431,CLASSE CE2
MBACKE,TOUBA MBOUL,TOUBA MBOUL,3,432,CLASSE CM2
