DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBACKE,TOUBA MOSQUEE,AFFE,1,220,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,ALIA,1,548,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,ALIA,2,550,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,ALIA,3,552,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,ALIA,4,551,MARCHE ALIA ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,ALIA,5,554,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,ALIA,6,554,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,ALIA,7,554,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,ALIA,8,554,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,ALIA,9,553,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,ALIA,10,551,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,ALIA,11,554,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,ALIA,12,553,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BACOURA,1,352,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BANGATHIE,1,165,CLASSE CP
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,1,568,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,2,569,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,3,566,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,4,568,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,5,567,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,6,569,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,7,567,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,8,566,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,9,569,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,10,568,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,11,569,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,12,568,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,13,569,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,14,567,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,15,565,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,16,568,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,17,566,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,18,568,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,19,568,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,20,568,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,21,568,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,22,565,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,23,567,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,24,567,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,1,581,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,2,586,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,3,584,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,4,589,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,5,590,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,6,581,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,7,585,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,8,583,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,9,585,ABRI PROVISOIRE
