REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FATICK,FATICK,DIAKHAO,C.E.M DIAKHAO,1,518.0,SALLE DE CLASSE 1
FATICK,FATICK,DIAKHAO,C.E.M DIAKHAO,2,515.0,SALLE DE CLASSE 4
FATICK,FATICK,DIAKHAO,DIAKHAO ECOLE,1,579.0,SALLE DE CLASSE 1
FATICK,FATICK,DIAKHAO,DIAKHAO ECOLE,2,579.0,SALLE DE CLASSE 4
FATICK,FATICK,DIAKHAO,DIAKHAO ECOLE,3,579.0,SALLE DE CLASSE 6
FATICK,FATICK,DIAKHAO,DIAKHAO ECOLE,4,578.0,SALLE DE CLASSE 2
FATICK,FATICK,DIAOULE,DIAOULE ECOLE,1,531.0,SALLE DE CLASSE 1
FATICK,FATICK,DIAOULE,DIAOULE ECOLE,2,528.0,SALLE DE CLASSE 4
FATICK,FATICK,DIAOULE,DIAOULE ECOLE,3,532.0,SALLE 7 CM1
FATICK,FATICK,DIAOULE,ECOLE BOOF COOP,1,247.0,SALLE DE CLASSE
FATICK,FATICK,DIAOULE,ECOLE DIAMBEYE,1,244.0,ECOLE SALLE DE CLASSE 1
FATICK,FATICK,DIAOULE,ECOLE DIATMOURI,1,409.0,SALLE DE CLASSE 2
FATICK,FATICK,DIAOULE,ECOLE KEUR GUEDJI,1,200.0,SALLE DE CLASSE 3
FATICK,FATICK,DIAOULE,FELANE,1,486.0,SALLE DE CLASSE 1
FATICK,FATICK,DIAOULE,GALANGUE SERERE,1,410.0,ABRI PROVISOIRE
FATICK,FATICK,DIAOULE,KORA,1,372.0,SALLE DE CLASSE 1
FATICK,FATICK,DIAOULE,MAROUTTE,1,318.0,SALLE DE CLASSE 1
FATICK,FATICK,DIAOULE,MAROUTTE,2,319.0,SALLE DE CLASSE 5
FATICK,FATICK,DIAOULE,NDAGANE,1,424.0,SALLE DE CLASSE 1
FATICK,FATICK,DIAOULE,SABAR ECOLE,1,381.0,SALLE DE CLASSE 1
FATICK,FATICK,DIAOULE,SAMBAME,1,153.0,ABRI PROVISOIRE
FATICK,FATICK,DIAOULE,SOMNOMADE,1,451.0,SALLE DE CLASSE 1
FATICK,FATICK,DIAOULE,TENE TOUBAB SERERE,1,154.0,ECOLE SALLE DE CLASSE 1 CM2
FATICK,FATICK,DIARRERE,BICOLE,1,521.0,ECOLE CE 2 SALLE N°1
FATICK,FATICK,DIARRERE,BICOLE,2,521.0,ECOLE CM1 SALLE 3
FATICK,FATICK,DIARRERE,DIARRERE,1,547.0,ECOLE CE 1 N°1
FATICK,FATICK,DIARRERE,DIARRERE,2,544.0,ECOLE CM2 N°3
FATICK,FATICK,DIARRERE,DIARRERE,3,547.0,ECOLE CE 2 N°5
FATICK,FATICK,DIARRERE,DIARRERE,4,543.0,ECOLE CI 2 N°6
FATICK,FATICK,DIARRERE,DIARRERE,5,502.0,ECOLE CPA
FATICK,FATICK,DIARRERE,DIARRERE,6,289.0,ECOLE CLASSE CE1 A
FATICK,FATICK,DIARRERE,DIOHINE,1,554.0,ECOLE CM 2
FATICK,FATICK,DIARRERE,DIOHINE,2,561.0,ECOLE CE 1  N°3
FATICK,FATICK,DIARRERE,DIOHINE,3,565.0,ECOLE CLASSE CE2
FATICK,FATICK,DIARRERE,DIOHINE,4,213.0,ECOLE CLASSE CM1
FATICK,FATICK,DIARRERE,ECOLE ELEMENTAIRE MOKANE NGOUYE,1,148.0,ABRI PROVISOIRE
FATICK,FATICK,DIARRERE,ECOLE KHASSOUS,1,317.0,SALLE 1
FATICK,FATICK,DIARRERE,ECOLE LEME,1,238.0,CE1
FATICK,FATICK,DIARRERE,ECOLE NDOUF,1,388.0,ECOLE CE1 SALLE N°1
FATICK,FATICK,DIARRERE,ECOLE WANDIANA,1,227.0,SALLE 7
FATICK,FATICK,DIARRERE,GADIACK 1,1,457.0,ECOLE CE 1 SALLE N° 1
FATICK,FATICK,DIARRERE,GADIACK 1,2,457.0,ECOLE CE 1 SALLE N°3
FATICK,FATICK,DIARRERE,GODEL,1,380.0,ECOLE SALLE DE CLASSE CE1
FATICK,FATICK,DIARRERE,KOTHIOKH,1,582.0,ECOLE CE2 SALLE N°1
FATICK,FATICK,DIARRERE,LOGDIR,1,524.0,ECOLE CE 2 SALLE N°1
FATICK,FATICK,DIARRERE,MBASSIS ECOLE,1,306.0,ECOLE CE 2 SALLE N°1
FATICK,FATICK,DIARRERE,MBETITE,1,528.0,ECOLE CM2 SALLE N°1
FATICK,FATICK,DIARRERE,NDOUNDOKH,1,481.0,ECOLE CE2 SALLE N°1
FATICK,FATICK,DIARRERE,NGARDIAME,1,270.0,ECOLE SALLE DE CLASSE CE1
FATICK,FATICK,DIARRERE,NGODJILEME,1,278.0,ECOLE SALLE DE CLASSE CE2
