DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FATICK,DIAOULE,DIAOULE ECOLE,1,531.0,SALLE DE CLASSE 1
FATICK,DIAOULE,DIAOULE ECOLE,2,528.0,SALLE DE CLASSE 4
FATICK,DIAOULE,DIAOULE ECOLE,3,532.0,SALLE 7 CM1
FATICK,DIAOULE,ECOLE BOOF COOP,1,247.0,SALLE DE CLASSE
FATICK,DIAOULE,ECOLE DIAMBEYE,1,244.0,ECOLE SALLE DE CLASSE 1
FATICK,DIAOULE,ECOLE DIATMOURI,1,409.0,SALLE DE CLASSE 2
FATICK,DIAOULE,ECOLE KEUR GUEDJI,1,200.0,SALLE DE CLASSE 3
FATICK,DIAOULE,FELANE,1,486.0,SALLE DE CLASSE 1
FATICK,DIAOULE,GALANGUE SERERE,1,410.0,ABRI PROVISOIRE
FATICK,DIAOULE,KORA,1,372.0,SALLE DE CLASSE 1
FATICK,DIAOULE,MAROUTTE,1,318.0,SALLE DE CLASSE 1
FATICK,DIAOULE,MAROUTTE,2,319.0,SALLE DE CLASSE 5
FATICK,DIAOULE,NDAGANE,1,424.0,SALLE DE CLASSE 1
FATICK,DIAOULE,SABAR ECOLE,1,381.0,SALLE DE CLASSE 1
FATICK,DIAOULE,SAMBAME,1,153.0,ABRI PROVISOIRE
FATICK,DIAOULE,SOMNOMADE,1,451.0,SALLE DE CLASSE 1
FATICK,DIAOULE,TENE TOUBAB SERERE,1,154.0,ECOLE SALLE DE CLASSE 1 CM2
