DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FATICK,DIARRERE,BICOLE,1,521,ECOLE CE 2 SALLE N°1
FATICK,DIARRERE,BICOLE,2,521,ECOLE CM1 SALLE 3
FATICK,DIARRERE,DIARRERE,1,547,ECOLE CE 1 N°1
FATICK,DIARRERE,DIARRERE,2,544,ECOLE CM2 N°3
FATICK,DIARRERE,DIARRERE,3,547,ECOLE CE 2 N°5
FATICK,DIARRERE,DIARRERE,4,543,ECOLE CI 2 N°6
FATICK,DIARRERE,DIARRERE,5,502,ECOLE CPA
FATICK,DIARRERE,DIARRERE,6,289,ECOLE CLASSE CE1 A
FATICK,DIARRERE,DIOHINE,1,554,ECOLE CM 2
FATICK,DIARRERE,DIOHINE,2,561,ECOLE CE 1  N°3
FATICK,DIARRERE,DIOHINE,3,565,ECOLE CLASSE CE2
FATICK,DIARRERE,DIOHINE,4,213,ECOLE CLASSE CM1
FATICK,DIARRERE,ECOLE ELEMENTAIRE MOKANE NGOUYE,1,148,ABRI PROVISOIRE
FATICK,DIARRERE,ECOLE KHASSOUS,1,317,SALLE 1
FATICK,DIARRERE,ECOLE LEME,1,238,CE1
FATICK,DIARRERE,ECOLE NDOUF,1,388,ECOLE CE1 SALLE N°1
FATICK,DIARRERE,ECOLE WANDIANA,1,227,SALLE 7
FATICK,DIARRERE,GADIACK 1,1,457,ECOLE CE 1 SALLE N° 1
FATICK,DIARRERE,GADIACK 1,2,457,ECOLE CE 1 SALLE N°3
FATICK,DIARRERE,GODEL,1,380,ECOLE SALLE DE CLASSE CE1
FATICK,DIARRERE,KOTHIOKH,1,582,ECOLE CE2 SALLE N°1
FATICK,DIARRERE,LOGDIR,1,524,ECOLE CE 2 SALLE N°1
FATICK,DIARRERE,MBASSIS ECOLE,1,306,ECOLE CE 2 SALLE N°1
FATICK,DIARRERE,MBETITE,1,528,ECOLE CM2 SALLE N°1
FATICK,DIARRERE,NDOUNDOKH,1,481,ECOLE CE2 SALLE N°1
FATICK,DIARRERE,NGARDIAME,1,270,ECOLE SALLE DE CLASSE CE1
FATICK,DIARRERE,NGODJILEME,1,278,ECOLE SALLE DE CLASSE CE2
FATICK,DIARRERE,POULTOCK DIOHINE,1,582,ECOLE CE2 SALLE N°1
FATICK,DIARRERE,POULTOCK DIOHINE,2,66,ECOLE CLASSE CM1 SALLE 6
FATICK,DIARRERE,SANGHARE,1,411,ECOLE CP1 SALLE N°1
FATICK,DIARRERE,SOBEME,1,381,ECOLE CE2 SALLE N°1
