DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FATICK,DJILASS,DJILASSE,1,595.0,ECOLE PUBLIQUE CLASSE SN1
FATICK,DJILASS,DJILASSE,2,594.0,ECOLE PUBLIQUE CLASSE SN3
FATICK,DJILASS,DJILASSE,3,596.0,ECOLE PUBLIQUE CLASSE SN5
FATICK,DJILASS,DJILASSE,4,596.0,ECOLE PUBLIQUE CLASSE SN7
FATICK,DJILASS,FAOYE,1,333.0,ECOLE PUBLIQUE CLASSE SN2
FATICK,DJILASS,FAOYE,2,336.0,ECOLE PUBLIQUE CLASSE SN 9
FATICK,DJILASS,ROH,1,153.0,ECOLE PUBLIQUE CLASSE SN2
FATICK,DJILASS,SOROBOUGOU,1,338.0,ECOLE PUBLIQUE CLASSE SN1
FATICK,DJILASS,SOUDIANE DIMLE,1,597.0,ECOLE PUBLIQUE CLASSE SN1
FATICK,DJILASS,SOUDIANE DIMLE,2,46.0,ECOLE PUBLIQUE SALLE DE CLASSE
FATICK,DJILASS,SOUDIANE THIELEME,1,369.0,ECOLE PUBLIQUE CLASSE SN2
FATICK,DJILASS,SOUDIANE THIELEME,2,369.0,ECOLE PUBLIQUE CLASSE S N 3
