DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FATICK,FATICK,CEM KHAR NDOFFENE DIOUF,1,570.0,SALLE 11
FATICK,FATICK,CEM KHAR NDOFFENE DIOUF,2,579.0,SALLE 13
FATICK,FATICK,CEM KHAR NDOFFENE DIOUF,3,576.0,SALLE 15
FATICK,FATICK,CEM KHAR NDOFFENE DIOUF,4,575.0,SALLE 5
FATICK,FATICK,CEM KHAR NDOFFENE DIOUF,5,581.0,SALLE 7
FATICK,FATICK,CEM KHAR NDOFFENE DIOUF,6,577.0,SALLE 4
FATICK,FATICK,CEM KHAR NDOFFENE DIOUF,7,577.0,SALLE 9
FATICK,FATICK,CEM KHAR NDOFFENE DIOUF,8,580.0,SALLE 10
FATICK,FATICK,CEM KHAR NDOFFENE DIOUF,9,383.0,SALLE 12
FATICK,FATICK,CEM THIERNO MAMADOU SALL,1,597.0,SALLE 1
FATICK,FATICK,CEM THIERNO MAMADOU SALL,2,597.0,SALLE 2
FATICK,FATICK,CEM THIERNO MAMADOU SALL,3,597.0,SALLE 3
FATICK,FATICK,CEM THIERNO MAMADOU SALL,4,596.0,SALLE 4
FATICK,FATICK,CEM THIERNO MAMADOU SALL,5,595.0,SALLE 5
FATICK,FATICK,CEM THIERNO MAMADOU SALL,6,596.0,SALLE 6
FATICK,FATICK,CEM THIERNO MAMADOU SALL,7,597.0,SALLE 8
FATICK,FATICK,CEM THIERNO MAMADOU SALL,8,597.0,SALLE 11
FATICK,FATICK,CEM THIERNO MAMADOU SALL,9,599.0,SALLE 16
FATICK,FATICK,CEM THIERNO MAMADOU SALL,10,597.0,SALLE 19
FATICK,FATICK,ECOLE DIARAF THIAGOUNE NDIAYE,1,569.0,CLASSE CE1B
FATICK,FATICK,ECOLE DIARAF THIAGOUNE NDIAYE,2,580.0,CLASSE C I A
FATICK,FATICK,ECOLE DIARAF THIAGOUNE NDIAYE,3,582.0,CLASSE CPA
FATICK,FATICK,ECOLE DIARAF THIAGOUNE NDIAYE,4,579.0,CLASSE CM2B
FATICK,FATICK,ECOLE DIARAF THIAGOUNE NDIAYE,5,548.0,CM1 B
FATICK,FATICK,ECOLE DIARAF THIAGOUNE NDIAYE,6,379.0,CE2
FATICK,FATICK,ECOLE FAYE DALI,1,550.0,CLASSE C I B
FATICK,FATICK,ECOLE FAYE DALI,2,548.0,CLASSE CM2A
FATICK,FATICK,ECOLE FAYE DALI,3,552.0,CLASSE CE2B
FATICK,FATICK,ECOLE FAYE DALI,4,547.0,CLASSE CE2A
FATICK,FATICK,ECOLE FAYE DALI,5,550.0,CLASSE CPB
FATICK,FATICK,ECOLE FAYE DALI,6,551.0,CLASSE MATERNELLE
FATICK,FATICK,ECOLE FAYE DALI,7,550.0,CI A
FATICK,FATICK,ECOLE FAYE DALI,8,547.0,CP A
FATICK,FATICK,ECOLE NGOR NDAME NDIAYE,1,516.0,SALLE 9
FATICK,FATICK,ECOLE NGOR NDAME NDIAYE,2,516.0,SALLE 4
FATICK,FATICK,ECOLE NGOR NDAME NDIAYE,3,516.0,SALLE 1
FATICK,FATICK,ECOLE NGOR NDAME NDIAYE,4,516.0,SALLE 10
FATICK,FATICK,ECOLE SALIF BA,1,530.0,CLASSE CE2B
FATICK,FATICK,ECOLE SALIF BA,2,530.0,CLASSE CE1A
FATICK,FATICK,ECOLE SALIF BA,3,530.0,CLASSE CM2B
FATICK,FATICK,ECOLE SALIF BA,4,530.0,CE1B
