DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FATICK,LOUL SESSENE,BOYARD,1,466,ECOLE PUBLIQUE CLASSE SN2
FATICK,LOUL SESSENE,BOYARD,2,465,ECOLE PUBLIQUE CLASSE SN4
FATICK,LOUL SESSENE,ECOLE BOYARD TOCK,1,595,CEM SALLE 1
FATICK,LOUL SESSENE,ECOLE BOYARD TOCK,2,14,SALLE DE CLASSE
FATICK,LOUL SESSENE,ECOLE PUBLIQUE DACK,1,165,SALLE 1
FATICK,LOUL SESSENE,ECOLE PUBLIQUE SING,1,213,SALLE 4
FATICK,LOUL SESSENE,FOUAH MBEGNARD,1,382,ECOLE PUBLIQUE CLASSE SN1
FATICK,LOUL SESSENE,LOUL NDOUR NDOUR,1,558,ECOLE PUBLIQUE CLASSE SN2
FATICK,LOUL SESSENE,LOUL SESSENE,1,588,ECOLE PUBLIQUE CLASSE SN1
FATICK,LOUL SESSENE,LOUL SESSENE,2,590,ECOLE PUBLIQUE CLASSE SN3
FATICK,LOUL SESSENE,LOUL SESSENE,3,587,ECOLE PUBLIQUE CLASSE SN6
FATICK,LOUL SESSENE,LOUL SESSENE,4,67,ABRI PROVISOIRE
FATICK,LOUL SESSENE,NDIAGAMBA,1,512,ECOLE PUBLIQUE CLASSE SN1
FATICK,LOUL SESSENE,NDIAGAMBA,2,513,ECOLE PUBLIQUE CLASSE SN4
FATICK,LOUL SESSENE,NDIOL KHOKHANE,1,448,ECOLE PUBLIQUE CLASSE SN2
FATICK,LOUL SESSENE,NDIOL MA ABDOU,1,30,ABRI PROVISOIRE
FATICK,LOUL SESSENE,NDIOL MANGANE,1,497,ECOLE PUBLIQUE CLASSE SN2
FATICK,LOUL SESSENE,NDIOL MANGANE,2,498,ECOLE PUBLIQUE CLASSE SN4
FATICK,LOUL SESSENE,NDOFF,1,186,ABRI PROVISOIRE
FATICK,LOUL SESSENE,NGUESSINE,1,430,ECOLE PUBLIQUE CLASSE SN1
FATICK,LOUL SESSENE,NOBADANE,1,404,ECOLE PUBLIQUE CLASSE SN1
FATICK,LOUL SESSENE,NOBADANE,2,283,ECOLE PUBLIQUE SALLE 2
FATICK,LOUL SESSENE,POMBANE,1,498,ECOLE PUBLIQUE CLASSE SN2
FATICK,LOUL SESSENE,TOKANE SAKHOR,1,354,ECOLE PUBLIQUE CLASSE SN2
