DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FATICK,NGAYOKHEME,BARRY SINE,1,538.0,ECOLE ELEMENTAIRE S1
FATICK,NGAYOKHEME,DATEL,1,410.0,ECOLE PUBLIQUE SALLE 1
FATICK,NGAYOKHEME,DIOKOUL,1,174.0,ECOLE ELEMENTAIRE S1
FATICK,NGAYOKHEME,ECOLE KAN FRANCOIS FAYE,1,564.0,ECOLE PUBLIQUE SALLE 1
FATICK,NGAYOKHEME,ECOLE KAN FRANCOIS FAYE,2,564.0,ECOLE PUBLIQUE SALLE 2
FATICK,NGAYOKHEME,ECOLE KAN FRANCOIS FAYE,3,562.0,ECOLE PUBLIQUE SALLE 5
FATICK,NGAYOKHEME,ECOLE KAN FRANCOIS FAYE,4,562.0,SALLE 6
FATICK,NGAYOKHEME,ECOLE KAN FRANCOIS FAYE,5,252.0,SALLE 5
FATICK,NGAYOKHEME,ECOLE PUBLIQUE MBINONDAR,1,211.0,SALLE 1
FATICK,NGAYOKHEME,KALOME NDOFFANE,1,432.0,ECOLE PUBMIQUE KALOME SALLE 1
FATICK,NGAYOKHEME,KALOME NDOFFANE,2,431.0,ECOLE PUBLIQUE SALLE  CLASSE
FATICK,NGAYOKHEME,LAMBANEME,1,349.0,ECOLE PUBLIQUE SALLE 1
FATICK,NGAYOKHEME,MBOYENE,1,310.0,ECOLE ELEMENTAIRE S1
FATICK,NGAYOKHEME,NDOKH,1,439.0,ECOLE ELEMENTAIRE S1
FATICK,NGAYOKHEME,NGALAGNE KOP,1,478.0,ECOLE ELEMENTAIRE S1
FATICK,NGAYOKHEME,NGANE FISSEL,1,395.0,ECOLE ELEMENTAIRE S1
FATICK,NGAYOKHEME,NGANGARLAM,1,584.0,ECOLE PUBLIQUE SALLE 1
FATICK,NGAYOKHEME,NGANGARLAM,2,86.0,ECOLE PUBLIQUE SALLE 2
FATICK,NGAYOKHEME,NGAYOKHEME,1,582.0,ECOLE PUBLIQUE SALLE 1
FATICK,NGAYOKHEME,NGAYOKHEME,2,581.0,ECOLE PUBLIQUE SALLE 4
FATICK,NGAYOKHEME,NGAYOKHEME,3,581.0,SALLE 3
FATICK,NGAYOKHEME,NGONINE,1,587.0,ECOLE PUBLIQUE SALLE 1
FATICK,NGAYOKHEME,NGONINE,2,585.0,ECOLE PUBLIQUE SALLE 3
FATICK,NGAYOKHEME,NGONINE,3,46.0,SALLE 2
FATICK,NGAYOKHEME,POUDAYE,1,529.0,ECOLE PUBLIQUE SALLE 1
FATICK,NGAYOKHEME,SASS NDIAFADJI,1,490.0,ECOLE PUBLIQUE SALLE 1
FATICK,NGAYOKHEME,SOB,1,317.0,ECOLE PUBLIQUE SALLE 1
FATICK,NGAYOKHEME,SOB,2,223.0,SALLE 2
